axis,tier,human_mean,human_hdi_low,human_hdi_high,crossover_date_median,crossover_hdi_low,crossover_hdi_high,p_passed_now,frac_positive_slope,status,hdi80_low,hdi80_high
axis1,Average Human,1.7469464409219928,1.0581185473258317,2.2535126545435764,2026-04-22 23:59:59.999997641,2026-02-05 00:00:00.000002989,2027-02-26 14:18:12.747802530,0.6895833333333333,1.0,passed_mean,2024-09-12 00:00:00.000001728,2027-03-01 15:26:27.762598095
axis1,Skilled Generalist,2.1124230350286215,1.389766714674154,2.6627453139696047,2026-08-04 12:40:25.839632207,2026-02-16 00:00:00.000003300,2027-04-28 08:23:27.206985356,0.5281944444444444,1.0,passed_mean,2024-09-12 00:00:00.000001728,2027-08-16 11:39:26.920758960
axis1,High School Qualifier,2.527888656293662,2.0049253542233347,3.0344546008656734,2027-02-13 00:57:36.037726179,2026-02-16 00:00:00.000003300,2027-05-01 23:28:57.674701185,0.3252777777777778,1.0,future,2026-02-05 00:00:00.000002989,2028-04-23 12:36:57.098215301
axis1,Domain Expert,2.66058869982254,2.1070745104974193,3.1867821865803445,2027-04-09 18:25:16.574504954,2026-04-22 23:59:59.999997641,2027-08-14 20:57:27.251036913,0.2856944444444444,1.0,future,2026-02-16 00:00:00.000003300,2028-06-15 11:18:53.132074473
axis1,Committee of Average Humans,2.7028231525487456,2.061386915688221,3.240642258067113,2027-04-19 01:13:30.722391828,2026-02-16 00:00:00.000003300,2027-08-04 17:51:14.412106846,0.2926388888888889,1.0,future,2026-02-16 00:00:00.000003300,2028-09-13 23:10:36.682077737
axis1,Committee of Skilled Generalists,2.8599871837445545,2.091700104815691,3.5550095552018246,2027-06-30 15:39:40.104802923,2026-02-16 00:00:00.000003300,2027-11-13 07:15:53.319663760,0.27402777777777776,1.0,future,2026-02-05 00:00:00.000002989,2029-05-24 02:04:29.342462629
axis1,Committee of Domain Experts,3.0458999153242368,2.4258453256438424,3.6801688640944126,2027-09-18 11:50:17.804911151,2026-08-02 00:00:00.000002989,2028-03-28 03:19:39.871134546,0.18416666666666667,1.0,future,2026-02-16 00:00:00.000003300,2029-02-13 22:14:00.687393191
axis1,High School Top Performer,3.067728741096481,2.4985418467884126,3.650334133497628,2027-10-05 11:13:52.157844154,2026-11-02 20:46:59.814320756,2028-05-15 20:36:14.344472007,0.1609722222222222,1.0,future,2026-04-22 23:59:59.999997641,2029-02-08 06:24:15.128555270
axis1,Top Performer,3.7316876424356633,3.062745343648186,4.41090242253848,2028-07-14 20:21:39.701348642,2027-04-25 14:59:30.291149814,2029-02-25 10:31:53.683682779,0.07430555555555556,1.0,future,2026-09-21 22:16:13.191914398,2030-05-05 12:07:15.022636331
axis2,Average Human,-4.064961426204613,-4.443433723753838,-3.544331108896115,2020-05-01 10:57:23.097062805,2019-05-01 13:24:56.962797995,2021-01-27 22:43:08.081224271,0.93375,0.9995833333333334,passed_mean,2017-09-19 08:07:14.065807244,2021-12-13 15:02:43.103336519
