step,variant,draws,reff,elpd_loo,se,p_loo,k_gt_0.7
0,"thin x1, reff=ll",16670,0.954,6273.99,111.41,1175.67,332
0,"thin x1, reff=0.05",16670,0.05,6266.53,112.6,1183.14,335
0,"thin x1, reff=0.5",16670,0.5,6272.73,111.67,1176.94,330
0,"thin x1, reff=1.0",16670,1.0,6274.11,111.39,1175.55,337
0,"thin x2, reff=ll",8340,0.954,6286.45,110.14,1163.13,311
1,"thin x1, reff=ll",18000,0.295,7626.23,75.09,2469.77,1543
1,"thin x1, reff=0.05",18000,0.05,7621.94,75.68,2474.06,1469
1,"thin x1, reff=0.5",18000,0.5,7627.87,74.93,2468.13,1544
1,"thin x1, reff=1.0",18000,1.0,7627.84,74.82,2468.16,1586
1,"thin x2, reff=ll",9000,0.295,7678.26,74.47,2417.19,1497
2,"thin x1, reff=ll",18000,0.643,7618.95,72.7,2309.61,1412
2,"thin x1, reff=0.05",18000,0.05,7616.04,73.18,2312.51,1356
2,"thin x1, reff=0.5",18000,0.5,7618.71,72.75,2309.85,1421
2,"thin x1, reff=1.0",18000,1.0,7617.79,72.7,2310.76,1413
2,"thin x2, reff=ll",9000,0.643,7660.19,72.07,2268.35,1380
3,"thin x1, reff=ll",15390,0.766,7799.24,74.6,2053.65,1051
3,"thin x1, reff=0.05",15390,0.05,7795.39,75.09,2057.5,1038
3,"thin x1, reff=0.5",15390,0.5,7799.52,74.66,2053.37,1056
3,"thin x1, reff=1.0",15390,1.0,7799.66,74.55,2053.22,1063
3,"thin x2, reff=ll",7700,0.766,7832.21,74.04,2020.78,1056
x,"thin x1, reff=ll",18000,0.489,7468.2,76.83,1808.85,790
x,"thin x1, reff=0.05",18000,0.05,7463.37,77.28,1813.68,759
x,"thin x1, reff=0.5",18000,0.5,7468.01,76.84,1809.04,789
x,"thin x1, reff=1.0",18000,1.0,7468.84,76.74,1808.21,783
x,"thin x2, reff=ll",9000,0.489,7492.7,76.25,1784.23,781
