axis,tier,human_mean,human_hdi_low,human_hdi_high,crossover_date_median,crossover_hdi_low,crossover_hdi_high,p_passed_now,frac_positive_slope,status
axis1,Average Human,1.4016371868259339,0.7685863902937766,1.9797530665683782,2025-11-29 06:50:40.176404021,2025-06-10 11:25:16.970946288,2026-10-25 00:26:04.720851162,0.7655,0.99525,passed_mean
axis1,Skilled Generalist,1.7669949474745346,1.1340789697139697,2.3810590193759493,2026-05-01 20:48:38.422224057,2025-07-04 01:22:56.670615693,2026-12-13 22:02:38.010127223,0.61275,0.99525,passed_mean
axis1,Committee of Average Humans,2.3874538876317954,1.8117724784013425,2.9576871515969536,2027-01-02 17:10:45.792726306,2026-03-17 17:31:04.950804048,2027-08-11 17:09:08.057895073,0.35575,0.99525,future
axis1,High School Qualifier,2.4647001665947066,2.040724129189913,2.911974398852011,2027-02-03 18:02:02.540372415,2026-05-20 18:05:35.719829450,2027-07-03 22:06:40.304977320,0.279,0.99525,future
axis1,Committee of Skilled Generalists,2.5665525784344894,1.8306543610714527,3.2601687840872122,2027-03-03 14:54:45.484075728,2026-02-09 08:37:46.077777531,2027-10-28 05:34:51.472657220,0.32375,0.99525,future
axis1,Domain Expert,2.640858125226247,2.181488458065435,3.1405834048041052,2027-04-15 02:47:53.165879433,2026-05-17 12:00:32.726406680,2027-08-11 04:14:43.770090347,0.21975,0.99525,future
axis1,Committee of Domain Experts,2.9940944215376923,2.4675350452018305,3.569991338978361,2027-09-07 13:51:15.480979819,2026-08-02 14:54:26.083226989,2028-01-07 17:48:19.256427512,0.12575,0.99525,future
axis1,High School Top Performer,3.020475389029265,2.5670945621284456,3.5182222791840494,2027-09-18 15:14:38.331077202,2026-09-01 14:23:17.513328482,2027-12-23 02:59:18.787398840,0.09,0.99525,future
axis1,Top Performer,3.1900361993336004,2.724054587455828,3.718538309851405,2027-11-27 16:10:26.616663287,2026-11-27 00:58:06.052561464,2028-04-21 16:01:16.280582384,0.06475,0.99525,future
axis2,Average Human,-4.041533238022186,-4.435526153049787,-3.493156541144012,2017-10-09 11:40:37.140026894,2016-03-01 20:15:07.872786506,2019-08-03 14:29:56.529863822,0.86925,0.99325,passed_mean
axis2,Skilled Generalist,-3.7398879198594557,-4.149158081446028,-3.1910068382915453,2018-03-08 10:26:02.749234882,2016-08-22 15:40:35.220207077,2019-12-03 23:39:44.674731103,0.8525,0.99325,passed_mean
axis2,Committee of Average Humans,-3.1086681041393067,-3.7087013350463884,-2.1559618144616364,2019-02-14 09:09:12.856212362,2017-01-25 17:27:06.683923359,2020-08-16 02:50:25.355991932,0.84825,0.99325,passed_mean
axis2,Committee of Skilled Generalists,-2.922701366934927,-3.536901208638282,-1.9771947906566385,2019-05-15 00:30:53.477985228,2017-09-15 23:40:26.786390151,2020-12-27 19:12:57.988520490,0.84275,0.99325,passed_mean
axis2,High School Qualifier,-2.3989646657578048,-2.74372918991541,-1.9902257718477652,2020-02-13 13:21:59.466322869,2018-12-02 13:39:55.238763853,2021-06-11 21:29:55.882767621,0.9585,0.99325,passed_mean
axis2,Domain Expert,-2.273429706140608,-2.6047192877617737,-1.8656999276937283,2020-04-15 03:11:08.881995834,2019-03-03 09:28:07.045776235,2021-08-06 08:23:34.813885920,0.8425,0.99325,passed_mean
axis2,Committee of Domain Experts,-2.0587677287009045,-2.3949440740700876,-1.616488745837446,2020-08-05 05:01:08.225615000,2019-07-11 12:47:31.634815871,2021-11-13 17:14:16.739352859,0.83925,0.99325,passed_mean
axis2,High School Top Performer,-1.9809284808930783,-2.376463343593459,-1.484595291596383,2020-09-14 17:33:28.997627270,2019-04-28 21:32:55.331691336,2021-09-12 04:02:07.986416058,0.91925,0.99325,passed_mean
