axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,ARC-AGI-2,Core AGI Progress,3.2509501566201227,1.3021605173459516,3.7498331570893413
axis1,VPCT,Multimodal Understanding,2.443365932846003,0.3857734939119821,3.3766608955390534
axis1,ARC-AGI,Core AGI Progress,2.3794040449974805,1.1048806195642182,2.7594355261420023
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,1.9962314482608203,1.4831012435159097,2.794158361048084
axis1,MATH Level 5,High End Math Reasoning,1.6864438921116212,1.2884675646664223,2.1555191778666583
axis1,DeepSWE,Autonomous SWE,1.3900464408314726,0.7795281350036934,1.9351341143872187
axis1,FrontierMath Tier 4,High End Math Reasoning,1.3807890502125573,0.6957574367591771,2.4607113944496177
axis1,CritPt,Domain Specific Questions,1.2579104474569736,0.9563703876052546,1.60798305344028
axis1,VisualToolBench,Multimodal Understanding,1.1844644339322772,0.5822988960349441,1.5319211077852155
axis1,Aider Polyglot,Autonomous SWE,1.1628300286398494,0.5573407977004293,1.5311252638563442
axis1,FrontierMath Tier 4 v1,High End Math Reasoning,1.1510517233129514,0.6959655882116018,1.6331237280367883
axis1,Humanity's Last Exam,Domain Specific Questions,1.1393374787692179,0.8267146356235918,1.3913981378710265
axis1,GPQA Main Chemistry,Chemistry,1.1123130715784477,0.6779930747652347,1.7670911971792518
axis1,Cybench,Agentic Computer Use,1.061545420892572,0.14297456963427455,1.5688765073949054
axis1,TerminalBench,Agentic Computer Use,1.052378384563089,0.4259040097400212,1.3842529991516113
axis1,GPQA Diamond Chemistry,Chemistry,1.0502017992716968,0.6192540702929374,1.669750660613632
axis1,Fiction.LiveBench,Advanced Language and Writing,0.994411815626222,0.42647262184778734,1.5933747523058133
axis1,SimpleBench,General Reasoning,0.9802052759470962,0.17950035283537313,1.2702310273581272
axis1,FrontierMath,High End Math Reasoning,0.9790808675006113,0.5898328589394195,1.7458358780332397
axis1,CAD-Eval,Multimodal Understanding,0.9723614277073929,0.047253911655156286,1.4898676202928158
axis1,MCP Atlas,Agentic Computer Use,0.9456227254818035,0.057918437414050866,1.2952523279040002
axis1,GPQA Diamond,Domain Specific Questions,0.9241758349253204,0.7122295856931742,1.3135980706728312
axis1,EnigmaEval,General Reasoning,0.8856816399491211,0.5499015876005469,1.3143247743859392
axis1,BioLP-bench,Biology,0.8645691763627484,0.5003689691927922,1.3411157995034797
axis1,GSO-Bench,Autonomous SWE,0.8516544459101992,0.049420457677741565,1.3377138384459086
axis1,MultiNRC,Advanced Language and Writing,0.7874337149981596,0.5365910952622132,0.9829697983930864
axis1,SWE-Bench Pro (Private),Autonomous SWE,0.7676567725219864,0.1292081647013268,1.1337210461083473
axis1,The Agent Company,Agentic Computer Use,0.7512775479306648,0.1796669078352701,1.356186963884638
axis1,SimpleQA Verified,Domain Specific Questions,0.7491077008838463,0.14036880560530565,1.0177415894712314
axis1,APEX Agents,Core AGI Progress,0.7377805259849715,0.36388298438350875,1.0660606878614856
axis1,CursorBench,Autonomous SWE,0.7054411670474151,0.32232246617000887,1.0639724180245442
axis1,Chess Puzzles,General Reasoning,0.7000773208361118,0.31801654783927363,1.9165936598256874
axis1,Surface Evolver Bench,Autonomous SWE,0.6873577491240332,0.08502134228270813,1.5294285176261924
axis1,LiveBench,Core AGI Progress,0.6407415707371171,0.4096372316356952,0.8766916140469998
axis1,MMLU Pro Chemistry,Chemistry,0.6378861490642178,0.2785008590341169,1.2785713235006795
axis1,EBR-bench,Agentic Computer Use,0.6007520456338924,0.0631250542792672,1.2173850674653555
axis1,WeirdML,Autonomous SWE,0.5695408988505233,0.40660645309613647,0.7385987801043595
axis1,LAB-Bench SeqQA,Biology,0.5489968573982655,0.3398798005813504,0.7787008060595791
axis1,MMLU Chemistry,Chemistry,0.527031428138613,0.33281632311039383,0.7065488380860759
axis1,ProofBench,High End Math Reasoning,0.5091472735123088,0.07790333628080795,1.0340653752501383
axis1,AudioMultiChallenge,Multimodal Understanding,0.49345986036530637,0.11014831959782843,0.7568286252703936
axis1,METR Time Horizons,Autonomous SWE,0.4839167660808893,0.23268844043076828,0.6332482217883892
axis1,CSQA2,General Reasoning,0.46983914121835746,0.02500110157053144,1.1225916807515415
axis1,GSM8K,Domain Specific Questions,0.4674658437155431,0.007909829534183193,1.2399438608099729
axis1,OS World (Screenshot),Agentic Computer Use,0.46228291934064514,0.03683420869241177,1.078005113268294
axis1,Mystery Game Puzzles,General Reasoning,0.44877837941777077,0.0837312814991834,0.9935398193903753
axis1,GPQA Main Biology,Biology,0.44259614219259175,0.12672942513382351,0.9861187335673066
axis1,SpatialViz-Bench,Multimodal Understanding,0.42524528217198637,0.033501525170823,1.1121952672935917
axis1,SWE-Bench Verified,Autonomous SWE,0.4138377167781023,0.06603765517492774,0.6331140363411746
axis1,BlueprintBench 2,Multimodal Understanding,0.3855986599657413,0.025964345468387502,1.0430323373129886
axis1,GPQA Diamond Biology,Biology,0.3746451736144488,0.06499428942135861,0.8373784487488465
axis1,Remote Labor Index,Core AGI Progress,0.372593954312882,0.0248211204331572,1.068588773106265
axis1,MultiChallenge,Advanced Language and Writing,0.35105022024927557,0.0804039066317181,0.5947755909857382
axis1,CL-Bench,Domain Specific Questions,0.3312806661519686,0.06875943709330674,0.6748116354443392
axis1,CL-Bench Life,Domain Specific Questions,0.3290682438423701,0.034599625348881474,0.9136670695834537
axis1,LAB-Bench Protocol,Biology,0.32778263230705873,0.12295101152616654,0.7026768596834609
axis1,OS World 2,Agentic Computer Use,0.3265902032666488,0.0197072245000446,1.11244698384967
axis1,SciCode,Autonomous SWE,0.3222146488415526,0.23778836880490273,0.397368557456265
axis1,ExploitBench,Agentic Computer Use,0.3212110378156465,0.018205617500448756,1.058297087594791
axis1,LAB-Bench Cloning,Biology,0.3055295345660889,0.02928006526788409,1.0605276699056851
axis1,Visual Task Assessment (VISTA),Multimodal Understanding,0.2984899702051872,0.17784903595949889,0.44005356430906845
axis1,MMLU Pro Biology,Biology,0.2896192005987646,0.030166332923292027,0.8232637285504557
axis1,SEAL Tool Use (Enterprise),Agentic Computer Use,0.2889660752511449,0.02360842572427775,0.8021041323234114
axis1,BIG-Bench Hard (BBH),Domain Specific Questions,0.28421831560518984,0.06394247827030529,0.7704757966983763
axis1,SEAL Instruction Following,Advanced Language and Writing,0.28264252886636027,0.03503892113797849,0.647403886224383
axis1,SWE-Bench Pro,Autonomous SWE,0.27903259872675923,0.021919327574543988,0.644719214668007
axis1,LAB-Bench LitQA2,Biology,0.27785656456843755,0.10178969964144324,0.43695514366630667
axis1,BALROG,General Reasoning,0.26906252923328405,0.03943029985947841,0.5249987831365095
axis1,MindCube,Multimodal Understanding,0.2686018532491705,0.012427515769652467,1.187941710694504
axis1,TutorBench,Advanced Language and Writing,0.26291479110805505,0.08272158184719312,0.39226853150233826
axis1,PostTrainBench,Autonomous SWE,0.25987557715251286,0.03031180493398508,0.5747256149111841
axis1,SuperGLUE,General Reasoning,0.24598570026229244,0.018845949107497276,0.7249770595989327
axis1,LAMBADA,General Reasoning,0.24244573196053015,0.02410625643744995,0.3930347543152176
axis1,Adversarial NLI,General Reasoning,0.24174019089042983,0.01861888036633335,0.6183331113367637
axis1,GeoBench,Multimodal Understanding,0.23864769802560123,0.02049366324182335,0.5765791280713217
axis1,PRBench Legal,Domain Specific Questions,0.23355785226763964,0.04194545928143448,0.37770473710262276
