benchmark,n_obs,A1_modeA,A2_modeA,A3_modeA,A1_modeB,A2_modeB,A3_modeB,share1_A,share2_A,share3_A,share1_B,share2_B,share3_B,max_share_shift
OpenBookQA,43,0.297,0.06,1.399,0.33,1.363,0.052,0.169,0.034,0.796,0.189,0.781,0.03,0.767
ARC (AI2),77,0.545,0.085,1.544,0.558,1.564,0.071,0.251,0.039,0.71,0.254,0.713,0.033,0.678
Adversarial NLI,12,0.308,0.228,1.552,0.386,1.518,0.228,0.147,0.109,0.744,0.181,0.712,0.107,0.637
VPCT,39,0.278,3.183,0.455,0.671,1.43,2.317,0.071,0.813,0.116,0.152,0.324,0.524,0.489
ScienceQA,24,0.296,0.143,0.857,0.241,0.558,0.174,0.228,0.11,0.661,0.248,0.573,0.179,0.482
BIG-Bench Hard (BBH),52,0.81,0.153,1.086,0.856,1.156,0.143,0.395,0.075,0.53,0.397,0.536,0.066,0.464
GSM8K,94,1.204,0.082,1.184,1.333,1.327,0.067,0.487,0.033,0.479,0.489,0.487,0.024,0.455
CSQA2,8,0.203,0.554,1.482,0.265,1.308,0.568,0.091,0.247,0.662,0.124,0.611,0.265,0.397
MMLU,181,0.864,0.113,0.69,0.851,0.845,0.147,0.518,0.068,0.414,0.462,0.458,0.08,0.391
MATH Level 5,111,1.699,1.717,0.051,1.895,0.421,1.31,0.49,0.495,0.015,0.523,0.116,0.361,0.379
OTIS Mock AIME 2024-2025,223,2.138,2.221,0.079,2.584,0.635,1.539,0.482,0.5,0.018,0.543,0.133,0.323,0.367
BoolQ,78,0.466,0.266,0.775,0.463,0.791,0.248,0.309,0.177,0.514,0.308,0.526,0.165,0.35
TutorBench,27,0.121,0.349,0.05,0.276,0.243,0.22,0.232,0.671,0.097,0.373,0.329,0.298,0.342
ARC-AGI,179,0.854,2.727,0.734,1.237,1.425,2.105,0.198,0.632,0.17,0.26,0.299,0.442,0.333
Cybench,22,0.309,1.47,1.158,0.152,0.468,1.65,0.105,0.5,0.394,0.067,0.206,0.727,0.333
ARC-AGI-2,168,0.92,3.68,1.258,1.417,1.894,3.056,0.157,0.628,0.215,0.223,0.297,0.48,0.331
VisualToolBench,20,0.772,1.381,0.35,1.117,0.64,1.124,0.308,0.552,0.14,0.388,0.222,0.39,0.33
Humanity's Last Exam,46,0.813,1.33,0.246,1.124,0.646,0.965,0.34,0.557,0.103,0.411,0.236,0.353,0.321
SuperGLUE,9,0.413,0.322,0.805,0.447,0.76,0.312,0.268,0.209,0.523,0.294,0.5,0.205,0.317
DeepSWE,50,0.912,1.688,0.776,1.081,0.668,1.659,0.27,0.5,0.23,0.317,0.196,0.487,0.304
SimpleQA Verified,111,0.111,1.027,0.181,0.453,0.926,0.527,0.084,0.778,0.137,0.238,0.486,0.276,0.292
MCP Atlas,30,0.157,1.099,0.294,0.299,0.865,0.836,0.101,0.709,0.19,0.149,0.433,0.418,0.277
CL-Bench,22,0.488,0.387,0.136,0.532,0.111,0.379,0.483,0.383,0.134,0.521,0.109,0.371,0.274
PRBench Finance,32,0.095,0.341,0.148,0.119,0.201,0.315,0.163,0.584,0.253,0.187,0.317,0.496,0.267
SEAL Instruction Following,18,0.418,0.293,0.106,0.322,0.187,0.331,0.511,0.359,0.13,0.383,0.222,0.395,0.265
PRBench Legal,32,0.09,0.359,0.117,0.138,0.245,0.278,0.159,0.635,0.206,0.209,0.371,0.42,0.264
Remote Labor Index,19,0.229,0.808,0.919,0.199,0.265,1.272,0.117,0.413,0.47,0.115,0.153,0.733,0.263
WeirdML,160,0.678,0.698,0.567,0.469,0.284,0.902,0.349,0.359,0.292,0.284,0.171,0.545,0.253
