model_version,country,organization,method,notes
Baichuan-13B-Base,CN,Baichuan,org_map,lead org: Baichuan
Baichuan-2-13B-Base,CN,Baichuan,org_map,lead org: Baichuan
Baichuan-2-7B-Base,CN,Baichuan,org_map,lead org: Baichuan
Baichuan-7B,CN,Baichuan,org_map,lead org: Baichuan
Baichuan2-13B-Chat,CN,,prefix,name-prefix match: 'baichuan'
ByteVideoLLM-14B,CN,,prefix,name-prefix match: 'bytevideollm'
Chat-Uni-Vi-7B-v1.5 + 100k SG-WV,CN,,prefix,name-prefix match: 'chat-uni-vi'
Chat-UniVi-7B-v1.5,CN,,prefix,name-prefix match: 'chat-univi'
CodeQwen1.5-7B,CN,,prefix,name-prefix match: 'qwen'
DeepSeek-Coder-V2-Base,CN,DeepSeek,org_map,lead org: DeepSeek
DeepSeek-Coder-V2-Instruct,CN,DeepSeek,org_map,lead org: DeepSeek
DeepSeek-Coder-V2-Lite-Base,CN,,prefix,name-prefix match: 'deepseek'
DeepSeek-Coder-V2-Lite-Instruct,CN,,prefix,name-prefix match: 'deepseek'
DeepSeek-R1,CN,DeepSeek,org_map,lead org: DeepSeek
DeepSeek-R1-0528,CN,DeepSeek,org_map,lead org: DeepSeek
DeepSeek-R1-Distill-Llama-70B,CN,DeepSeek,org_map,lead org: DeepSeek
DeepSeek-R1-Distill-Qwen-14B,CN,DeepSeek,org_map,lead org: DeepSeek
DeepSeek-R1-Distill-Qwen-32B,CN,DeepSeek,org_map,lead org: DeepSeek
DeepSeek-R1_high,CN,DeepSeek,org_map,lead org: DeepSeek
DeepSeek-V2,CN,DeepSeek,org_map,lead org: DeepSeek
DeepSeek-V2.5,CN,DeepSeek,org_map,lead org: DeepSeek
DeepSeek-V3,CN,DeepSeek,org_map,lead org: DeepSeek
DeepSeek-V3-0324,CN,DeepSeek,org_map,lead org: DeepSeek
DeepSeek-V3-Base,CN,DeepSeek,org_map,lead org: DeepSeek
DeepSeek-V3.1,CN,DeepSeek,org_map,lead org: DeepSeek
DeepSeek-V3.1-Terminus,CN,DeepSeek,org_map,lead org: DeepSeek
DeepSeek-V3.1_thinking,CN,DeepSeek,org_map,lead org: DeepSeek
DeepSeek-V3.2-Exp,CN,DeepSeek,org_map,lead org: DeepSeek
DeepSeek-V3.2-Exp_thinking,CN,DeepSeek,org_map,lead org: DeepSeek
DeepSeek-V3.2-Speciale,CN,DeepSeek,org_map,lead org: DeepSeek
Eurus-2-7B-PRIME,CN,"Tsinghua University,University of Illinois Urbana-Champaign (UIUC),Shanghai AI Lab,Peking University,Shanghai Jiao Tong University,CUHK Shenzhen Research Institute",org_map,lead org: Tsinghua University
GLM-4.5-Air,CN,"Z.ai (Zhipu AI),Tsinghua University",org_map,lead org: Z.ai (Zhipu AI)
InternVL-Chat-V1-5,CN,,prefix,name-prefix match: 'internvl'
InternVL-Chat-ViT-6B-Vicuna-13B,CN,,prefix,name-prefix match: 'internvl'
InternVL-Chat-ViT-6B-Vicuna-7B,CN,,prefix,name-prefix match: 'internvl'
InternVL2-40B,CN,Shanghai AI Lab,org_map,lead org: Shanghai AI Lab
InternVL2_5-78B,CN,"Shanghai AI Lab,SenseTime,Tsinghua University,Nanjing University,Fudan University,Chinese University of Hong Kong (CUHK),Shanghai Jiao Tong University",org_map,lead org: Shanghai AI Lab
Kimi-Audio-7B-Instruct,CN,Moonshot,org_map,lead org: Moonshot
