model_version_raw,model_version,benchmark_raw,benchmark,_source_file
Qwen3-235B-A22B,qwen3-235b-a22b,Aider Polyglot,Aider Polyglot,aider_polyglot_external.csv
gemini-2.5-flash-preview-05-20_23K,gemini-2.5-flash-preview-05-20_24K,Aider Polyglot,Aider Polyglot,aider_polyglot_external.csv
openai/gpt-oss-120b_high,gpt-oss-120b_high,Aider Polyglot,Aider Polyglot,aider_polyglot_external.csv
openai/gpt-oss-120b_high,gpt-oss-120b_high,AlgoTune,AlgoTune,algotune_external.csv
zai-org/glm-4.7,glm-4.7,APEX Agents,APEX Agents,apex_agents_external.csv
deepseek/deepseek-v3.2,deepseek-v3.2,APEX Agents,APEX Agents,apex_agents_external.csv
deepseek/deepseek-v3.2,deepseek-v3.2,ARC-AGI-2,ARC-AGI-2,arc_agi_2_external.csv
gemini-2.5-flash-preview-05-20_23K,gemini-2.5-flash-preview-05-20_24K,ARC-AGI-2,ARC-AGI-2,arc_agi_2_external.csv
deepseek/deepseek-v3.2,deepseek-v3.2,ARC-AGI,ARC-AGI,arc_agi_external.csv
gemini-2.5-flash-preview-05-20_23K,gemini-2.5-flash-preview-05-20_24K,ARC-AGI,ARC-AGI,arc_agi_external.csv
gemini-2.5-flash-preview-04-17 (24K thinking),gemini-2.5-flash-preview-04-17_24K,ARC-AGI,ARC-AGI,arc_agi_external.csv
Llama-2-70b-hf ,Llama-2-70b-hf,ARC (AI2),ARC (AI2),arc_ai2_external.csv
Llama-2-70b-hf ,Llama-2-70b-hf,BIG-Bench Hard (BBH),BIG-Bench Hard (BBH),bbh_external.csv
Llama-2-70b-hf ,Llama-2-70b-hf,BoolQ,BoolQ,bool_q_external.csv
moonshotai/Kimi-K2-Thinking,kimi-k2-thinking,CL-Bench,CL-Bench,cl_bench_external.csv
zai-org/glm-4.7,glm-4.7,CL-Bench,CL-Bench,cl_bench_external.csv
deepseek/deepseek-v3.2,deepseek-v3.2,CL-Bench,CL-Bench,cl_bench_external.csv
zai-org/glm-4.7_high,glm-4.7_high,CL-Bench Life,CL-Bench Life,cl_bench_life_external.csv
deepseek/deepseek-v3.2,deepseek-v3.2,CL-Bench Life,CL-Bench Life,cl_bench_life_external.csv
Llama-2-70b-hf ,Llama-2-70b-hf,CSQA2,CSQA2,common_sense_qa_2_external.csv
openai/gpt-oss-120b_high,gpt-oss-120b_high,CritPt,CritPt,critpt_external.csv
chutes/Llama-4-Maverick-17B-128E-Instruct,Llama-4-Maverick-17B-128E-Instruct,CritPt,CritPt,critpt_external.csv
qwen/qwen3-235b-a22b-thinking-2507,Qwen3-235B-A22B-Thinking-2507,CritPt,CritPt,critpt_external.csv
gemini-2.0-flash-02-05,gemini-2.0-flash-001,EnigmaEval,EnigmaEval,enigma_eval_external.csv
chutes/Llama-4-Maverick-17B-128E-Instruct,Llama-4-Maverick-17B-128E-Instruct,Fiction.LiveBench,Fiction.LiveBench,fictionlivebench_external.csv
chutes/Qwen3-235B-A22B-Thinking-2507,Qwen3-235B-A22B-Thinking-2507,Fiction.LiveBench,Fiction.LiveBench,fictionlivebench_external.csv
deepinfra/Qwen3-Next-80B-A3B-Instruct,Qwen3-Next-80B-A3B-Instruct,Fiction.LiveBench,Fiction.LiveBench,fictionlivebench_external.csv
fireworks/Kimi-K2-Instruct-0905,Kimi-K2-Instruct-0905,Fiction.LiveBench,Fiction.LiveBench,fictionlivebench_external.csv
chutes/Qwen3-Next-80B-A3B-Instruct,Qwen3-Next-80B-A3B-Instruct,Fiction.LiveBench,Fiction.LiveBench,fictionlivebench_external.csv
Qwen3-235B-A22B,qwen3-235b-a22b,ForecastBench,ForecastBench,forecastbench_external.csv
grok-4-3_high,grok-4.3_high,GDP.pdf,GDP.pdf,gdp_pdf_external.csv
Llama-2-70b-hf ,Llama-2-70b-hf,GSM8K,GSM8K,gsm8k_external.csv
Llama-2-70b-hf ,Llama-2-70b-hf,HellaSwag,HellaSwag,hella_swag_external.csv
Llama-2-70b-hf ,Llama-2-70b-hf,LAMBADA,LAMBADA,lambada_external.csv
QwQ-32B (16K thinking),QwQ-32B_16K,Lech Mazur Writing,Lech Mazur Writing,lech_mazur_writing_external.csv
gemini-2.5-flash-preview-04-17 (24K thinking),gemini-2.5-flash-preview-04-17_24K,Lech Mazur Writing,Lech Mazur Writing,lech_mazur_writing_external.csv
Llama-2-70b-hf ,Llama-2-70b-hf,MMLU,MMLU,mmlu_external.csv
Llama-2-70b-hf ,Llama-2-70b-hf,OpenBookQA,OpenBookQA,open_book_qa_external.csv
Llama-2-70b-hf ,Llama-2-70b-hf,PIQA,PIQA,piqa_external.csv
fireworks/deepseek-v3p2,deepseek-v3.2,ProofBench,ProofBench,proofbench_external.csv
openai/gpt-oss-120b_high,gpt-oss-120b_high,SciCode,SciCode,scicode_external.csv
