rand_model,rand_score,implied_stderr
claude-3-7-sonnet-20250219_16K,0.636,0.08375722492580999
claude-3-7-sonnet-20250219,0.545,0.08668560399163139
o3-2025-04-16_medium,0.545,0.08668560399163139
claude-3-5-sonnet-20241022,0.515,0.08699965168860961
gemini-1.5-pro-001,0.485,0.08699965168860961
o3-mini-2025-01-31_medium,0.485,0.08699965168860961
DeepSeek-V3,0.485,0.08699965168860961
DeepSeek-R1,0.485,0.08699965168860961
o1-preview-2024-09-12,0.455,0.08668560399163139
o4-mini-2025-04-16_medium,0.455,0.08668560399163139
o1-2024-12-17_medium,0.455,0.08668560399163139
Llama-3.1-70B-Instruct,0.424,0.0860274797534327
mistral-large-2407,0.424,0.0860274797534327
Llama-4-Maverick-17B-128E-Instruct,0.3939999999999999,0.08506040634321427
claude-3-5-sonnet-20240620,0.3939999999999999,0.08506040634321427
gpt-4.5-preview-2025-02-27,0.364,0.08375722492580999
gpt-4-turbo-2024-04-09,0.3329999999999999,0.08204045565229609
Llama-3.1-405B-Instruct,0.3329999999999999,0.08204045565229609
mistral-large-2402,0.3329999999999999,0.08204045565229609
claude-3-opus-20240229,0.3329999999999999,0.08204045565229609
gpt-4o-2024-08-06,0.303,0.07999829543638586
grok-2-1212,0.303,0.07999829543638586
amazon.nova-micro-v1:0,0.281,0.07824572793062852
amazon.nova-lite-v1:0,0.281,0.07824572793062852
amazon.nova-pro-v1:0,0.281,0.07824572793062852
Llama-3.1-8B-Instruct,0.242,0.07455646629680532
Llama-4-Scout-17B-16E-Instruct,0.212,0.07114986317838588
claude-3-sonnet-20240229,0.152,0.06249751510211741
Mixtral-8x7B-Instruct-v0.1,0.152,0.06249751510211741
claude-3-haiku-20240307,0.152,0.06249751510211741
gemini-1.0-pro-001,0.121,0.05677147170894903
