model,n_obs,is_human,theta1_A,theta2_A,theta3_A,theta1_B,theta2_B,theta3_B,max_abs_shift
phi-2,8,False,-0.213,-3.421,0.216,-0.113,0.067,-3.586,3.802
High School Qualifier,1,True,-2.163,3.22,0.238,-1.52,2.288,3.266,3.028
High School Top Performer,1,True,-1.802,3.884,1.069,-1.067,2.869,3.966,2.897
Phi-3-small-8k-instruct,9,False,0.117,-1.758,0.85,-0.101,0.806,-2.02,2.871
gpt-4-32k-0314,2,False,0.146,-1.024,1.747,-0.191,1.622,-1.021,2.768
gpt-4-0314,7,False,0.146,-1.024,1.747,-0.191,1.622,-1.021,2.768
Phi-3-mini-4k-instruct,9,False,-0.182,-1.624,0.678,-0.276,0.622,-1.853,2.531
chatglm2-6b,8,False,-0.889,-2.627,-0.197,-0.791,-0.276,-2.697,2.5
Qwen3-235B-A22B-Thinking-2507,13,False,0.333,1.671,-0.57,1.286,-0.747,0.79,2.418
Yi-34B-Chat,5,False,-0.413,-1.279,0.968,-0.74,1.009,-1.17,2.288
Meta-Llama-3-8B-Instruct,15,False,-0.261,-1.339,0.505,-0.302,0.447,-1.691,2.195
Mistral-7B-Instruct-v0.2,9,False,-1.7,-1.224,1.088,-1.793,0.902,-0.846,2.126
Phi-3-medium-128k-instruct,10,False,0.233,-1.217,0.785,-0.006,0.749,-1.331,2.117
gpt-4-0613,25,False,0.346,-1.148,0.889,0.055,0.911,-1.197,2.087
DeepSeek-R1-Distill-Qwen-14B,2,False,-0.169,1.064,-1.003,0.323,-1.006,0.965,2.07
claude-2.0,5,False,-0.481,-0.551,1.525,-0.645,1.297,-0.496,2.021
gemini-1.5-pro-001,25,False,0.656,-0.624,0.936,0.59,0.834,-0.999,1.935
text-babbage-001,3,False,-1.83,-0.022,-1.868,-1.741,-1.786,0.061,1.929
Baichuan-2-7B-Base,7,False,0.23,0.216,-1.713,0.339,-1.623,0.202,1.915
Megatron-Turing NLG 530B,6,False,0.346,1.137,-0.71,0.383,-0.674,1.202,1.913
falcon-180B,9,False,0.115,1.495,-0.337,-0.009,-0.252,1.556,1.893
Qwen-7B,7,False,-0.834,-1.636,0.152,-0.446,-0.111,-1.726,1.878
opt-1.3b,6,False,-0.632,-0.759,-2.573,-0.639,-2.445,-0.719,1.854
gpt-4-1106-vision-preview,1,False,0.405,-0.898,0.881,0.124,0.95,-0.944,1.848
claude-3-opus-20240229,31,False,0.394,-0.63,1.203,0.17,0.996,-0.626,1.829
deepseek-llm-67b-chat,2,False,-0.263,-1.196,0.4,-0.341,0.489,-1.423,1.823
text-curie-001,3,False,-1.809,0.451,-1.254,-1.738,-1.2,0.55,1.803
Phi-3.5-vision-instruct,2,False,-0.491,-1.824,1.452,-1.001,-0.126,-0.349,1.801
Llama-2-70b-chat-hf,4,False,-0.245,-1.594,0.091,-0.433,0.181,-1.706,1.796
Llama-2-70b-chat,3,False,-0.245,-1.594,0.091,-0.433,0.181,-1.706,1.796
gpt-4-0125-preview,3,False,0.482,-0.831,0.899,0.197,0.937,-0.874,1.773
gpt-4-turbo,4,False,0.538,-0.82,0.817,0.239,0.943,-0.899,1.764
gpt-4-1106-preview,3,False,0.538,-0.82,0.817,0.239,0.943,-0.899,1.764
gpt-4o-2024-05-13,9,False,0.672,-0.645,1.109,0.288,1.107,-0.583,1.752
gpt-4o,2,False,0.672,-0.645,1.109,0.288,1.107,-0.583,1.752
gpt-4o-2024-08-06,31,False,0.712,-0.633,0.937,0.512,0.883,-0.777,1.714
gpt-3.5-turbo-instruct,1,False,-0.586,-0.894,0.466,-0.568,0.451,-1.244,1.71
gpt-3.5-turbo-1106,10,False,-0.506,-0.626,0.719,-0.461,0.639,-0.979,1.698
gpt-3.5-turbo-0613,6,False,-0.519,-0.764,0.606,-0.629,0.606,-1.087,1.692
DeepSeek-Coder-V2-Base,3,False,1.096,0.921,-0.753,1.153,-0.732,0.936,1.689
claude-3-5-sonnet-20240620,30,False,0.562,-0.426,1.366,0.304,1.124,-0.318,1.684
gpt-neo-2.7B,4,False,-0.265,-0.775,-2.406,-0.248,-2.304,-0.724,1.682
Llama-3.3-70B-Instruct,11,False,0.576,-0.737,0.912,0.331,0.81,-0.766,1.679
gemini-1.0-pro-vision,1,False,0.362,-0.742,0.549,0.299,0.595,-1.127,1.676
gemini-1.5-pro-001-feb24,4,False,0.576,-0.608,0.752,0.491,0.727,-0.909,1.661
claude-3-5-sonnet-20241022,38,False,0.444,-0.229,1.627,0.185,1.224,-0.022,1.649
DeepSeek-V2,7,False,0.192,-0.59,0.829,0.077,0.792,-0.791,1.621
PaLM 62B,7,False,-0.373,0.894,-0.719,-0.311,-0.674,0.898,1.617
Llama-2-34b,9,False,-0.155,0.916,-0.64,-0.156,-0.591,0.972,1.612
gemini-1.0-pro-001,19,False,-0.103,-0.987,0.322,-0.138,0.368,-1.28,1.602
Qwen-1_8B,7,False,-2.081,-1.57,-0.138,-1.616,-0.305,-1.726,1.588
babbage,3,False,-1.479,-0.235,-1.749,-1.394,-1.684,-0.163,1.586
curie,3,False,-1.604,0.363,-1.151,-1.566,-1.09,0.435,1.585
qwen1.5-72b-chat,1,False,0.34,-1.363,0.043,0.111,0.221,-1.488,1.583
gemma-3-12b-it,6,False,0.376,-1.099,0.373,0.305,0.328,-1.208,1.581
Mistral-7B-Instruct-v0.3,3,False,-1.275,-0.686,1.1,-1.372,0.883,-0.413,1.568
Meta-Llama-3-70B-Instruct,19,False,0.296,-0.983,0.523,0.084,0.556,-1.036,1.559
text-ada-001,3,False,-1.303,-0.891,-2.357,-1.197,-2.306,-0.804,1.553
Llama-3.1-70B-Instruct,23,False,0.495,-0.776,0.701,0.267,0.756,-0.841,1.541
claude-3-sonnet-20240229,22,False,0.08,-0.788,0.685,-0.123,0.749,-0.8,1.537
deepseek-coder-1.3b-base,4,False,-1.414,-0.59,-2.106,-0.974,-2.063,-0.571,1.535
Nemotron-4 15B,7,False,-0.028,0.885,-0.638,0.028,-0.602,0.888,1.526
Mistral-7B-Instruct-v0.1,1,False,-1.085,-0.841,0.664,-1.212,0.679,-0.736,1.521
open-mistral-7b,2,False,-1.085,-0.841,0.664,-1.212,0.679,-0.736,1.521
Mistral-7B-v0.1,11,False,-1.085,-0.841,0.664,-1.212,0.679,-0.736,1.521
gpt2-xl,7,False,-0.354,-0.801,-2.612,-0.502,-2.321,-1.245,1.52
gpt-3.5-turbo-0125,12,False,-0.435,-0.708,0.468,-0.377,0.429,-1.052,1.52
gpt-4-turbo-2024-04-09,24,False,0.613,-0.712,0.744,0.361,0.805,-0.755,1.517
PaLM 2-L,5,False,0.451,1.114,-0.376,0.459,-0.332,1.127,1.504
open-mixtral-8x22b,5,False,-0.263,-0.427,0.976,-0.287,0.702,-0.523,1.499
Baichuan-2-13B-Base,8,False,0.605,0.002,-1.488,0.814,-1.477,-0.06,1.479
open_llama_7b,7,False,-1.724,0.569,-0.952,-1.473,-0.91,0.524,1.479
opt-66b,3,False,-1.68,0.677,-0.716,-1.718,-0.652,0.761,1.477
Llama-3.2-90B-Vision-Instruct,9,False,0.44,-0.753,0.709,-0.132,0.723,-0.246,1.475
gemini-2.0-flash-lite-001,1,False,0.809,-0.695,0.822,0.308,0.771,-0.359,1.466
