name,mean,hdi_low,hdi_high,n_obs,is_low_obs
text-babbage-001,-3.026002863732796,-3.539634646022601,-2.5338251264473053,2,True
text-ada-001,-2.934213402693563,-3.4452984202019263,-2.4456914700065724,2,True
babbage,-2.586664471324972,-3.024922886276753,-2.1431176010227304,2,True
ada,-2.5802741857276636,-3.0320049566248524,-2.156800030506526,2,True
text-curie-001,-2.487214784998926,-2.9055260698719336,-2.071340698712075,2,True
opt-1.3b,-2.4346949419099295,-2.938625758372203,-1.962165027674102,2,True
stablelm-tuned-alpha-7b,-2.405324432611382,-2.9085089292910404,-1.918872306460584,2,True
dolly-v2-12b,-2.3687563043894198,-2.7532196862215654,-1.9972974792967042,3,True
Cerebras-GPT-13B,-2.3284842283806766,-2.682627217549206,-1.965214210127702,3,True
curie,-2.32665644285892,-2.7436425282987345,-1.9376630010616431,2,True
deepseek-coder-1.3b-base,-2.32038107413525,-2.679918856711375,-1.9568452813940476,3,True
opt-13b,-2.268985768901633,-2.6249852134285288,-1.920765495858613,3,True
gpt2-xl,-2.251243393273226,-2.6742885902572007,-1.8613226124294855,3,True
gpt-j-6b,-2.246854602510923,-2.605854540346411,-1.893229788171715,3,True
gpt-neo-2.7B,-2.2357664278755687,-2.8453299721647713,-1.6071508057404509,1,True
RedPajama-INCITE-7B-Base,-2.1571224467720564,-2.497032875669667,-1.80838188241013,3,True
opt-66b,-2.1094982411218948,-2.4784485780619083,-1.7443984015359952,2,True
open_llama_7b,-2.0668235125187437,-2.418762727201259,-1.7419861949144475,3,True
gpt-neox-20b,-2.0395723575839853,-2.5425950893793394,-1.5461162705735045,2,True
Qwen-1_8B,-2.0019290862419825,-2.274839922404795,-1.7352730516458044,6,False
bloom,-1.976546060255077,-2.3579526909850452,-1.594334852093165,2,True
davinci,-1.950583216942243,-2.3303695756201166,-1.5808276163851418,2,True
opt-175b,-1.9482036200228723,-2.308379151440536,-1.5930325231352382,2,True
falcon-7b,-1.9419805530618668,-2.193913214938646,-1.7063938305027913,7,False
mpt-7b,-1.9219073552335337,-2.171671538149081,-1.6731277242947684,7,False
xgen-7b-8k-base,-1.87418356027764,-2.2157834822265023,-1.5453714100614935,3,True
starcoder2-3b,-1.8676834361136712,-2.1826454583165096,-1.5412974388499256,3,True
Baichuan-7B,-1.8631052694594867,-2.1324925764814098,-1.6060657277065944,3,True
deepseek-coder-6.7b-base,-1.8611275895649806,-2.1889710460118477,-1.548393393669756,3,True
LLaMA-7B,-1.852988890579584,-2.0855723799189723,-1.6127446382596444,8,False
gemma-2b,-1.8207842798866591,-2.0728523903567146,-1.5798562435712846,6,False
phi-1_5,-1.808846878486863,-2.134114859897607,-1.4787630299494918,3,True
Qwen2-VL-7B-Instruct,-1.7897707396451261,-2.6331162687321616,-0.9744731427057263,2,True
starcoder2-7b,-1.7138676580481553,-2.0291926205426702,-1.3996618608271967,3,True
Phi-3.5-vision-instruct,-1.7064968101511675,-2.7133091135278304,-0.7872381760052598,2,True
Llama-2-7b,-1.6757498920696379,-1.90561205626756,-1.4538974725790212,8,False
Qwen2.5-Coder-0.5B,-1.6723223089189743,-1.9927520924194864,-1.3693740522582072,3,True
deepseek-coder-33b-base,-1.6674035779171827,-1.9708087564827947,-1.3507962854998856,3,True
Baichuan-2-7B-Base,-1.6653491902841218,-1.910088011410441,-1.4241950354187571,6,False
T5-Small,-1.6625381572623255,-2.238367131617364,-1.066607479885482,2,True
CodeQwen1.5-7B,-1.6619656831313434,-1.9748833899910259,-1.3398170141102401,3,True
Mistral-7B-Instruct-v0.2,-1.6586755424621318,-1.8798487880824255,-1.453973695065073,8,False
mpt-30b,-1.6534429436321378,-1.8814699113572697,-1.4317411594410254,6,False
LLaMA-13B,-1.6221850794404422,-1.8430434918888858,-1.3955686558874876,8,False
chatglm2-6b,-1.620861843404317,-1.8507861998128918,-1.384567722494113,6,False
internlm-7b,-1.615042499890166,-1.8510333670874521,-1.3799620853115424,6,False
INTELLECT-1-Instruct,-1.5575542946012964,-1.8133145985324004,-1.3236378616414137,4,False
internlm-chat-20b,-1.5562240391334912,-1.8063768484183131,-1.3159654016197349,3,True
vicuna-13b-v1.3,-1.5545474834199522,-1.893585860583677,-1.211948349268904,2,True
Baichuan-13B-Base,-1.5197065868785369,-1.760154901245764,-1.2819382993494641,3,True
vicuna-13b-v1.1,-1.5079602584022012,-1.7520126314325364,-1.2570908764927788,4,False
text-davinci-001,-1.505124661263679,-1.8140408038922804,-1.2121468185149418,9,False
LFM2-Audio-1.5B,-1.504588385021013,-2.3194880876933355,-0.6848949501259052,1,True
davinci-002,-1.4795007096261958,-1.96552007699569,-0.9891721849314021,1,True
falcon-40b,-1.4787793379770018,-1.6999394821714726,-1.2581342669391764,7,False
falcon-40b-instruct,-1.43159138559637,-1.8429852673648173,-1.036682184109798,1,True
Llama-3.2-1B-Instruct,-1.4278034365869834,-2.216751840371209,-0.6567059555938453,1,True
open-mistral-7b,-1.4154807276687897,-1.7244527293268712,-1.137794264909046,2,True
Qwen-7B,-1.4027501237069318,-1.6379510852164563,-1.1879129302146563,6,False
Yi-6B,-1.3985479043176576,-1.6249287429137234,-1.1676688284967773,4,False
PaLM 62B,-1.3908768621583203,-1.6517413322846053,-1.1433193196673055,4,False
Baichuan-2-13B-Base,-1.3814508643290122,-1.6156876112589589,-1.1476774185406176,6,False
Llama-2-13b,-1.367783675827077,-1.5797100224178464,-1.1513567167288516,8,False
Baichuan2-13B-Chat,-1.3324904866662706,-1.5659105453895246,-1.0922958731296963,3,True
mpt-30b-instruct,-1.3177567613165433,-1.6657551250882157,-0.9767190614558139,2,True
Meta-Llama-3-8B,-1.3075256126675676,-2.485706946965877,-0.023091771186034015,1,True
Llama-2-34b,-1.3032675125579123,-1.5223343923481163,-1.0809206682141543,6,False
Mistral-7B-Instruct-v0.3,-1.3028807654949321,-1.5346214885584144,-1.0812992340474816,3,True
