name,mean,hdi_low,hdi_high,n_obs,is_low_obs
text-babbage-001,64.04657218303898,47.632992398855066,80.31203968554405,2,True
text-ada-001,66.0787387122304,49.3984089990866,81.41964297325353,2,True
babbage,73.76532438104029,59.24860269599107,87.58803576601892,2,True
ada,73.90639631426954,59.65540559734728,87.92913894202934,2,True
text-curie-001,75.97041642195983,62.2230697729088,89.30187892987311,2,True
opt-1.3b,77.1420650806407,62.351127916278244,91.1595521153329,2,True
stablelm-tuned-alpha-7b,77.77986137446428,62.618994704615886,91.80543136275469,2,True
dolly-v2-12b,78.5887812144594,65.60279587385381,90.72067847938779,3,True
Cerebras-GPT-13B,79.47686077985075,66.92114078842948,91.51839277822498,3,True
curie,79.50701700962053,65.66276323060073,91.90104854589154,2,True
deepseek-coder-1.3b-base,79.65943555086884,67.41739718538743,91.86970673055174,3,True
opt-13b,80.79623541620366,68.48394317366404,92.49847783173703,3,True
gpt2-xl,81.21171395804231,68.50854130780908,93.07407870220071,3,True
gpt-j-6b,81.2861929813795,69.22970743803671,93.07264849451843,3,True
gpt-neo-2.7B,81.52863152979873,64.54451432746481,97.52900725700812,1,True
RedPajama-INCITE-7B-Base,83.26895358394269,71.13205003815752,94.30658212714026,3,True
opt-66b,84.31834906517938,72.03397947588556,95.69447563965247,2,True
open_llama_7b,85.26696816091612,73.47991523756508,96.09928746292448,3,True
gpt-neox-20b,85.87445429763044,72.1554845844002,99.64759011227693,2,True
Qwen-1_8B,86.706376018542,76.28782648185319,96.40844266370972,6,False
bloom,87.25493713174829,75.2888289079226,98.81873283800311,2,True
davinci,87.83507529358911,75.84976744897865,98.93952108837564,2,True
opt-175b,87.88142173069447,76.36293804552098,99.0428220426173,2,True
falcon-7b,88.02807591919787,78.18270786032019,97.37289662233157,7,False
mpt-7b,88.4734945600082,78.60275196896195,97.71336888523263,7,False
xgen-7b-8k-base,89.52471134542544,78.55377634004631,99.89280724689885,3,True
starcoder2-3b,89.67328850921908,78.90625543924679,99.71779798634208,3,True
Baichuan-7B,89.77160439943832,80.08193046105606,99.24339064828854,3,True
deepseek-coder-6.7b-base,89.81558016783637,79.08614439838223,99.82207062889954,3,True
LLaMA-7B,89.9923878163925,80.43297529860968,98.96478247980667,8,False
gemma-2b,90.7074794021538,81.21425960464111,99.74679605542309,6,False
phi-1_5,90.96307053889501,80.28023559057523,101.3559980994871,3,True
Qwen2-VL-7B-Instruct,91.39319656251926,71.2956628180715,110.90578207890528,2,True
starcoder2-7b,93.07830459228525,83.12070384744145,102.80151466523313,3,True
Phi-3.5-vision-instruct,93.24726469587509,70.39560307701709,115.19963370337845,2,True
Llama-2-7b,93.9124090120225,85.09480787041085,102.36061327131465,8,False
Qwen2.5-Coder-0.5B,93.9972933261606,84.28743809248148,103.68567391561999,3,True
deepseek-coder-33b-base,94.10076885008782,84.23152018871585,103.58022976034809,3,True
Baichuan-2-7B-Base,94.14748290475879,85.04627372300885,102.51529771387592,6,False
T5-Small,94.20776078598622,79.23888913223945,108.94378166389451,2,True
CodeQwen1.5-7B,94.21756257041332,84.25690236832571,103.9499860773618,3,True
Mistral-7B-Instruct-v0.2,94.30328518371972,86.04207851789478,102.20153318645401,8,False
mpt-30b,94.40867117679353,85.68578294502376,102.59510928715491,6,False
