name,mean,hdi_low,hdi_high
GSM8K,-2.9982202289025848,-3.5667865961585967,-2.419758126642273
BoolQ,-2.51415080541266,-2.749231318196333,-2.287336861439183
SuperGLUE,-2.2369152082823405,-2.9563634073651803,-1.5858083111876116
ARC (AI2),-2.0877874681123316,-2.4571133408873895,-1.7346961548442656
MMLU Pro Biology,-2.0358701329416706,-2.1905755180642905,-1.8823595714445518
BIG-Bench Hard (BBH),-1.8196816853749618,-2.1301743211749264,-1.4951854662539819
SEAL Instruction Following,-1.8104056449717065,-1.9276271507301805,-1.6940160404242184
MMLU,-1.8019503478121857,-1.9075814827462259,-1.6952635426115412
LAMBADA,-1.6277052739865194,-2.028416430559717,-1.3030405101677813
WMDP Biology,-1.5805291324812882,-1.7293226895545635,-1.4369880489572284
TriviaQA,-1.5495484270154742,-1.86507543658334,-1.2810593554353833
MMLU Pro Chemistry,-1.5117394846034382,-1.676269036418444,-1.3523080725724288
Adversarial NLI,-1.394035677089129,-2.3920922741293658,-0.4331095961109447
CSQA2,-1.2920693439106419,-2.104713864334887,-0.7132816710819365
MATH Level 5,-1.2437547219253824,-1.4122003482355028,-1.0864545649493378
Lech Mazur Writing,-1.082444607724584,-1.1812926348720998,-0.9784912208926639
MMLU Biology,-1.0788692898067207,-1.160622257424955,-1.0026259411227996
MMLU-Pro,-1.0273728775062108,-1.1220972398334563,-0.9346291448114171
ScienceQA,-0.9932131255905128,-1.3321477267388409,-0.7076572584085606
MMLU Chemistry,-0.8031852715633335,-0.8961560928559824,-0.7165972860367587
WMDP Chemistry,-0.7993917796278072,-0.9423909556680043,-0.6644711291762384
GPQA Main Biology,-0.6591234823669578,-0.8237985657805594,-0.5012959554490976
LAB-Bench Protocol,-0.5219027914195042,-0.6236996903075489,-0.4256848415850129
GPQA Diamond Biology,-0.5067989844598116,-0.6798374730527353,-0.3344064881347849
GeoBench,-0.4947867212873605,-0.7096132705025711,-0.27548607733542363
GPQA Diamond,-0.49361525374087084,-0.5511363196768276,-0.43336219056498987
LiveBench,-0.4908030100881037,-0.5864677736747163,-0.394384542920443
Video-MME,-0.4566870673250811,-0.5934173460519093,-0.3257477924411427
SEAL Tool Use (Enterprise),-0.40985079910066735,-0.5338989435509722,-0.2923752526053167
ForecastBench,-0.3426476548848852,-0.36176735978791813,-0.32293945541568164
LAB-Bench SeqQA,-0.2970273673503061,-0.3913591931734391,-0.20597039123982086
SWE-Bench Verified,-0.12906784457712295,-0.3522305763286187,0.08353714383582103
GPQA Diamond Chemistry,0.04189730800597244,-0.08586519692766298,0.16628388103739858
METR Time Horizons,0.047644756476437206,-0.020973115105268787,0.12005740260922015
GPQA Main Chemistry,0.15883685602386632,0.05519942289616876,0.25860396771365046
MultiChallenge,0.21603942042913865,0.030832891031388143,0.4065191828000692
LAB-Bench Cloning,0.25676503478623347,0.12700170772079789,0.3867062925008424
TutorBench,0.26074595742059803,0.1489877427697427,0.37788682757843983
LAB-Bench LitQA2,0.2743081403972464,0.1908881166905492,0.35286309261122145
Fiction.LiveBench,0.2808751919192596,-0.15327244955220098,0.6965674627111028
OS World (Screenshot),0.3765182206409144,-0.14368706921620492,0.943421098034697
MCP Atlas,0.3824712954885834,-0.0340592618021198,0.783402938629635
CAD-Eval,0.417319813662966,0.1786515712217769,0.6615215346121576
Visual Task Assessment (VISTA),0.4384106020142588,0.373494039129961,0.5062161649838102
DeepResearchBench,0.45041952930202855,0.2932524521968717,0.615431650397968
Aider Polyglot,0.49995288020816286,0.31068878987069326,0.6859502770544398
PRBench Legal,0.5389622745192646,0.3654908631378326,0.7239834818119152
PRBench Finance,0.5441085233258028,0.3680315302448161,0.7394429837587186
SpatialViz-Bench,0.5919849077552561,0.45457106256838753,0.7398977924589946
SciCode,0.6592486752604121,0.6067231422653941,0.7132213765564724
OTIS Mock AIME 2024-2025,0.7243511577512317,0.5840518547097535,0.8704193845776294
