,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_b_log__[0],-2.553414,0.147947,-2.826822,-2.269496,0.001749,0.000848,7202.22042,12219.653814,1.001391
sigma_b_log__[1],-2.115278,0.087499,-2.283282,-1.95393,0.000568,0.000459,23735.473865,23315.301712,1.000038
sigma_b_log__[2],-2.362425,0.363804,-3.108681,-1.777126,0.009477,0.006022,1642.841295,4180.2006,1.004538
sigma_b_log__[3],-2.068531,0.098943,-2.257604,-1.884924,0.00075,0.000469,17440.805119,23889.129973,1.000372
sigma_b_log__[4],-3.144941,0.443775,-3.968643,-2.312326,0.010112,0.004973,1912.648532,2645.469318,1.005521
sigma_b_log__[5],-2.732715,0.142567,-2.994234,-2.458223,0.000846,0.000733,28872.021436,23966.753572,1.000105
sigma_b_log__[6],-2.75137,0.152823,-3.043084,-2.467285,0.002202,0.000863,4790.332584,12209.664181,1.00095
sigma_b_log__[7],-2.512926,0.129207,-2.744729,-2.261556,0.000639,0.000699,41386.277964,25128.197691,1.000156
sigma_b_log__[8],-2.825482,0.1097,-3.02819,-2.615595,0.001338,0.000578,6735.102684,15019.149711,1.000812
sigma_b_log__[9],-2.255161,0.172253,-2.566423,-1.919458,0.00093,0.000967,34998.573792,22385.502263,1.000383
sigma_b_log__[10],-3.391223,0.184991,-3.74193,-3.047968,0.0013,0.00095,20406.906369,21175.729565,1.000043
sigma_b_log__[11],-3.104017,0.233877,-3.548691,-2.666415,0.002613,0.001269,8007.365159,14473.954965,1.000964
sigma_b_log__[12],-2.024876,0.243498,-2.488677,-1.572478,0.004173,0.001514,3465.543716,8457.237224,1.002253
sigma_b_log__[13],-2.266566,0.097493,-2.445701,-2.079439,0.000558,0.000532,30610.67464,24154.418311,1.000098
sigma_b_log__[14],-2.943368,0.162659,-3.242253,-2.632641,0.002206,0.001124,5440.761739,11093.54673,1.001348
