obs_idx,model,benchmark,score,pit
48,qwen3.5-9B,CritPt,0.0028571428571428,0.4155
49,qwen3.6-35b-a3b,CritPt,0.0028571428571428,0.071
50,claude-sonnet-4-20250514_unknown,CritPt,0.0028571428571428,0.2205
51,Qwen3-32B,CritPt,0.0028571428571428,0.408
52,magistral-medium-2509,CritPt,0.0028571428571428,0.4395
53,magistral-small-2509,CritPt,0.0028571428571428,0.411
54,command-a-plus-05-2026,CritPt,0.0028571428571428,0.4275
55,o3-mini-2025-01-31_high,CritPt,0.0028571428571428,0.154
56,gpt-5.6-luna_none,CritPt,0.0028571428571428,0.428
57,claude-opus-4-20250514_unknown,CritPt,0.003,0.0985
58,Llama-3.2-90B-Vision-Instruct,EnigmaEval,0.0038,0.587
59,gpt-4-0314,OTIS Mock AIME 2024-2025,0.0055555555555555,0.07
60,gemma-2-9b-it,OTIS Mock AIME 2024-2025,0.0055555555555555,0.3735
61,MiniMax-M2.7,CritPt,0.0057142857142857,0.376
62,Llama-4-Maverick-17B-128E-Instruct,EnigmaEval,0.0058,0.2095
63,o4-mini-2025-04-16_high,CritPt,0.006,0.0475
64,gemini-2.0-flash-001,EnigmaEval,0.0063,0.1715
65,gemini-2.0-pro-exp-02-05,EnigmaEval,0.0069,0.14
66,gpt-4o-2024-11-20,EnigmaEval,0.008,0.522
67,claude-3-opus-20240229,EnigmaEval,0.0081999999999999,0.5755
68,gemini-2.5-pro-preview-06-05,Remote Labor Index,0.0083,0.1645
69,Meta-Llama-3-8B-Instruct,OTIS Mock AIME 2024-2025,0.0083333333333333,0.2365
70,pixtral-large-2411,EnigmaEval,0.0084,0.4565
71,mercury-2,CritPt,0.0084897959183673,0.3405
72,trinity-large-thinking,CritPt,0.0085714285714285,0.653
73,claude-3-5-sonnet-20241022,EnigmaEval,0.0091,0.293
74,deepseek-chat,Chess Puzzles,0.01,0.063
75,gpt-5-nano-2025-08-07_minimal,Chess Puzzles,0.01,0.096
76,o1-2024-12-17_high,APEX Agents,0.011,0.0025
77,gpt-4o-2024-11-20,APEX Agents,0.011,0.179
78,DeepSeek-R1,CritPt,0.011,0.5315
