name,kind,release_date,mean,hdi_low,hdi_high,n_obs,is_low_obs
ChatGPT agent,model,2025-07-17,-0.05977050574833306,-1.2817975199470006,0.7123373472279182,1,True
Composer 2.5,model,2026-05-18,0.3869803560629254,-0.5576566905389228,1.041251916576012,1,True
DeepSeek-R1,model,2025-01-20,-0.23172381602413625,-0.39692384272422176,-0.0627789895113526,13,False
DeepSeek-R1-0528,model,2025-05-28,-0.12073627511482202,-0.3964149335744597,0.14779471496545996,3,True
DeepSeek-R1-Distill-Llama-70B,model,2025-01-20,-0.6972077072831584,-0.961700058794262,-0.32676800824977825,2,True
DeepSeek-R1-Distill-Qwen-32B,model,2025-01-20,-1.1562522254452179,-1.4736234761435862,-0.8341254505284369,1,True
DeepSeek-V3,model,2024-12-26,-0.6659106104581498,-0.856084369736289,-0.48740393607181787,11,False
DeepSeek-V3-0324,model,2025-03-24,-0.39588310227156176,-0.581061987450842,-0.21587879486227393,6,False
DeepSeek-V3.1,model,2025-08-21,-0.27465894213334663,-0.6742336836835002,0.09182709184056437,3,True
DeepSeek-V3.1-Terminus,model,2025-09-22,-0.07968671747391975,-1.1675807333776531,0.5485944538705376,1,True
DeepSeek-V3.1_thinking,model,2025-08-21,-0.24103143046845082,-0.7621500207108391,0.22307765846041766,1,True
DeepSeek-V3.2-Exp_thinking,model,2025-09-29,-0.11201503694887119,-0.5773816361678805,0.3076046316848685,2,True
DeepSeek-V3.2-Speciale,model,2025-12-01,0.03793039368000894,-0.4550033228402728,0.5162703258922601,1,True
Dracarys2-72B-Instruct,model,2024-09-30,-0.8937566316668867,-1.191019419997173,-0.5606643183414913,1,True
Dracarys2-Llama-3.1-70B-Instruct,model,2024-08-14,-1.1341398003670804,-1.4433791992198162,-0.804306963948743,1,True
GLM-4.5-Air,model,2025-07-20,-0.2929298880549569,-0.903805613799557,0.14120987367269583,2,True
Hermes-2-Theta-Llama-3-70B,model,2024-06-20,-1.4761932956295558,-2.234321487479181,-0.9369050308041582,1,True
Inkling,model,2026-07-15,-0.3025801525789823,-1.0738242186788098,0.20774361527740476,2,True
Inkling_high,model,2026-07-15,-0.4576489757178168,-0.9777707586582168,0.010664525073282591,1,True
Inkling_xhigh,model,2026-07-15,0.6230478821904673,0.12384353928168525,1.0041952128223268,2,True
Kimi-K2-Instruct,model,2025-07-12,-0.1731854436921364,-0.6416969574890699,0.27905275495948123,2,True
Kimi-K2-Instruct-0905,model,2025-09-05,-0.34566513555343403,-0.7356482643661849,0.018774314599695318,3,True
Llama-2-70b-chat-hf,model,2023-07-18,-2.1421617116100933,-3.0241278234506166,-1.5281247164239438,2,True
Llama-3.1-405B-Instruct,model,2024-07-23,-0.9893012886551144,-1.2462638413867857,-0.751033996279352,9,False
Llama-3.1-70B-Instruct,model,2024-07-23,-1.4325085763796346,-1.7323159792164424,-1.156233216266064,7,False
Llama-3.1-8B-Instruct,model,2024-07-23,-2.1876120060465833,-2.566426013704101,-1.8336922684007895,8,False
Llama-3.1-Tulu-3-70B-DPO,model,2024-11-21,-1.3383073613362675,-2.138067871174153,-0.8119315828202268,1,True
Llama-3.2-11B-Vision-Instruct,model,2024-09-24,-2.028059112736779,-2.9144992630062556,-1.2087250655431379,1,True
Llama-3.2-90B-Vision-Instruct,model,2024-09-24,-1.3662096167644875,-1.7793563017107763,-1.0311257611335125,5,False
Llama-3.3-70B-Instruct,model,2024-12-06,-1.0781792979803453,-1.3277385531047665,-0.8647837916429352,5,False
Llama-4-Maverick-17B-128E-Instruct,model,2025-04-05,-0.6457235929375698,-0.8908032709019944,-0.42389800122920285,11,False
Llama-4-Maverick-17B-128E-Instruct-FP8,model,2025-04-05,-0.8236983081656919,-1.4286852570805033,-0.3549726065179456,2,True
Llama-4-Scout-17B-16E-Instruct,model,2025-04-05,-1.314480094869345,-1.7287346425955417,-0.9549137216497611,6,False
Manus 1.0,model,2025-03-05,0.3304678158053022,-0.9923766352440518,1.019021665326951,1,True
Manus 1.5,model,2025-10-16,0.3320018023780549,-0.9355283251963677,1.0094799211566923,1,True
Manus_1.6 (Max),model,2025-12-15,0.4237871759529691,-0.786225722416473,1.0637540966527377,1,True
Meta-Llama-3-70B,model,2024-04-18,-0.576894834760389,-1.9646765516963633,0.8231211551116139,1,True
Meta-Llama-3-70B-Instruct,model,2024-04-18,-1.5246598497252837,-1.9103065558756325,-1.166919731683109,5,False
Meta-Llama-3-8B,model,2024-04-18,-1.6003780082885033,-2.977042884540778,-0.16983715915842337,1,True
Meta-Llama-3-8B-Instruct,model,2024-04-18,-1.5458354974512907,-2.20896621302764,-1.0574469135179072,2,True
MiniMax-M1-80k,model,2025-06-13,-0.10189477771455116,-0.815079963685564,0.7211342613435386,1,True
MiniMax-M2.5,model,2026-02-12,-0.2751374944479805,-1.0016414836433989,0.23924245651953838,2,True
MiniMax-M2.7,model,2026-03-18,-0.28185741517945145,-0.689365880584606,0.07065292775674238,3,True
MiniMax-M3,model,2026-06-01,0.30554520662623763,-0.02260842444366302,0.5728612696282536,5,False
Mixtral-8x22B-Instruct-v0.1,model,2024-04-17,-2.1377188813334396,-2.863145317852486,-1.5429071878403178,2,True
Mixtral-8x7B-Instruct-v0.1,model,2023-12-11,-2.4303425803603997,-2.952951301291848,-1.9385016838466813,5,False
OLMo-2-1124-13B-Instruct,model,2024-12-31,-2.1463608584086673,-2.5708252982970023,-1.781848712904476,1,True
Phi-3-mini-4k-instruct,model,2024-04-23,-2.1335068005034494,-2.55178192268199,-1.7615285761158064,1,True
Phi-3-small-8k-instruct,model,2024-04-23,-2.05013924385662,-2.4673295754848517,-1.6997797494694185,1,True
Phi-3.5-vision-instruct,model,2024-08-16,-2.6150968856994066,-3.5291573412485304,-1.7565402723112435,1,True
Phi-4-mini-instruct,model,2025-02-27,-0.6423792566693192,-1.697736205192604,0.04883724294890672,1,True
Pixtral-12B-2409,model,2024-09-17,-1.5978250135346568,-2.3464154752665625,-0.8771355804443529,2,True
QwQ-32B,model,2025-03-05,-0.11317334880339189,-0.42039435382479345,0.28650026483342794,1,True
QwQ-32B-Preview,model,2024-11-28,-1.341238237629614,-1.6638535178343983,-1.0027084495286738,2,True
Qwen2-VL-72B-Instruct,model,2024-08-29,-1.263848157127033,-2.0551972701891237,-0.5039679983996569,1,True
Qwen2.5-Coder-32B-Instruct,model,2024-11-21,-1.1293484923440658,-1.4327316586346788,-0.8056581422258621,1,True
Qwen2.5-VL-72B-Instruct,model,2024-09-19,-0.2345706846385373,-1.516423313491458,1.1508180234297956,1,True
Qwen3-235B-A22B-Instruct-2507,model,2025-07-25,-0.23191677787789217,-0.7595919473812456,0.24928441368756066,1,True
Qwen3-235B-A22B-Thinking-2507,model,2025-07-25,0.007032189631454252,-0.24439679325472582,0.2447217287038433,5,False
Qwen3-30B-A3B,model,2025-04-29,-0.5529091847818695,-1.1162271100221781,-0.08971951802660161,1,True
Qwen3-32B,model,2025-04-29,-0.4943877011031661,-1.5139103590118688,0.1875972662475687,1,True
Qwen3-Coder-480B-A35B-Instruct,model,2025-07-31,-0.14197451718874768,-0.6388284167952549,0.3265206084592594,1,True
Qwen3-Next-80B-A3B-Instruct,model,2025-09-11,-0.05109275598788613,-0.7400202666985569,0.7750372255067216,1,True
Ring-2.6-1T,model,2026-05-14,0.21170278409894805,-0.8240303226397204,0.8024156040894681,1,True
amazon.nova-lite-v1:0,model,2024-12-03,-1.498645387995154,-1.7438967992379149,-1.260539087850025,8,False
amazon.nova-micro-v1:0,model,2024-12-03,-1.9015049504808124,-2.2129480208424135,-1.6437887920831329,6,False
amazon.nova-pro-v1:0,model,2024-12-03,-1.2319432262540797,-1.4602383557535723,-1.0044463033533448,8,False
c4ai-command-r-08-2024,model,2024-08-30,-1.8852164173589463,-2.267851048431481,-1.5297958324873357,1,True
c4ai-command-r-plus-08-2024,model,2024-08-30,-1.7789231697615848,-2.143408139303022,-1.4882093562161545,2,True
chatgpt-4o-01-29-2025,model,2025-01-29,0.0035183859509946083,-0.6614278679784791,0.8893459708692014,1,True
chutes/Llama-4-Scout-17B-16E Instruct,model,2025-04-06,-0.6625035279134506,-1.458182021243162,-0.039528596057645644,1,True
claude-2.0,model,2023-07-11,-1.4683953533247716,-2.2604349082667645,-0.9429870377740681,1,True
claude-2.1,model,2023-11-21,-1.7997605930679617,-2.4089462069452265,-1.3346122697313285,3,True
claude-3-5-haiku-20241022,model,2024-10-22,-1.1733622163512782,-1.4249650695132123,-0.9132205632578694,5,False
claude-3-5-sonnet-20240620,model,2024-06-20,-0.6445085980338956,-0.8539352574421966,-0.44314642060471493,11,False
claude-3-5-sonnet-20241022,model,2024-10-22,-0.5933751238191347,-0.769229540249591,-0.42264143847204416,13,False
claude-3-7-sonnet-20250219,model,2025-02-24,-0.24573426950574842,-0.4476885130248838,-0.060517549764111646,12,False
claude-3-7-sonnet-20250219_15K,model,2025-02-24,-0.12232455736482953,-1.4350596251691916,1.2683199629714812,1,True
claude-3-7-sonnet-20250219_16K,model,2025-02-24,-0.07668132360758395,-0.34821743343302836,0.21409592544601685,6,False
claude-3-7-sonnet-20250219_32K,model,2025-02-24,-0.18397060791993786,-0.6845412193291175,0.3585695804811717,1,True
claude-3-7-sonnet-20250219_64K,model,2025-02-24,-0.09815916830308824,-0.5888229038392755,0.46911998234175734,1,True
claude-3-7-sonnet-20250219_8K,model,2025-02-24,-0.21039624706034082,-0.915139100669162,0.5529049646571779,1,True
claude-3-7-sonnet-20250219_unknown,model,2025-02-24,-0.10347230258491164,-0.4158325720817887,0.1738178591065651,5,False
claude-3-haiku-20240307,model,2024-03-07,-1.587774443281674,-1.9653014044528678,-1.2632468829215662,7,False
claude-3-opus-20240229,model,2024-02-29,-1.0232508474029216,-1.2028537043008138,-0.8500408345280338,14,False
claude-3-sonnet-20240229,model,2024-02-29,-1.4144746734913733,-1.7343334095051532,-1.1341688716484346,7,False
claude-fable-5,model,2026-06-09,1.6735917732616352,1.2829298262368323,2.042986617495229,3,True
claude-fable-5_high,model,2026-06-09,1.6379149956823311,1.457911926555842,1.8375037350364467,7,False
