name,mean,hdi_low,hdi_high,n_obs,is_low_obs
gpt2-xl,-2.9603899768335404,-3.644593646813095,-2.4722377109709455,4,False
text-babbage-001,-2.846447058590111,-3.683594835815772,-0.08356450881962638,1,True
Mistral-7B-Instruct-v0.1,-2.724227311904584,-3.2990206379416387,-2.329253741905521,5,False
text-ada-001,-2.6926395440166004,-3.5294099327926642,0.11477348576350534,1,True
text-curie-001,-2.6372907138471016,-3.4719469413938184,0.20568377015958195,1,True
ada,-2.636810284745546,-3.4707636486313986,0.18688772832309433,1,True
babbage,-2.6154824189021193,-3.446952746096031,0.20952956554086424,1,True
deepseek-coder-1.3b-base,-2.6123998766793712,-3.1301041062410557,-1.0318740969247473,3,True
davinci,-2.597074237657716,-3.3041448399672935,-2.106677237998062,3,True
opt-13b,-2.544273569195079,-3.0742131310110308,-0.5913801612911764,2,True
Cerebras-GPT-13B,-2.5343382602520528,-3.064026753344226,-0.6247176702274665,2,True
gpt-j-6b,-2.5212279508360727,-3.0468557576942774,-0.5663937401310075,2,True
curie,-2.4873102618421337,-3.306878531742445,0.3263270955600056,1,True
RedPajama-INCITE-7B-Base,-2.4852508056061184,-3.002014434144511,-0.5009750288991262,2,True
dolly-v2-12b,-2.481500686470297,-3.010396839017806,-0.4974308493985134,2,True
opt-66b,-2.4670096836997253,-3.2950958843266833,0.35780686721798044,1,True
open_llama_7b,-2.3688641441641938,-2.8850999663860373,-0.43163911228583635,2,True
mpt-7b,-2.350311553244174,-2.8261500675313975,-0.9251545073646222,4,False
opt-175b,-2.3001962638386253,-3.125447852230319,0.4757547493866446,1,True
opt-1.3b,-2.297969224288655,-3.2617913658455167,0.2013955826905136,1,True
Qwen-1_8B,-2.2566474751210235,-2.7258220418405927,-0.3879090468253159,3,True
falcon-7b,-2.2486083933068954,-2.6938106874125034,-0.7653684384247007,4,False
Phi-3.5-vision-instruct,-2.2450886165609028,-3.324104248153163,-1.2622045000155981,1,True
LLaMA-7B,-2.1735685523108943,-2.605411803828846,-0.5300148687868681,4,False
stablelm-tuned-alpha-7b,-2.1678237045469784,-3.1225854021329797,0.2750433062105872,1,True
xgen-7b-8k-base,-2.164642182917629,-2.659108526007126,-0.2678536598500516,2,True
starcoder2-3b,-2.1512782558735464,-2.6146502506390004,-0.45664380119007847,3,True
deepseek-coder-6.7b-base,-2.1483444920379595,-2.610910671207471,-0.46356464880880704,3,True
phi-1_5,-2.1083392767203133,-2.597529185574447,-0.18470003062271617,2,True
Average Human,-2.079477978595186,-2.582894616182213,1.9319149380104383,3,False
bloom,-2.0711823588983735,-2.8853388150877133,0.6494242873901752,1,True
Baichuan-7B,-2.0686811662194167,-2.521031044339807,-0.12404306406183375,2,True
gemma-2b,-2.0629089710589743,-2.5748721419506113,-0.9073872036909573,4,False
Qwen2-VL-7B-Instruct,-2.0589107587996582,-3.091616542203542,-1.1466574573623805,1,True
starcoder2-7b,-2.0139658770441913,-2.470949773562315,-0.2886785518643372,3,True
deepseek-coder-33b-base,-1.9689622996461669,-2.4190857494161753,-0.24419729315456196,3,True
CodeQwen1.5-7B,-1.9660401716698153,-2.4263276694409783,-0.2807508085300697,3,True
Qwen2.5-Coder-0.5B,-1.9574316971205015,-2.4177560058124135,-0.2834639008135875,3,True
deepseek-r1-0528-qwen3-8b,-1.9530177016443937,-2.5484507436968062,-1.5193880976744345,3,True
granite-4.0-350m,-1.933902493025475,-2.5055588902743158,-1.5328408914398925,3,True
Llama-2-7b,-1.9262603886457943,-2.3304212876173303,-0.270458109136478,4,False
text-davinci-001,-1.8734876343594524,-2.338454663368195,-0.14848346796814282,3,True
mpt-30b,-1.8676151760017974,-2.264124550795244,-0.18524182416438634,4,False
LLaMA-13B,-1.8166081871166446,-2.206868303366801,-0.01547812428261661,4,False
Baichuan-2-7B-Base,-1.7810017961069065,-2.2053159618572318,-0.1951670923826892,3,True
davinci-002,-1.763352052960741,-2.386527490565509,-1.2592396398873413,1,True
vicuna-13b-v1.1,-1.7613191447446326,-2.398415230086931,0.3980044981397754,2,True
