name,mean,hdi_low,hdi_high,n_obs,is_low_obs
gpt2-xl,79.01844517937533,60.59620870917341,91.79539115389989,4,False
text-babbage-001,80.63277258794636,57.784202159679424,137.6853078567107,1,True
Mistral-7B-Instruct-v0.1,83.55244074003353,67.41192464213066,94.54854098215286,5,False
text-ada-001,83.56197626473387,61.53779797069187,141.3591765519225,1,True
text-curie-001,84.576278818283,62.88602047089759,142.95288159941882,1,True
ada,84.57990141413504,62.57648962913763,142.65052313160086,1,True
babbage,85.06622873197946,62.90395452724993,142.98907980288934,1,True
deepseek-coder-1.3b-base,85.37786626183565,68.60278420940716,120.70992522354564,3,True
davinci,85.88220259614107,68.63560899498327,98.4613605513192,3,True
opt-13b,86.61646001224896,69.63697125376457,128.6873046402652,2,True
Cerebras-GPT-13B,86.83017682652081,70.13600337816932,128.00176517173395,2,True
gpt-j-6b,87.08354114204886,70.37965632082263,129.0426657194351,2,True
curie,87.52120753589509,65.9889360921831,145.181687772992,1,True
RedPajama-INCITE-7B-Base,87.78240810512436,71.14320611787757,130.3480931039463,2,True
opt-66b,87.81553237158047,66.52605391070816,145.58024395502613,1,True
dolly-v2-12b,87.84221266286836,71.25848810211116,130.52054337566707,2,True
open_llama_7b,89.98964292330501,74.05810194084505,131.600421275568,2,True
mpt-7b,90.36651923787173,75.13230747378739,122.7149660023045,4,False
opt-175b,91.03247102278165,70.3695116258284,147.7771940066374,1,True
opt-1.3b,91.3717991675398,67.85445586406286,142.9163572631694,1,True
Qwen-1_8B,92.14263663438392,77.21558990985571,132.2997303433202,3,True
falcon-7b,92.32301748699143,77.8622814167587,125.48497192149581,4,False
Phi-3.5-vision-instruct,93.00777345830267,67.4467108877834,112.56045105764996,1,True
LLaMA-7B,93.7710187865863,79.42860558760822,129.75420707669366,4,False
stablelm-tuned-alpha-7b,93.8702602481517,70.1766245449142,144.0949077102772,1,True
xgen-7b-8k-base,93.93477392642001,78.98583432034569,134.37576740940284,2,True
starcoder2-3b,94.13019716917518,79.96612757570534,131.08051892418067,3,True
deepseek-coder-6.7b-base,94.28005015446797,79.79569932808144,131.10880165842886,3,True
