name,mean,hdi_low,hdi_high
DeepResearch Bench,0.21081840892603054,0.09711259340029045,0.35958105513906113
TriviaQA,0.3072694884439061,0.1437897915516714,0.5363433003715945
PRBench,0.36898930385815876,0.2084875555336271,0.5500060804929903
TutorBench,0.40089119949689833,0.26834657552640184,0.5436452816812398
DrugDiscoveryBench,0.4061952895295918,0.17635622513114874,0.8425903951306193
LAB-Bench LitQA2,0.43628622108701576,0.31229683650902734,0.5692767111966003
FrontierMath Erdos,0.43801752593977017,0.14371389339952187,1.1552459511433286
GeoBench,0.44071701117058704,0.22498956349261892,0.7209140990455747
Visual Task Assessment (VISTA),0.440829703106683,0.35405873782422415,0.5329092272072015
MMLU Biology,0.46249545608913545,0.35088612269803304,0.5838118876648113
CL-bench,0.48172483606125416,0.26051720461865524,0.7176378495260121
Lech Mazur Writing,0.4999485656161392,0.2840821103247227,0.7356656678961021
WMDP Biology,0.5149601539694318,0.3062937885791683,0.7379165615304064
CL-bench Life,0.5401626569660551,0.271102027494594,0.8543017178313993
OSWorld,0.576231529461403,0.1974291707061531,1.2252392408796986
MultiChallenge,0.613379534432344,0.374846275606282,0.8609451150712067
PostTrainBench v1.1,0.6344036255139383,0.25351838881579924,1.1057586720011352
WMDP Chemistry,0.6439737158193133,0.47985063897455454,0.8162592220265174
MirrorCode,0.6696125101058226,0.20153019765323799,1.7543877097865475
GDPval,0.6766007676318575,0.2248863205453231,1.429362371244452
GPQA Diamond Biology,0.6853909455055045,0.42208795064897964,0.957715012853743
CyberGym,0.70281219431363,0.423081176418749,1.0011853560866806
GDP.pdf,0.705473390896687,0.5151511839921464,0.9239656459182117
CTI-REALM,0.7141976134833641,0.4678077612169635,0.96769537284626
MMLU Chemistry,0.7183657116557749,0.60816709588607,0.836035720783059
OEIS Open Lite,0.7246285571508785,0.24313307295827843,1.4222916297860593
SWE Atlas,0.7670873840018394,0.4854369565620023,1.1079769575033007
FrontierCode,0.7936553219774165,0.5578081133245371,1.0348288620234594
SimpleQA Verified,0.8078136967236533,0.6429120883060189,0.9797372265144173
AudioMultiChallenge,0.8204509745717157,0.4540721946641833,1.094402893499008
GPQA Main Biology,0.8293037582999673,0.5795096352548201,1.0938857264387312
Balrog,0.838293216157479,0.6771129838824161,1.004581250397204
LAB-Bench SeqQA,0.8667555328154617,0.7144687377421506,1.0255509034655206
AISI Cyber Ranges - Cooling Tower,0.8843414251959516,0.2537671558712415,2.3755407632945285
BlueprintBench 2,0.8896875412654948,0.40311678886946956,1.46926829118675
LAB-Bench Cloning,0.9050426063317174,0.6779681060682268,1.1412275848324986
LAB-Bench Protocol,0.9103373747893067,0.7464951247964366,1.081252768826851
METR Time Horizons,0.9259969044477081,0.8239695327222945,1.0281532951806969
SEAL Tool Use (Enterprise),0.9406728261184834,0.6838866879309334,1.205890827443652
LMCA,0.9603096169646548,0.8775432003651895,1.043720988913613
MCP Atlas,0.9751622738405128,0.6527398825096702,1.2972918055722564
GPQA Main Chemistry,0.9780025714706194,0.8239456771486474,1.1345539204109374
MMLU-Pro,0.9989269305915374,0.7809310754530168,1.1767586042505371
DTBench,1.015256334536391,0.9233266418077997,1.0984892776123634
GPQA Diamond Chemistry,1.0326741779262556,0.8334641738426934,1.2325127036127133
ARC AI2,1.0400207106730028,0.26100905902116894,1.335145066832252
GBAEval,1.047891955389902,0.31653989747427425,2.026798581645529
Remote Labor Index,1.073352898612106,0.4952371632495171,1.543517680403293
ExploitBench,1.0837063615007563,0.7303660795156225,1.455560359550613
MMLU,1.1133463448122378,0.30902852181712714,1.2326626211314025
Mystery Game Puzzles,1.1182418831718233,0.9087757695462557,1.3230603541832462
MMLU Pro Biology,1.1212106013708802,0.8945789155591335,1.3478358447038918
DeepSWE,1.2053068231309463,0.8335075290103129,1.5839529883195933
WeirdML v2,1.245206691518694,1.1303193949428707,1.3568752244476778
NL2Bash,1.262259784483158,1.0005623109671593,1.5383914091747148
OSWorld 2.0,1.292493102161592,0.775557207392532,1.778216852245246
APEX-Agents,1.3032419267495734,1.105093097354343,1.5017570819585198
GPQA Diamond,1.319415308757512,1.1962863465025506,1.405387896118789
CadEval,1.3333503061649015,0.7589702747168242,1.8951108289742815
CyScenarioBench,1.3632538207935585,0.3936580716062641,2.3494864831232625
Chess Puzzles,1.3770946240877748,1.2200906926847723,1.533401477134437
HLE,1.430408937503745,1.2280325664344995,1.6322691660213158
MultiNRC,1.4693582984647215,1.2825261571044988,1.6627850900952617
FrontierSWE v2,1.4972636552425174,0.5577293014192511,2.270784885586069
AISI Cyber Ranges - The Last Ones,1.5525992482474273,1.224240371696599,1.9119644687180077
EBR-bench,1.569901887403152,0.9056177636874565,2.4307815684900307
EnigmaEval,1.5846862092614313,1.3151386879014022,1.8528939741855985
MMLU Pro Chemistry,1.5852781266078457,1.3403877910759059,1.8355528637938803
AISI CTF Suites - Technical Non-Expert,1.586202564124221,1.1081967992739366,2.0323062971381756
AISI CTF Suites - Expert,1.632073937959429,1.2129441184094303,2.0542631887703986
AISI CTF Suites - Apprentice,1.6630172029338763,1.396858257651834,1.9400861086130197
Surface Evolver Bench,1.667850989508067,1.1970907117932916,2.133767749665195
GSO-Bench,1.6848714392488864,1.3421732052376532,2.0256784343828236
CritPt,1.7141481495945987,1.5299958954561519,1.9034884458980943
VisualToolBench,1.752246954681774,1.3254419384031095,2.121080834718331
Terminal Bench 2.0,1.8729258822352133,1.5561318914659057,2.191805906984403
The Agent Company,1.8898881575709865,0.9916391957550293,2.7278909565032166
GSM8K,1.9170935068411925,0.25633044139877786,2.3808493502536128
BioLP-bench,1.9262239889399024,1.5470593793048788,2.307110331934298
Aider Polyglot,2.0727903813295945,1.677573683531444,2.471411555623932
Fiction.LiveBench,2.1076254060935797,1.2599038037275918,2.9271472795530142
FrontierMath Tiers 1-3 v2,2.124593232537176,1.9117651092274093,2.3412107830405327
Cybench,2.218903980004983,1.8591177877038092,2.5783213785280243
OTIS Mock AIME 2024-2025,2.2571179522002898,2.031244307116867,2.4692259915416015
InterCode-CTF,2.3347640413331767,1.9504447102240978,2.7100815933482862
ProofBench,2.40106825796613,1.8279318218923692,2.966507839523527
MATH Level 5,2.8397851968602934,2.4830321908444364,3.153859476312702
FrontierMath Tier 4 v2,3.3141272317944495,2.8954373370389352,3.7431764711689004
AISI CTF Suites - Practitioner,3.6162200963951543,1.6091579690863171,4.822216641515787
