name,mean,hdi_low,hdi_high
GSM8K,-2.6538477971010046,-3.376478656170957,0.08844912546595779
MMLU Pro Biology,-2.293108144990531,-2.6265993163283317,-2.0948241451348153
MMLU,-2.0387857313429807,-2.172115821908705,-1.002151851176836
ARC AI2,-2.0334796461677573,-2.524718430993679,-0.5148775154018251
InterCode-CTF,-1.8599014705680044,-2.4539924202374723,-1.4813841304084794
MATH Level 5,-1.843332247106763,-2.4921107131271807,-1.636165903111323
MMLU Pro Chemistry,-1.812092878106261,-2.248924045647811,-1.5959274850972758
WMDP Biology,-1.7029780981472808,-1.946511445706056,-1.5277170972388237
TriviaQA,-1.4730814915159711,-1.8275604336680578,-1.140168614812258
NL2Bash,-1.375889888549518,-1.780724279740933,-1.019655687222093
MMLU-Pro,-1.2583750293663605,-1.4303445516830773,-1.147034455855957
AISI CTF Suites - Technical Non-Expert,-1.2242311933362364,-1.696617730691219,-0.8884455142880896
Lech Mazur Writing,-1.1997862783951447,-1.353746349334448,-1.0931395339761125
MMLU Biology,-1.1890853769168825,-1.3340693600426945,-1.092098410583317
DTBench,-1.0773106462541615,-1.3033161186077684,-1.016572085113129
WMDP Chemistry,-0.9605123433495169,-1.1873778110546815,-0.801982396226428
MMLU Chemistry,-0.9529304408065233,-1.1421854785904422,-0.8544227309746097
GPQA Main Biology,-0.8598813612974723,-1.1614187664484008,-0.6554846643421939
GPQA Diamond,-0.7525996987570058,-1.0450821169734443,-0.6983321213414216
LAB-Bench Protocol,-0.7183521140069197,-0.9800897712354872,-0.5878801151728967
SEAL Tool Use (Enterprise),-0.640604760447236,-0.9254145423615899,-0.4677094189875421
GPQA Diamond Biology,-0.6367391703866354,-0.9333083957311478,-0.42187118850806216
GeoBench,-0.5952786883337411,-0.8226192373951194,-0.3787627268095249
LAB-Bench SeqQA,-0.48086923410312943,-0.7230229994188446,-0.3582233018656611
Fiction.LiveBench,-0.2104894420433427,-0.7174916655644119,0.06798427900970104
GPQA Diamond Chemistry,-0.18369534672176813,-0.4814495600597596,-0.02300701246431328
CyberGym,-0.17931180771753702,-0.5595560053222172,0.20733829428392603
METR Time Horizons,-0.07219932871020923,-0.29313627858833563,0.0007011509061039229
GPQA Main Chemistry,-0.06478921327727674,-0.33018213795221657,0.055154961193188565
MCP Atlas,0.03338264832499013,-0.3056937844385651,0.37830536008593424
Aider Polyglot,0.04430130992411649,-0.42913262445553413,0.21182225624214146
MultiChallenge,0.06465661625348362,-0.1159828512115876,0.2499154218337889
OTIS Mock AIME 2024-2025,0.06537646848584329,-0.43768624529818373,0.18160927169212762
CadEval,0.10675745219296576,-0.3157346341950831,0.3864139105337674
LAB-Bench Cloning,0.11409398982351734,-0.17381504975440332,0.28450335660396564
TutorBench,0.1620097444793696,0.05061611742951143,0.27329500164314957
LAB-Bench LitQA2,0.1821160927810654,0.032057164482902314,0.282316776368154
OSWorld,0.19613521589741983,-0.32302248631985175,0.7265334946537707
DeepResearch Bench,0.2664701157484366,0.15895366506044817,0.39718415069800916
Visual Task Assessment (VISTA),0.3392056506063257,0.23071199923843497,0.4048644218901608
