obs_idx,model,benchmark,score,pit
0,claude-3-5-sonnet-20240620,AISI CTF Suites - Apprentice,0.2571072732967866,0.92
1,claude-3-7-sonnet-20250219_unknown,AISI CTF Suites - Apprentice,0.336512555655602,0.718
2,claude-3-opus-20240229,AISI CTF Suites - Apprentice,0.1128357039406292,0.48
3,claude-mythos-preview-early,AISI CTF Suites - Apprentice,0.8621531571857881,0.3635
4,claude-opus-4-20250514_unknown,AISI CTF Suites - Apprentice,0.459534824098837,0.681
5,claude-opus-4-5-20251101_unknown,AISI CTF Suites - Apprentice,0.7268286618982296,0.772
6,claude-opus-4-6_unknown,AISI CTF Suites - Apprentice,0.8099416910847341,0.6755
7,claude-sonnet-4-5-20250929_unknown,AISI CTF Suites - Apprentice,0.6228189258507673,0.8735
8,gpt-3.5-turbo-0613,AISI CTF Suites - Apprentice,0.0054708151174422,0.0725
9,gpt-4-turbo-2024-04-09,AISI CTF Suites - Apprentice,0.0938231715448564,0.388
10,gpt-4o-2024-05-13,AISI CTF Suites - Apprentice,0.1050070141306051,0.213
11,gpt-5-2025-08-07_unknown,AISI CTF Suites - Apprentice,0.5120988842518557,0.1485
12,gpt-5.2-codex,AISI CTF Suites - Apprentice,0.6149902360407432,0.2185
13,gpt-5.3-codex,AISI CTF Suites - Apprentice,0.781051436799829,0.658
14,gpt-5.4-2026-03-05_unknown,AISI CTF Suites - Apprentice,0.7424860415182778,0.2975
15,o1-2024-12-17_unknown,AISI CTF Suites - Apprentice,0.3163816390012545,0.566
16,o3-2025-04-16_unknown,AISI CTF Suites - Apprentice,0.4203913750487167,0.27
17,claude-mythos-preview-early,AISI CTF Suites - Expert,0.6843300600723842,0.2755
18,claude-opus-4-6_unknown,AISI CTF Suites - Expert,0.5803203240249217,0.603
19,claude-opus-4-7_unknown,AISI CTF Suites - Expert,0.4852576620460583,0.3245
20,claude-sonnet-4-5-20250929_unknown,AISI CTF Suites - Expert,0.2772381899511335,0.339
21,gpt-5-2025-08-07_unknown,AISI CTF Suites - Expert,0.3767743889642963,0.7155
22,gpt-5.2-codex,AISI CTF Suites - Expert,0.4382855231859139,0.558
23,gpt-5.3-codex,AISI CTF Suites - Expert,0.5803203240249217,0.826
24,gpt-5.4-2026-03-05,AISI CTF Suites - Expert,0.4852576620460583,0.275
25,gpt-5.4-2026-03-05_unknown,AISI CTF Suites - Expert,0.5232827268376036,0.2925
26,gpt-5.5_unknown,AISI CTF Suites - Expert,0.7134080507953305,0.41
27,gpt-5.6-sol_unknown,AISI CTF Suites - Expert,0.95,0.8865
28,claude-mythos-preview-early,AISI CTF Suites - Practitioner,0.9751202879619532,0.4115
29,claude-opus-4-6_unknown,AISI CTF Suites - Practitioner,0.9091356167060364,0.539
30,claude-opus-4-7_unknown,AISI CTF Suites - Practitioner,0.8062442649171487,0.2565
31,claude-sonnet-4-5-20250929_unknown,AISI CTF Suites - Practitioner,0.414809774415946,0.405
32,gpt-5-2025-08-07_unknown,AISI CTF Suites - Practitioner,0.4371774595874435,0.125
33,gpt-5.2-codex,AISI CTF Suites - Practitioner,0.7615088945741542,0.655
