model,release_date,C_mean,C_hdi_low,C_hdi_high,ECI_mean,ECI_hdi_low,ECI_hdi_high
gpt-6-astra_max,2026-09-03,2.167259838266614,1.9483079412787918,2.414945369578708,177.54128734984351,169.21518789072593,189.04949750642103
deepseek-v4-pro-0813_max,2026-08-13,1.1856062557425067,0.9754297829943428,1.3646475329081098,158.61064075275226,153.41732311850757,165.37993847153408
qwen3.8-max_unknown,2026-08-02,1.4209099326816708,0.9942464800666778,1.8066861007315995,163.1666059234139,154.10863993551234,173.62254958019864
claude-opus-5_xhigh,2026-07-24,1.8981715697356365,1.6029158866427446,2.193271205185034,172.30734310966852,164.2029048410805,183.10157208921692
claude-opus-5,2026-07-24,1.3891399512459306,1.1049942630062837,1.6908637871819947,162.56787548773508,155.54045672024282,171.58490677638858
kimi-k3_unknown,2026-07-16,1.7340403661471049,1.4366025302792622,2.0372570065505555,169.11764533491964,161.5454073520314,179.69049497214007
gpt-5.6-sol_unknown,2026-07-09,2.5545872156608573,2.1569307352294995,2.9290265232863186,184.8528627651246,173.99130365298487,199.5216845169624
gpt-5.6-sol,2026-07-09,1.127284160607438,0.5427066561154874,1.7564921957973711,157.57897873960275,145.78750823870666,171.39242093052866
grok-4.5_high,2026-07-08,1.1334735112552778,0.9319977337018938,1.2872855929882028,157.58188905119243,152.76290180590365,163.83319027643898
claude-sonnet-5_unknown,2026-06-30,1.4390871587758904,1.1178048552028141,1.7534034448684057,163.5254085993476,156.12250951709404,172.76586121321446
claude-sonnet-5,2026-06-30,0.3970284496689396,-0.5662044438649045,1.1270249828556138,143.57979623609876,124.95573829020368,158.14409429486622
glm-5.2_unknown,2026-06-16,1.2893493837453402,0.894982055612796,1.6571016246672923,160.60929704140113,152.53071917965536,170.34973846832276
claude-mythos-5,2026-06-09,2.4696456464157013,2.046787727541852,2.932381222071073,183.27032437397523,172.2317839544398,198.8933640690527
MiniMax-M3,2026-06-01,0.5705394584428352,0.33207046158321984,0.7676775775660808,146.79768285181666,142.57146332192835,151.81128664700145
claude-opus-4-8,2026-05-28,0.6558591720343094,0.15246728805654405,1.3085637165319135,148.3841566216517,138.545155552928,163.00307013474776
claude-opus-4-8_unknown,2026-05-28,1.6437020102878002,1.331493345832001,1.9437178495695184,167.37980938092346,159.97139857680247,177.54126344764617
