,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_b_log__[0],-2.682607,0.189319,-3.033082,-2.323413,0.00888,0.000824,445.167431,6906.845018,1.013141
sigma_b_log__[1],-2.985421,0.307247,-3.580958,-2.414327,0.004676,0.004669,4741.050883,1660.83793,1.003863
sigma_b_log__[2],-2.6842,0.426559,-3.483428,-1.880093,0.01054,0.003296,1616.66892,5302.582176,1.008143
sigma_b_log__[3],-2.227525,0.1751,-2.545802,-1.891623,0.002382,0.001944,5951.08967,3232.490986,1.000929
sigma_b_log__[4],-1.961462,0.240689,-2.416725,-1.511236,0.007525,0.001144,1022.33138,1971.38046,1.009731
sigma_b_log__[5],-2.789148,0.239296,-3.234114,-2.335146,0.00374,0.001514,4035.865981,11729.520865,1.001881
sigma_b_log__[6],-2.619336,0.109508,-2.821397,-2.408141,0.003611,0.000416,913.13353,37068.759376,1.009869
sigma_b_log__[7],-1.994361,0.176284,-2.233864,-1.598734,0.047615,0.032836,21.073879,40.51867,1.277072
sigma_b_log__[8],-2.156696,0.105353,-2.35719,-1.959855,0.000892,0.000828,14161.830286,8100.70742,1.002028
sigma_b_log__[9],-2.832395,0.403838,-3.538783,-2.04241,0.008824,0.002907,2174.219634,8248.744276,1.007212
sigma_b_log__[10],-2.673981,0.135251,-2.929653,-2.421599,0.001721,0.000858,6327.324953,8519.976825,1.001995
sigma_b_log__[11],-2.536341,0.125842,-2.764798,-2.291449,0.001419,0.000892,8113.135859,4903.025658,1.00249
sigma_b_log__[12],-1.598011,0.117987,-1.818013,-1.379628,0.003599,0.000516,1081.120043,29980.828156,1.008391
sigma_b_log__[13],-3.310653,0.173456,-3.62965,-2.977056,0.001256,0.000934,18583.193969,16631.265383,1.001032
sigma_b_log__[14],-3.087088,0.210818,-3.473898,-2.677135,0.002165,0.001177,9372.809086,9766.112576,1.003917
sigma_b_log__[15],-3.148748,0.270038,-3.660346,-2.641476,0.002338,0.00202,13208.729435,6454.102297,1.001036
sigma_b_log__[16],-2.295872,0.185505,-2.642631,-1.943405,0.004166,0.004075,2251.689168,618.176491,1.006428
