name,kind,release_date,mean,hdi_low,hdi_high,n_obs,is_low_obs
Baichuan-13B-Base,model,2023-07-11,-1.951205010922383,-2.3116698050027393,-1.6013934325789718,2,True
Baichuan-2-13B-Base,model,2023-09-06,-1.7005125733523678,-2.04478017283535,-1.3624384409473287,3,True
Baichuan-2-7B-Base,model,2023-09-20,-2.023634646975899,-2.3697617673057536,-1.69005103758012,3,True
Baichuan-7B,model,2023-06-01,-2.3423221044671756,-2.726960761769267,-1.993174155812462,2,True
Baichuan2-13B-Chat,model,2023-09-06,-1.7257135783809103,-2.079250336681046,-1.3682668079756115,2,True
Cerebras-GPT-13B,model,2023-03-20,-2.790596263995437,-3.252160015545691,-2.370147962723238,2,True
Chinchilla (70B),model,2022-03-29,-1.3131149520609204,-1.7533246231687984,-0.8154259772957374,2,True
CodeQwen1.5-7B,model,2024-04-15,-2.196438900932826,-2.5791220825427956,-1.850305742905252,3,True
DeepSeek-Coder-V2-Base,model,2024-06-17,-0.8964704437511937,-1.4121210655038687,-0.17340856847254488,2,True
DeepSeek-Coder-V2-Lite-Base,model,2024-06-13,-1.4896511260583516,-1.8249057264231527,-1.143409876828546,3,True
DeepSeek-R1,model,2025-01-20,-0.016736632643752716,-0.12730980634458505,0.09530737191160177,27,False
DeepSeek-R1-0528,model,2025-05-28,0.16393631135027392,0.019324828884504982,0.3124386713377449,13,False
DeepSeek-R1-Distill-Llama-70B,model,2025-01-20,-0.1980808942522232,-0.40703001532306343,0.029821779913362795,3,True
DeepSeek-R1-Distill-Qwen-1.5B,model,2025-01-20,-1.090522696519133,-1.438531024141601,-0.7777516077419676,3,True
DeepSeek-R1-Distill-Qwen-14B,model,2025-01-20,-0.37000475969229785,-0.5740647599522845,-0.16338230230986275,4,False
DeepSeek-R1-Distill-Qwen-32B,model,2025-01-20,-0.27800659114576176,-0.547088711559416,-0.018788982155182155,4,False
DeepSeek-V2,model,2024-05-07,-0.6503640241503243,-1.1021774335735324,-0.07821725527675448,3,True
DeepSeek-V3,model,2024-12-26,-0.43556000356906455,-0.5478933904938116,-0.3225847019809918,27,False
DeepSeek-V3-0324,model,2025-03-24,-0.253141256750371,-0.4053930624979706,-0.10027141763644802,11,False
DeepSeek-V3.1,model,2025-08-21,-0.03764322322062009,-0.21415552359856405,0.14406855506034244,10,False
DeepSeek-V3.1-Terminus,model,2025-09-22,0.2424673275745775,-0.1001218291719206,0.5738038685401793,3,True
DeepSeek-V3.1_thinking,model,2025-08-21,0.10948969233948512,-0.1789478321152194,0.3971109375917752,3,True
DeepSeek-V3.2-Exp,model,2025-09-29,0.27726869543847643,-0.04153556811136914,0.7142119361491654,2,True
DeepSeek-V3.2-Exp_thinking,model,2025-09-29,0.28985264781539444,0.07278067175782924,0.511820464321865,7,False
GLM-4.5-Air,model,2025-07-28,-0.442408981017585,-0.824651066165054,-0.13096170834061788,3,True
Gopher (280B),model,2021-12-08,-1.6137327785920368,-2.045181680425167,-1.154464171793898,2,True
Hermes-2-Theta-Llama-3-70B,model,2024-06-20,-1.1344105162735443,-1.3752691703526418,-0.9259941956192449,3,True
INTELLECT-1-Instruct,model,2024-11-29,-1.908425977691595,-2.254573121042138,-1.5755895239505642,3,True
Inkling,model,2026-07-15,-0.252214088018331,-1.0521293355193937,0.28925165164062533,2,True
Inkling_high,model,2026-07-15,-0.21727492707060322,-0.7928442674483994,0.28019705991534694,1,True
Inkling_thinking,model,2026-07-15,0.9731370629785603,0.09503828825828088,1.7185223993915852,1,True
Inkling_xhigh,model,2026-07-15,0.618696580281814,0.46240594029832777,0.7724297694280633,11,False
Kimi-K2-Instruct,model,2025-07-12,0.0028028039398818247,-0.19977229012855446,0.19282552214374196,7,False
Kimi-K2-Instruct-0905,model,2025-09-05,-0.05971415490635767,-0.3682429848592999,0.2445066232339277,3,True
LLaMA-13B,model,2023-02-24,-2.0749280457098616,-2.4150052279610006,-1.7492249809704976,4,False
LLaMA-33B,model,2023-02-24,-1.6224266432054157,-1.9459428660532943,-1.2796110595433927,4,False
LLaMA-65B,model,2023-02-24,-1.445379818766286,-1.7709775677171833,-1.0871632614969864,4,False
LLaMA-7B,model,2023-02-24,-2.4373787653716255,-2.8136793276099503,-2.0992307918354722,4,False
Llama-2-13b,model,2023-07-18,-1.7902095252242316,-2.120149515076984,-1.4539957646779207,4,False
Llama-2-13b-chat,model,2023-07-18,-1.7419423180284046,-2.0341450088422546,-1.4507855636869433,4,False
Llama-2-34b,model,2023-07-18,-1.613102907875673,-1.9379069859356344,-1.2670038818235658,4,False
Llama-2-70b-chat,model,2023-07-18,-1.5864929500067815,-1.7934449408048023,-1.3997716159082285,6,False
Llama-2-70b-hf,model,2023-07-18,-1.1469071709951597,-1.480994194904095,-0.7458195268820054,4,False
Llama-2-7b,model,2023-07-18,-2.1835549881200924,-2.5294584958909123,-1.8547210113227843,4,False
Llama-3.1-405B,model,2024-07-23,-0.2918028141952185,-0.7849151376703516,0.37213751789584726,3,True
Llama-3.1-405B-Instruct,model,2024-07-23,-0.726175563170069,-0.8108130580744557,-0.643331845164224,69,False
Llama-3.1-70B-Instruct,model,2024-07-23,-0.8577396326862796,-0.972926625658932,-0.7451146054455936,25,False
Llama-3.1-8B-Instruct,model,2024-07-23,-1.4080880162848617,-1.5464570128717514,-1.2773778807045886,27,False
Llama-3.1-Tulu-3-70B-DPO,model,2024-11-21,-0.8565797039007246,-1.068828320437068,-0.6585122778981484,3,True
Llama-3.2-11B-Vision-Instruct,model,2024-09-24,-1.6766347417324996,-2.0764281169867815,-1.2723361304743597,3,True
Llama-3.2-1B-Instruct,model,2024-09-24,-1.5946561016728338,-1.9642707082262882,-1.2799766457506927,4,False
Llama-3.2-90B-Vision-Instruct,model,2024-09-24,-0.9212846662212817,-1.1102154402125421,-0.7440876004446575,8,False
Llama-3.3-70B-Instruct,model,2024-12-06,-0.7713324761297163,-0.932673021415503,-0.6147136095960273,9,False
Llama-4-Maverick-17B-128E-Instruct,model,2025-04-05,-0.37792961279858195,-0.49615740495703964,-0.2633939330176375,30,False
Llama-4-Maverick-17B-128E-Instruct-FP8,model,2025-04-05,-0.33646874897024337,-0.5421501668614955,-0.11154662103959313,3,True
Llama-4-Scout-17B-16E-Instruct,model,2025-04-05,-0.7201451067351087,-0.8433351888834957,-0.6006226473259318,22,False
Meta-Llama-3-70B-Instruct,model,2024-04-18,-1.1091545044677606,-1.2422643214416333,-0.9819461070875397,19,False
Meta-Llama-3-8B-Instruct,model,2024-04-18,-1.4849646380837278,-1.650582718350983,-1.3295626247608892,13,False
MiniMax-M2.5,model,2026-02-12,0.13959753863912477,-0.226085907096263,0.415402516959582,5,False
MiniMax-M2.5_unknown,model,2026-02-12,-0.3933852313421323,-1.5154956586556234,0.39494840870677966,1,True
MiniMax-M2.7,model,2026-03-18,0.22581330573736608,-0.06697981582843046,0.4624895832638326,6,False
MiniMax-M3,model,2026-06-01,0.5043100733292507,0.31546806796329235,0.6890733865470111,12,False
MiniMax-M3_none,model,2026-06-01,0.06279439942403184,-0.2010544600654625,0.34240656732095964,4,False
MiniMax-M3_xhigh,model,2026-06-01,-0.4463455405613724,-1.9442871129074346,0.7943026637500524,1,True
Mistral-7B-Instruct-v0.1,model,2023-09-27,-2.8206878702859353,-3.2545934033887463,-2.453592390392154,5,False
Mistral-7B-Instruct-v0.2,model,2023-12-11,-1.6449088336534012,-1.9938793744241565,-1.273236533846779,2,True
Mistral-7B-Instruct-v0.3,model,2024-05-27,-1.7650049152216565,-2.0325999593588997,-1.5291092503776829,5,False
Mistral-7B-v0.1,model,2023-09-27,-1.4438533831589035,-1.7663969672643183,-1.0892595271176746,4,False
Mistral-Nemo-Instruct-2407,model,2024-07-18,-1.1273441069063903,-1.5448246155584529,-0.724770098541401,2,True
Mixtral-8x22B-Instruct-v0.1,model,2024-04-17,-1.1255611433322745,-1.3031312380206141,-0.9611272497056474,8,False
Mixtral-8x7B-Instruct-v0.1,model,2023-12-11,-1.6666805668508657,-1.8481950082792136,-1.4997582022230602,17,False
Mixtral-8x7B-v0.1,model,2023-12-11,-1.0452293657904637,-1.3860467164437713,-0.6277989328117045,4,False
Nemotron-4 15B,model,2024-02-26,-1.6832523868816076,-2.0129898008627807,-1.343017248616637,3,True
PaLM 2-L,model,2023-05-17,-0.8932791648357158,-1.806954217005531,0.43672904377980476,2,True
PaLM 2-M,model,2023-05-17,-1.146179923191844,-2.0178867113709664,0.08633116046322419,2,True
PaLM 2-S,model,2023-05-17,-1.4360856360715575,-2.26759743682645,-0.3031511841489831,2,True
PaLM 540B,model,2022-04-04,-1.2291376921089214,-1.5651097466449986,-0.8304335298419312,4,False
PaLM 62B,model,2022-04-04,-1.8823712498437808,-2.218152135100687,-1.5463281847542782,3,True
Phi-3-medium-128k-instruct,model,2024-04-23,-1.1870735014226517,-1.3960950581745188,-0.9921555071770732,5,False
Phi-3-mini-4k-instruct,model,2024-04-23,-1.1884214930745398,-1.5740665760492547,-0.7678702267764979,4,False
Phi-3-small-8k-instruct,model,2024-04-23,-0.8583843928317729,-1.2895376773031693,-0.3350109895582206,3,True
Pixtral-12B-2409,model,2024-09-17,-1.4608322242678011,-2.421075028516527,-0.5680452984786322,2,True
QwQ-32B,model,2025-03-05,-0.27047400142883393,-0.5155912494713191,-0.020886344169821974,4,False
QwQ-32B_16K,model,2025-03-05,0.20694854607592328,-0.8573706373292879,1.425523529253459,1,True
Qwen-14B,model,2023-09-25,-1.276995058787005,-1.6081744212773799,-0.8887809795803541,3,True
Qwen-14B-Chat,model,2023-09-25,-1.381602202140243,-1.7325270382757751,-0.993035318506355,2,True
Qwen-1_8B,model,2023-11-30,-2.509498881474545,-2.9176943064578524,-2.143100090462048,3,True
Qwen-7B,model,2023-09-28,-1.8151002715502202,-2.1697017427594885,-1.472152778219623,3,True
Qwen2-VL-72B-Instruct,model,2024-08-29,-1.2685236468276206,-1.9925878594593756,-0.6482093342181918,2,True
Qwen2.5-72B,model,2024-09-19,-0.34090433432329986,-0.8227297926713029,0.3019396203956373,3,True
Qwen2.5-Coder-0.5B,model,2024-11-12,-2.1910071409028107,-2.5660905415380544,-1.8453822117366958,3,True
Qwen2.5-Coder-1.5B,model,2024-09-18,-1.6859767539951656,-2.044399927584696,-1.3405626654787,3,True
Qwen2.5-Coder-14B,model,2024-11-12,-0.9164810813234658,-1.2700157042506808,-0.4928523036828065,3,True
Qwen2.5-Coder-32B,model,2024-11-12,-0.7576135887179084,-1.1194407731964071,-0.30111559388364983,3,True
Qwen2.5-Coder-32B-Instruct,model,2024-11-12,-0.6594340352704124,-1.054487713414871,-0.2764875322848528,2,True
Qwen2.5-Coder-3B,model,2024-11-12,-1.224482127612374,-1.7373032787164728,-0.6010465101353987,2,True
Qwen2.5-Coder-7B,model,2024-09-18,-1.1653888909507917,-1.5088509447163834,-0.7817871047580208,3,True
Qwen2.5-VL-72B-Instruct,model,2024-09-19,-1.0138967836902975,-2.429114290573582,0.49420130146079644,2,True
Qwen3-235B-A22B-Instruct-2507,model,2025-07-21,-0.10073939049988276,-0.31397978654246284,0.1110264548035335,8,False
Qwen3-235B-A22B-Thinking-2507,model,2025-07-25,0.09513295300585443,-0.07103642107056847,0.2560388480510049,14,False
Qwen3-30B-A3B,model,2025-04-29,-0.3469606097369593,-0.564843308010374,-0.13706318174395365,7,False
Qwen3-30B-A3B_none,model,2025-04-29,-0.6259144661458689,-0.923923391210775,-0.3466047437721966,3,True
Qwen3-32B,model,2025-04-29,-0.2140861154791672,-0.4157275753781473,-0.0166885135537328,7,False
Qwen3-32B_none,model,2025-04-29,-0.5594647633697325,-0.8488123838597901,-0.28760709039333177,3,True
Qwen3-Coder-480B-A35B-Instruct,model,2025-07-31,0.061369179764929234,-0.2448756914525754,0.32347812376170515,3,True
RedPajama-INCITE-7B-Base,model,2023-05-04,-2.7400371525391445,-3.2005929423684183,-2.32440934331211,2,True
