name,mean,hdi_low,hdi_high,n_obs,is_low_obs
text-babbage-001,59.01818360495989,36.502329596225096,75.53097475558533,2,True
text-ada-001,61.16029588707231,38.883773861458664,77.60145033768724,2,True
babbage,69.41837740253229,49.48156430704825,83.93493433809597,2,True
ada,69.62164174908236,49.97202116366617,83.88793690287027,2,True
text-curie-001,71.75791331699976,52.765055943628546,85.52914100810987,2,True
opt-1.3b,73.04116957041856,53.27711762572439,88.24139081558732,2,True
dolly-v2-12b,73.59607448354883,55.55360983618842,86.90903622603399,3,True
stablelm-tuned-alpha-7b,73.72668293180098,53.93626511100434,88.90358145631491,2,True
Cerebras-GPT-13B,74.66555518890013,57.24498349951862,87.59066375808125,3,True
deepseek-coder-1.3b-base,74.90026138267277,57.38754170450315,87.65846975242938,3,True
curie,75.5913554326655,57.60368124920947,88.7829447916292,2,True
opt-13b,76.2261226660169,59.199724846967804,88.87062455623474,3,True
gpt-j-6b,76.75146234867682,59.65922527234042,89.31709062705184,3,True
gpt-neo-2.7B,77.91521233423518,57.080941106990224,96.36587734711674,1,True
gpt2-xl,78.05331489236855,60.91965148075894,90.87662577544108,3,True
RedPajama-INCITE-7B-Base,79.03990845623633,62.452194138264765,91.25266086169292,3,True
opt-66b,80.81361205569064,64.40128177443478,92.88913883765795,2,True
open_llama_7b,81.16095202817868,65.29490566424403,93.13793605121842,3,True
gpt-neox-20b,82.32569254917695,64.14307668328969,97.04701385244329,2,True
Qwen-1_8B,82.67878066607463,68.21303357958796,93.23642394412929,6,False
bloom,84.02484331350571,67.74613657346485,95.99647469311824,2,True
falcon-7b,84.35697315434959,70.63510309166799,94.50022578294397,7,False
davinci,84.64853050125467,68.68342382937148,96.3590615012439,2,True
opt-175b,84.67604510114464,68.97379945837457,96.28895267174582,2,True
mpt-7b,84.77072165447301,71.03511111426947,94.74710227281517,7,False
xgen-7b-8k-base,85.89954662862063,71.16529463035984,97.14270389313056,3,True
Baichuan-7B,86.00662849205338,72.21876081775424,96.12899205811098,3,True
starcoder2-3b,86.12208663733085,71.17667447126342,97.07895548101311,3,True
deepseek-coder-6.7b-base,86.27056286027056,71.38816125637287,97.12337698475787,3,True
LLaMA-7B,86.39882871007575,73.13081940840142,96.13102520135786,8,False
gemma-2b,87.01450314711431,73.74800083772342,96.73825202168112,6,False
phi-1_5,87.53483505276475,72.99265664833568,98.65174280914785,3,True
starcoder2-7b,89.92068258002064,75.8920875460893,100.30106170968996,3,True
Mistral-7B-Instruct-v0.2,90.45323574003437,78.5951587642887,99.07480015149574,8,False
T5-Small,90.59775122845717,73.75512389183491,106.71382100066793,2,True
Llama-2-7b,90.68498705877838,78.46250531029865,99.7273886396934,8,False
Baichuan-2-7B-Base,90.85429363527746,78.345387092622,99.97255781004891,6,False
Phi-4-mini-instruct,90.87034131503741,70.80380073429055,106.51924713950142,2,True
Qwen2.5-Coder-0.5B,90.96143017007859,77.06599474366729,101.16496594297975,3,True
deepseek-coder-33b-base,91.17963667764563,77.3254503752507,101.29142460544173,3,True
mpt-30b,91.27707444817831,79.07098652471097,100.23621172768826,6,False
CodeQwen1.5-7B,91.31561808752996,77.30137408302318,101.47332256219468,3,True
chatglm2-6b,91.93381163691058,79.83572167350209,100.9120148466285,6,False
internlm-7b,92.02925102595009,79.80694599297348,101.04305555430817,6,False
LLaMA-13B,92.05913070482292,80.0878725780903,100.90833544955458,8,False
Qwen2-VL-7B-Instruct,92.36928240023875,67.98871140006169,110.70799203567465,2,True
internlm-chat-20b,93.52216072938361,81.46714007736476,102.44447663802377,3,True
INTELLECT-1-Instruct,93.66812035373889,81.69035945576952,102.5829878561908,4,False
vicuna-13b-v1.3,94.06271732816505,80.60777742431496,104.64386006016046,2,True
Baichuan-13B-Base,94.49706050303817,82.74615372788256,103.35153024936407,3,True
vicuna-13b-v1.1,95.03326919379262,83.27438419023171,103.84988769478505,4,False
text-davinci-001,95.23812750823824,82.5916978571048,104.69110263945907,9,False
falcon-40b,95.6461181413369,84.51004017291406,104.07647809945831,7,False
LFM2-Audio-1.5B,95.85710499178731,73.92440461941182,116.16189952549713,1,True
davinci-002,96.64653713865155,81.06341835156425,108.33131867734768,1,True
Phi-3.5-vision-instruct,96.82107048549145,71.83565250071524,118.04053897902914,2,True
falcon-40b-instruct,97.12360905696251,82.62554426447666,108.54502901328287,1,True
open-mistral-7b,97.2875282219667,84.48981741085277,106.19023103885677,2,True
Yi-6B,97.39861719063427,86.44548911350272,105.73213271351723,4,False
Qwen-7B,97.44414123680141,86.51162521389972,105.66416443962021,6,False
PaLM 62B,97.78007840569659,86.49661940799047,106.56359135326514,4,False
Baichuan-2-13B-Base,97.8459084944771,86.87556205626511,106.03880899155098,6,False
Llama-2-13b,98.27313601704168,87.69607371708935,106.33760375374696,8,False
Llama-3.2-1B-Instruct,98.84102079268763,75.07640210445439,116.27401808661551,1,True
Baichuan2-13B-Chat,99.17542695048812,88.2877322706744,107.40974756378758,3,True
Mistral-7B-Instruct-v0.3,99.70736914173234,89.04932282368577,107.55580225318474,3,True
mpt-30b-instruct,99.71355146956398,87.34216738465572,110.27161306841496,2,True
Llama-2-13b-chat,99.8889636640655,89.21976495559915,108.10536343222002,3,True
Llama-2-34b,99.91257149971824,89.46510358912856,107.88258008511856,6,False
Yi-6B-Chat,100.26903450602282,89.6359522955336,108.42075051880765,3,True
Gopher (280B),100.30932812490676,87.55251742520221,110.99524161427009,4,False
Meta-Llama-3-8B,101.70040972687008,70.27109303109998,131.27261152249662,1,True
Qwen2.5-Omni-7B,101.85595010145019,81.71022119122017,120.64609456117415,1,True
Switch-Base,101.88591138443675,81.62088682113348,137.19690615803228,1,True
LLaMA-33B,101.9512228080792,92.00761280855293,109.6825262799561,7,False
Nemotron-4 15B,102.31852093738951,92.28568515300934,110.10952315793443,4,False
Qwen2.5-Coder-1.5B,102.51770710285516,91.12129568026025,111.22979815603144,3,True
codestral-2405,102.86347294115461,74.61575376166424,122.89608657340666,1,True
Llama-3.2-11B-Vision-Instruct,102.97446004985771,89.89499452364501,113.74911044780484,3,True
T5-Base,102.9767338537918,87.8684989120188,119.89919451175707,2,True
gemma-3-4b-it,103.10083518166641,91.21340937000411,112.61936860256294,3,True
falcon-11b,103.19900577971973,92.06614138181634,112.23225253946487,2,True
phi-2,103.57591537966685,93.18571008970896,111.68578803424545,5,False
Llama-2-70b-chat-hf,103.6099655776598,93.60642380954086,110.69218942878749,4,False
gpt-3.5-turbo-instruct,103.99293217776199,90.29203520028601,114.54924661163399,1,True
starcoder2-15b,104.03619171544938,93.24025162239109,112.57690277464012,3,True
gemma-7b,104.2456317779112,94.85607441689976,111.60783528581895,7,False
Mixtral-8x7B-Instruct-v0.1,104.3217499990513,96.05098935254988,110.35631559589235,18,False
Llama-2-70b-chat,104.99912999954833,95.33314512298243,112.72588612584157,3,True
OLMo-2-1124-13B-Instruct,105.18525700358053,93.75990305101375,113.59267741158769,1,True
ministral-3b-2410,105.18646977076578,95.69999360042033,112.23024992422727,5,False
Kimi-Audio-7B-Instruct,105.39643143205697,86.3957264391576,123.25067283548827,1,True
deepseek-llm-67b-chat,105.40772325966324,95.48211142661958,112.42440714833103,2,True
Mistral-7B-v0.1,105.4172976927025,96.33072802004085,112.69414807799397,7,False
Qwen-14B-Chat,105.53014572111158,95.88048117587297,113.28402500159268,3,True
gemini-2.5-flash-native-audio-preview-12-2025 (non-thinking),105.69429049640044,86.64123929205695,123.67874021108405,1,True
DeepSeek-Coder-V2-Lite-Base,105.8620884751467,95.40697809631902,114.35115746606228,3,True
code-davinci-002,106.11506304123341,93.54852534623525,119.03229178020138,1,True
LLaMA-65B,106.16033635650818,96.84482134181826,113.58576457488832,7,False
internlm-20b,106.33516195632805,96.79721774652819,114.46593710051758,5,False
Qwen1.5-7B,106.37192544409905,92.36383298829499,119.56487385329845,1,True
Mixtral-8x22B-Instruct-v0.1,106.47399374496023,90.71512106973164,117.81952121712776,3,True
Qwen-14B,106.48217787910929,97.26847860371817,113.94579887099962,6,False
Llama-3.2-3B-Instruct,106.59928859818234,84.83259920966502,122.72424411103485,1,True
ministral-8b-2410,106.69287558791135,97.45489589731099,113.38646296845009,5,False
Yi-34B-Chat,106.78416935375851,98.75856989674561,112.71889928842391,5,False
Meta-Llama-3-8B-Instruct,107.31451217937935,99.65048906150585,112.91829759188472,13,False
text-davinci-002,107.33323222905685,97.09313959792468,116.46983088225477,4,False
Yi-9B,107.38651087462858,94.84820678329588,119.03589750739343,2,True
gpt-4o-mini-audio-preview-2024-12-17,107.49893314122455,89.13792027888972,124.97443425754507,1,True
Pixtral-12B-2409,107.63291988695919,85.89786854460135,125.38861729105798,2,True
Chinchilla (70B),107.70616755455336,95.72936275325522,118.39809262512742,4,False
gpt-3.5-turbo-0613,107.8341754110572,98.77827678808512,115.30620957151018,5,False
gpt-3.5-turbo-0125,108.0296629951822,100.41605464929302,113.59283647014291,12,False
Llama-3.1-8B-Instruct,108.45822511009497,101.29480879235368,113.67741965661422,26,False
Megatron-Turing NLG 530B,108.51186455001107,93.87058005685205,128.13686079238195,3,True
Phi-4-multimodal-instruct,108.60900040673098,90.61072217971767,125.83328428629034,1,True
gemma-3n-E4B-it,108.62072051906279,90.724032095924,125.81257441778804,1,True
falcon-180B,108.62790579949947,98.91767103227885,117.21362554033668,5,False
open-mixtral-8x7b,108.7773700987027,99.8686863076216,115.1633575863294,2,True
c4ai-command-r-08-2024,108.88888232424033,99.47878623329906,116.03397158431855,2,True
Yi-34B,108.93387376073592,99.63392099991897,117.00807846489612,3,True
open-mistral-nemo-2407,109.10473638326913,100.28321927776608,115.44319510071222,2,True
Phi-3-mini-4k-instruct,109.12391319740583,100.9776488525692,115.5486670049324,6,False
deepseek-v4-pro_unknown,109.29635104603645,78.04984918616297,138.26010975099527,1,True
gemini-1.0-pro-001,109.65068857434976,102.66687703654138,114.70817813919244,19,False
PaLM 2-S,109.6943794979783,94.68411835050777,125.56232677335937,3,True
qwen2.5-7b-instruct,109.73003074447695,97.78152438741,119.93792339143788,2,True
amazon.nova-micro-v1:0,110.05946432097639,103.00278718801025,115.23825487370499,18,False
gpt-3.5-turbo-1106,110.13403357422456,102.39098928887056,115.8749362973319,8,False
qwen1.5-72b-chat,110.15129874964055,99.61531606755513,118.0962632970968,1,True
PaLM 540B,110.31776700756959,100.71166701050593,119.14725798261372,6,False
T5-Large,110.33132915492496,96.38402556511043,126.67829378613855,3,True
dbrx-instruct,110.33400183987874,101.94067831464811,116.38460747065966,2,True
Qwen2.5-Coder-3B,110.34772585944977,98.75899338216047,121.54491292715115,2,True
gpt-realtime-mini-2025-12-15,110.48226813575153,93.10278825702763,127.08739767546119,1,True
gemma-2-9b-it,110.81151798493539,103.41583759845149,116.24759514145599,5,False
c4ai-command-r-plus-08-2024,111.03260025602151,102.41537189817446,117.50553622084979,3,True
codestral-2501,111.11720949368437,100.83660078686131,119.66873680455771,4,False
Llama-2-70b-hf,111.17033321893906,102.81950683275053,118.30861819156402,8,False
qwen1.5-32b-chat,111.51941890349939,101.42942461142754,119.35759587288457,1,True
qwen1.5-14B,111.72624741479368,97.99785598191895,125.71539571820828,1,True
mistral-small-2402,111.81905405538399,98.26060211829358,125.78498029469851,1,True
claude-2.1,111.92662943766649,103.63392929429095,118.13390187199968,5,False
ST-LLM,112.39901181342015,70.57591665522659,156.19629901291765,1,True
claude-2.0,112.44182089777367,105.18512175599112,117.81670754832773,5,False
claude-3-haiku-20240307,112.47756800438438,106.2223916329866,117.05492213414162,23,False
StableBeluga2,112.52829578343761,104.17424263670229,119.80283365414259,6,False
Phi-3-small-8k-instruct,112.5824229602641,104.98881858143744,118.80322084526964,6,False
Average Human,112.75010829687416,101.95221021057132,119.70727420392245,8,False
Qwen2-VL-72B-Instruct,112.78462733937401,97.05447318700773,125.23007272323343,3,True
Qwen2.5-Coder-7B,112.9297017137743,103.36629448803224,121.56702519737496,3,True
gemini-1.5-flash-8b-001,112.96419632228655,104.90082479436718,119.16377205408189,4,False
gemma-3-12b-it,113.36566014925126,103.99671222158226,121.04164815520971,5,False
PaLM 2-M,113.45552829680756,98.36602157527784,130.33983276978756,3,True
Mixtral-8x7B-v0.1,113.48526128333197,104.41259558265286,122.30867987471757,5,False
Yi-1.5-34B-Chat,113.64597978331236,105.77174169773757,119.35289531829645,2,True
MiMo-Audio-7B-Instruct,113.6559487158406,96.93991418738425,129.87546930421286,1,True
Eurus-2-7B-PRIME,113.7358117291659,104.10462829942733,121.28249193074485,1,True
video_chat2_mistral,113.8474638863855,71.79056439758187,157.34353601252744,1,True
Phi-3-medium-128k-instruct,113.9430157351079,107.25033076127033,119.0327174264812,7,False
sharegpt4video-8b,114.21650507670438,72.1546190166211,158.26102817324633,1,True
Video-LLaVA-7B,114.25056437268476,72.15473687070656,157.79601766910395,1,True
Qwen-VL-Chat,114.36254012847593,76.84242228650028,153.3433082569399,2,True
mistral-large-2402,114.39762237432214,108.49321476931425,118.77585823629177,20,False
open-mixtral-8x22b,114.50761509483573,107.54676686021969,119.69753101165823,5,False
Hermes-2-Theta-Llama-3-70B,114.53795682219189,107.36291140560822,119.83313116044056,3,True
Phi-3.5-mini-instruct,114.73887657703759,103.48442879750031,126.2207816339879,2,True
Chat-UniVi-7B-v1.5,114.80475755212719,72.93582294266142,158.25335530050938,1,True
claude-3-sonnet-20240229,115.04385197065625,109.30525446251553,119.2506085874927,21,False
gpt-oss-20b_unknown,115.0513543878265,93.8316160231269,127.31574595326619,1,True
Meta-Llama-3-70B-Instruct,115.15742844219386,109.40988168501318,119.3790866394143,19,False
Mistral-Nemo-Base-2407,115.36103728073985,104.52956804870556,127.5870693845916,2,True
MiMo-Audio-7B-Instruct (Thinking),115.42404712191893,99.21504984547705,131.39283663899127,1,True
text-davinci-003,115.4684194262241,104.68249791521355,128.83884145531178,2,True
gpt-4-0613,115.5975126957544,110.0351726190767,119.66496879640115,25,False
gemma-2-27b-it,115.64599964521484,109.4017871107799,120.27565017462803,5,False
gemini-1.5-flash-001,115.88433500538832,109.51387500283647,120.69870212374164,8,False
Inflection-1,116.22191267583526,104.55518035019783,128.10467950914884,3,True
claude-opus-4-6_low,116.4992763390552,82.75925841843338,142.24645920440193,1,True
DeepSeek-Coder-V2-Base,116.55802714779128,105.61429058475655,129.52810537139575,2,True
claude-instant-1.1,116.61072765663238,107.3734824035001,126.2378364511598,4,False
openhands-lm-32b-v0.1,116.66605719984486,96.94173685549092,128.5239215076111,1,True
WizardLM-2-8x22B,116.81267859609906,109.98735433967015,121.97672709674052,2,True
Chat-Uni-Vi-7B-v1.5 + 100k SG-WV,116.96212354902835,75.58704585630976,159.87637127860725,1,True
