name,mean,hdi_low,hdi_high,n_obs,is_low_obs
gpt2-xl,-3.079716228459384,-3.6592947208059603,-2.6162063700295275,4,False
deepseek-coder-1.3b-base,-2.877114200191412,-3.312395322898889,-2.4985552710921275,3,True
Mistral-7B-Instruct-v0.1,-2.833892068080101,-3.270364669468354,-2.461580619521097,5,False
opt-13b,-2.793120102983578,-3.262792884337506,-2.3705593409292423,2,True
Cerebras-GPT-13B,-2.7836448153151494,-3.2466245489419174,-2.3603142980416005,2,True
gpt-j-6b,-2.7720694722539663,-3.2337441558746627,-2.3515609293964754,2,True
dolly-v2-12b,-2.732122434074853,-3.192876444467375,-2.312445518397972,2,True
RedPajama-INCITE-7B-Base,-2.7289253959152413,-3.1915318493212785,-2.314250746156085,2,True
open_llama_7b,-2.616041338547187,-3.0645488780924603,-2.2057267579888413,2,True
mpt-7b,-2.603233308577456,-3.000608943742836,-2.2475589758537735,4,False
davinci,-2.5301141878878592,-2.9684576335413393,-2.1574637198471835,4,False
falcon-7b,-2.5064237950246517,-2.8887565379767843,-2.166691712975669,4,False
Qwen-1_8B,-2.499580068024295,-2.9118784202206736,-2.131356148409572,3,True
LLaMA-7B,-2.4316616085571843,-2.8040274031373067,-2.0898454768054444,4,False
xgen-7b-8k-base,-2.401691597610859,-2.829576031926163,-1.9955176219443118,2,True
starcoder2-3b,-2.392358888679282,-2.780876180205022,-2.0405417511352457,3,True
deepseek-coder-6.7b-base,-2.3862208955248043,-2.777816682379498,-2.0369783042905922,3,True
phi-1_5,-2.3433261412929443,-2.7658569265755175,-1.9368608006524035,2,True
Baichuan-7B,-2.3332583361543553,-2.725109300872066,-1.9804475032057038,2,True
gemma-2b,-2.294262058551787,-2.6612491036986574,-1.9601380708621339,4,False
Average Human,-2.2790026926038207,-2.7127881499928446,-1.8336479753901356,3,False
starcoder2-7b,-2.2432782993328635,-2.6270877954675016,-1.8951083412278795,3,True
deepseek-coder-33b-base,-2.1962830994297984,-2.578551831201882,-1.8501528602961859,3,True
CodeQwen1.5-7B,-2.1903852801703825,-2.5808293713021278,-1.8372292630100342,3,True
Qwen2.5-Coder-0.5B,-2.184883067805203,-2.5656077050445636,-1.8391434726510958,3,True
Llama-2-7b,-2.1760949109832337,-2.5262425410156024,-1.8476389982108348,4,False
mpt-30b,-2.1186595128286703,-2.4608338001683214,-1.7941864052663288,4,False
text-davinci-001,-2.102922311581273,-2.5051990493475724,-1.7038808404273074,3,True
LLaMA-13B,-2.069112853259,-2.408461722808984,-1.7421443661569695,4,False
vicuna-13b-v1.1,-2.0551181052346355,-2.6098398165126566,-1.5611168819046919,2,True
deepseek-r1-0528-qwen3-8b,-2.0368988194592195,-2.5202259844020913,-1.6352264449853935,3,True
granite-4.0-350m,-2.0219868882111456,-2.4832192199369896,-1.6463985834524428,3,True
Baichuan-2-7B-Base,-2.0201572746868335,-2.3672982356805026,-1.6896798158742092,3,True
chatglm2-6b,-1.951383113218467,-2.297849349850141,-1.6241399165306543,3,True
Baichuan-13B-Base,-1.945995800861232,-2.3081749977312294,-1.592403389319016,2,True
internlm-chat-20b,-1.9366915583972448,-2.292362394402276,-1.5746723366305104,2,True
INTELLECT-1-Instruct,-1.902982815777433,-2.2474341733069454,-1.5663314870261507,3,True
PaLM 62B,-1.8756795471090224,-2.2126547727892634,-1.5422990465090936,3,True
internlm-7b,-1.8635717351223546,-2.1993205813332697,-1.5255613694800383,3,True
falcon-40b,-1.822418417643734,-2.1490747147458276,-1.481308994623273,4,False
Qwen-7B,-1.8063418720932887,-2.160788880175179,-1.4622849316330886,3,True
Llama-2-13b,-1.781525233466815,-2.1094125030599185,-1.4504154154308597,4,False
open-mistral-7b,-1.7764849118717772,-2.0791951360061627,-1.5227862806511439,3,True
Mistral-7B-Instruct-v0.3,-1.7631001976070513,-2.0335992340767817,-1.5266089308759594,5,False
Llama-2-13b-chat,-1.7336983809583173,-2.0266493738780733,-1.4424332912640734,4,False
Baichuan2-13B-Chat,-1.7201060028902857,-2.0753522768452783,-1.358191961211504,2,True
Baichuan-2-13B-Base,-1.6977933066248632,-2.046653254640597,-1.3533307678148234,3,True
Yi-6B,-1.6895232993190894,-2.015411338289572,-1.3409300949747271,3,True
Qwen2.5-Coder-1.5B,-1.6790810527040074,-2.0400659640001018,-1.3299545150247782,3,True
Nemotron-4 15B,-1.6769087157289875,-2.0112041509886374,-1.3374814691646546,3,True
Llama-3.2-11B-Vision-Instruct,-1.671271231468317,-2.0710364545043447,-1.2599852574364427,3,True
Mixtral-8x7B-Instruct-v0.1,-1.666422070206709,-1.8482963944696194,-1.4925785708903045,17,False
Mistral-7B-Instruct-v0.2,-1.6373587639925629,-1.9876944366364533,-1.2599737941609976,2,True
gemma-3-1b-it,-1.628136212999379,-2.050135966536682,-1.2921025936432051,3,True
LLaMA-33B,-1.6159077333589043,-1.941662267107817,-1.268701143893008,4,False
Gopher (280B),-1.6084105045307862,-2.0446128796695913,-1.1377196194889607,2,True
Llama-2-34b,-1.605849304795393,-1.9314642003074738,-1.2592139299177594,4,False
phi-2,-1.6029868094574198,-2.007063971634678,-1.177227625499079,3,True
Yi-6B-Chat,-1.597485992190831,-1.9470091284513185,-1.2210388627378317,2,True
Llama-3.2-1B-Instruct,-1.5918559825683247,-1.9604419740908297,-1.2783528913155138,4,False
falcon-11b,-1.5848198350034512,-1.9410215975029859,-1.2124810123991148,2,True
Llama-2-70b-chat,-1.5841798969387506,-1.792198681718842,-1.3938127539749074,6,False
deepseek-llm-67b-chat,-1.5438966265417893,-1.8429760138494513,-1.2994047548579954,4,False
starcoder2-15b,-1.524960285725812,-1.8621011491943475,-1.1717265835778927,3,True
Yi-34B-Chat,-1.5248532199324143,-1.7542028629919262,-1.3229871231526658,4,False
gpt-3.5-turbo-0613,-1.5112611432761627,-1.8000475124832573,-1.2283471777481854,4,False
gemma-3-4b-it,-1.5101512350356963,-1.7345711311911967,-1.2998185263669795,8,False
granite-4.0-1b,-1.4997083977729984,-1.8792665692242898,-1.1816683888748019,3,True
ministral-3b-2410,-1.4866959142001144,-1.7032949654265448,-1.289212841060519,7,False
DeepSeek-Coder-V2-Lite-Base,-1.4849821763124633,-1.8278482734652797,-1.1300505924647568,3,True
Meta-Llama-3-8B-Instruct,-1.484131817752751,-1.651639021079956,-1.3259627533579552,13,False
ministral-8b-2410,-1.4669329603191246,-1.685463228647622,-1.2661396374829623,6,False
Pixtral-12B-2409,-1.4527930155586848,-2.436567980481695,-0.5599070430845197,2,True
LLaMA-65B,-1.4358045419750307,-1.7668906922004406,-1.0695006269083698,4,False
Mistral-7B-v0.1,-1.4355089161669041,-1.760733682748943,-1.0748281080294733,4,False
gemma-7b,-1.4283765079994395,-1.7546328758242213,-1.0556437680046933,4,False
PaLM 2-S,-1.4280819064584702,-2.270586495942601,-0.29020520860565047,2,True
Llama-3.1-8B-Instruct,-1.4063930060552159,-1.5448465067765667,-1.2766124525477274,27,False
gpt-3.5-turbo-0125,-1.3975321020675322,-1.55815764268961,-1.2487793058020333,15,False
gemini-1.0-pro-001,-1.379492531987427,-1.5211985631556963,-1.2450805607614253,20,False
Qwen-14B-Chat,-1.377963269200859,-1.7284746450113835,-0.9773074452567684,2,True
amazon.nova-micro-v1:0,-1.3743785843158638,-1.549175834345452,-1.2071406822514112,17,False
open-mistral-nemo-2407,-1.373801120942837,-1.6686617690704926,-1.1342636576240974,2,True
Yi-9B,-1.3565599520842362,-1.7669018287148979,-0.8959011880415008,2,True
open-mixtral-8x7b,-1.3409010353555093,-1.5806650381274054,-1.130540324153677,3,True
granite-4.0-micro,-1.3394025544605677,-1.7103486263953416,-1.025616563932743,3,True
text-davinci-002,-1.3283417028445488,-1.56413416325473,-1.0840047902087029,5,False
falcon-180B,-1.3173412812218714,-1.6522632399614388,-0.9321418154701854,3,True
dbrx-instruct,-1.3170314648458232,-1.6053913121640955,-1.0812444708238695,2,True
c4ai-command-r-08-2024,-1.308592261829256,-1.6206090326020353,-1.0006956655055248,3,True
Chinchilla (70B),-1.3077000687863007,-1.7455158317500878,-0.8027785651625607,2,True
gpt-3.5-turbo-1106,-1.2835652334580598,-1.4896013923580285,-1.09474713432159,7,False
gemma-2-9b-it,-1.279322420732874,-1.5104523364914102,-1.0762289219808867,4,False
Qwen2-VL-72B-Instruct,-1.2703031596625527,-2.000335118539991,-0.630527515541419,2,True
c4ai-command-r-plus-08-2024,-1.2688356925161162,-1.5465106610380601,-0.9969059052875253,4,False
Qwen-14B,-1.2648971805639069,-1.6014116696966143,-0.8769400393133168,3,True
gemma-2-27b,-1.2536786566783231,-1.654461318388392,-0.8774375621125902,2,True
qwen2.5-7b-instruct,-1.2446618945459547,-1.4676104582011766,-1.032202311768013,7,False
codestral-2501,-1.2350868470281664,-1.5592747345988207,-0.9189909979881987,4,False
claude-3-haiku-20240307,-1.228791090483996,-1.3630842268413714,-1.1037557362673085,23,False
qwen3-1.7b_none,-1.2275154472104204,-1.5792000159001884,-0.9161522437631809,3,True
PaLM 540B,-1.2215308133762792,-1.5641788058572885,-0.8195336529869246,4,False
Qwen2.5-Coder-3B,-1.2181034255795262,-1.7333646470499844,-0.5990109265383394,2,True
nova-2.0-pro-preview_unknown,-1.2112903864728428,-2.4957169591842328,-0.19475365720274224,1,True
claude-2.1,-1.2044651047720845,-1.428774606644333,-0.9904867404831865,5,False
gemini-1.5-flash-8b-001,-1.1890343108522075,-1.4054767285919663,-0.9773392839724232,5,False
claude-2.0,-1.1877086618975359,-1.3768521192385643,-1.010126243632723,6,False
Phi-3-medium-128k-instruct,-1.1827467691934745,-1.397236834447832,-0.9872639621018204,5,False
Phi-3-mini-4k-instruct,-1.1801968866863115,-1.5710853561804015,-0.7605991312815068,4,False
Qwen2.5-Coder-7B,-1.160476596949466,-1.502886425995659,-0.7701054561868665,3,True
Yi-1.5-34B-Chat,-1.159211901332117,-1.4276068711817596,-0.9315468150426858,2,True
mistral-large-2402,-1.1428459567963647,-1.2761836707270435,-1.0153934867249517,20,False
StableBeluga2,-1.1401214923596261,-1.4822025889801052,-0.733865808459034,3,True
PaLM 2-M,-1.1393308692431299,-2.004661803275433,0.0783807184455334,2,True
Llama-2-70b-hf,-1.136682242363616,-1.4797847580400627,-0.7326727209071252,4,False
Hermes-2-Theta-Llama-3-70B,-1.1308100902479872,-1.3744458611007335,-0.9093896352422074,3,True
