model,release_date,C_mean,C_hdi_low,C_hdi_high,ECI_mean,ECI_hdi_low,ECI_hdi_high
gpt-6-astra_max,2026-09-03,2.126956632194445,1.917353788002321,2.369308853918985,177.75422810618312,169.47191221978167,188.98061386645088
deepseek-v4-pro-0813_max,2026-08-13,1.133956084534211,0.9742289876181099,1.3008723279387104,158.82758507135725,153.6623321308292,165.45437401759307
qwen3.8-max_unknown,2026-08-02,1.3762066232117698,0.9590135518585738,1.7501367222020754,163.34437474854525,154.4670632725682,173.71490666594582
claude-opus-5_xhigh,2026-07-24,1.8603148863625025,1.5840894022467007,2.143568422396323,172.6336511325349,164.44942211629217,183.29632281624552
claude-opus-5,2026-07-24,1.3224612073158566,1.0469490719670917,1.6303255315393923,162.39151852271638,155.48469590638507,171.48327244109691
kimi-k3_unknown,2026-07-16,1.6839585454866697,1.4275165808076995,1.9738055524060367,169.29896870842435,161.7920449904341,179.4187619668973
gpt-5.6-sol_unknown,2026-07-09,2.4871638949531807,2.1665527833926803,2.8354015793134364,184.60461206389988,174.286991385447,198.3138206542966
gpt-5.6-sol,2026-07-09,1.0370249914052017,0.43771542593661944,1.677733765165944,156.9394354162509,145.18451784287694,170.99758244333614
grok-4.5_high,2026-07-08,1.077092941835159,0.9375349464862227,1.2191246037239363,157.7001121657189,152.9144203318546,163.88802921560244
claude-sonnet-5_unknown,2026-06-30,1.3931125107269264,1.0929738989452493,1.692888668937635,163.6974481181731,156.3567092300211,172.9655832477131
claude-sonnet-5,2026-06-30,0.3498315840817314,-0.612233044338921,1.0820147189782539,143.87480818203647,125.32344004329171,158.58229085180417
glm-5.2_unknown,2026-06-16,1.2429783833260983,0.8733205855380928,1.5907074161052037,160.8126447563589,152.7961843176286,170.3322802297325
claude-mythos-5,2026-06-09,2.4146309338772953,2.0318563176483146,2.869825192283409,183.19556092426495,172.5021070345073,197.99791476967002
MiniMax-M3,2026-06-01,0.5115794817322853,0.32547623401945197,0.6958473845614557,146.93078997394417,142.71056790618482,151.94101584195488
claude-opus-4-8,2026-05-28,0.5388946235081722,0.06369461912908489,1.1280489823817512,147.4794859480221,138.27880792530905,159.63622904006365
claude-opus-4-8_unknown,2026-05-28,1.5914836902649543,1.3311634701741404,1.8619116072916326,167.48445524165126,160.19956043600266,177.02550360853365
gpt-5.5-pro-pre-release_xhigh,2026-04-23,1.6650142574924196,1.2415593064451163,2.1823026542836965,168.9593014395889,159.2988035582793,182.1925673577039
claude-mythos-preview,2026-04-07,2.2195714605149526,1.8965582592756238,2.6199083590992944,179.56831931609258,169.92977216101824,192.70684587438708
claude-mythos-preview-early,2026-04-06,1.664854402640387,1.4571233279329736,1.9353184174556275,169.00126422685236,161.94572091958102,178.48666959396652
gpt-5.4-pro-2026-03-05_xhigh,2026-03-05,1.5273543092236153,1.346170250082939,1.7382706285191145,166.3186353165906,159.95119800629928,174.7926542024808
gemini-3.1-pro-preview_high,2026-02-19,1.2035850813025193,0.9942942466470144,1.4317732536150742,160.1434556181386,154.29202645807658,167.6875434680593
gemini-3.1-pro-preview,2026-02-19,1.1881314109534657,1.0821809292578133,1.2996821304663078,159.83013615622002,155.03212778056997,166.18344401074526
claude-opus-4-6,2026-02-05,0.7935227833420051,0.601402983353198,0.9819572303631116,152.31226166565654,147.50436363714837,158.07803179207536
gpt-5.3-codex_xhigh,2026-02-05,1.1703160183431278,0.7773474796281152,1.6153580415443192,159.49120019697747,151.1333398711574,170.2587097806713
claude-opus-4-6_high,2026-02-05,1.3760129005255948,1.105705573248417,1.6492511413797473,163.37552203190177,156.48082057487923,172.2757720964227
gpt-5.3-codex,2026-02-05,1.142599761289949,1.0061230128475476,1.2881834202769706,158.97296613185432,154.02219516459698,165.39911683067322
mistral-large-2512,2025-12-02,-0.5011020087783842,-0.8640305935071358,-0.15882287506693277,127.67379478479222,120.04352796130954,134.42954433293687
gpt-5-2025-08-07_high,2025-08-07,0.8161986214501784,0.6891113294818726,0.9401688636480271,152.74571862660164,148.68180523938983,157.80833596298305
gpt-5-pro-2025-10-06_unknown,2025-08-07,1.1186733493864307,0.9234839907535421,1.3174821690032383,158.5106179882095,153.04194116632164,165.51730841561607
gpt-5-2025-08-07,2025-08-07,0.23955464574080734,-0.08153774025571298,0.5914129357682992,141.75257125755897,135.46109969408738,149.09738664648046
o3-pro-2025-06-10,2025-06-10,0.26951337053766433,-0.29226014643622555,0.828880344558142,142.3441344516263,131.4719004808339,153.61073619674127
o3-pro-2025-06-10_high,2025-06-10,0.744430296822204,0.5504633946442564,0.9422278477220146,151.37678846078535,146.6901574045813,157.14779060007578
DeepSeek-R1-0528,2025-05-28,0.17015434528255485,0.025094193865730748,0.3200720193873793,140.44179568181016,137.2012173115222,144.0632746722956
o3-2025-04-16_medium,2025-04-16,0.5440891615438654,0.42863910539150807,0.660680461067162,147.5632911125789,144.2507985727439,151.63231296893193
o3-2025-04-16_high,2025-04-16,0.5979571728067015,0.47619050449405254,0.7179611729070201,148.5912017375984,145.06246720508432,152.9072042095095
o3-2025-04-16,2025-04-16,0.4382289957383418,-0.03167584084014437,1.0325486543738183,145.54815677058335,136.46035790945874,157.61587527626185
gemini-2.5-pro-exp-03-25,2025-03-25,0.43708022981900996,0.2598057803911618,0.6217383174361443,145.52260022496657,141.5600536847913,150.18720480049137
claude-3-7-sonnet-20250219_thinking,2025-02-24,0.13721017497345744,-0.1420576885733142,0.396217261604678,139.80431172350274,134.21036618602778,145.35069566887285
Llama-3.3-70B-Instruct,2024-12-06,-0.7668890328160778,-0.9301019049757768,-0.6082999031867626,122.62637910861199,117.74410963168991,126.42701645835179
o1-2024-12-17_high,2024-12-05,0.0810285567532604,-0.06796876733159424,0.23092557516416284,138.7468007566847,135.448482441814,142.27279484780559
o1-2024-12-17,2024-12-05,0.2196644971913529,-0.2202900597248603,0.7747829270531237,141.40355862304978,132.80325207529964,152.56668897339773
o1-mini-2024-09-12,2024-09-12,-0.44086566891268786,-0.8170491689225728,-0.008944639059020982,128.83256086893255,121.00472775492612,137.25305332825005
o1-mini-2024-09-12_medium,2024-09-12,-0.3043947409682509,-0.478071774298182,-0.12660968824253088,131.42121999576818,127.41350531089176,135.18560619593057
o1-preview-2024-09-12,2024-09-12,-0.19547830333372734,-0.31472796940683795,-0.07432859053016898,133.49708204276754,130.62863479538268,136.25017902230712
