name,kind,release_date,mean,hdi_low,hdi_high,n_obs,is_low_obs
Baichuan-13B-Base,model,2023-07-11,-1.945995800861232,-2.3081749977312294,-1.592403389319016,2,True
Baichuan-2-13B-Base,model,2023-09-06,-1.6977933066248632,-2.0466532546405967,-1.3533307678148234,3,True
Baichuan-2-7B-Base,model,2023-09-20,-2.0201572746868335,-2.3672982356805026,-1.6896798158742092,3,True
Baichuan-7B,model,2023-06-01,-2.3332583361543553,-2.725109300872066,-1.9804475032057038,2,True
Baichuan2-13B-Chat,model,2023-09-06,-1.7201060028902857,-2.075352276845278,-1.358191961211504,2,True
Cerebras-GPT-13B,model,2023-03-20,-2.7836448153151494,-3.2466245489419174,-2.3603142980416005,2,True
Chinchilla (70B),model,2022-03-29,-1.3077000687863007,-1.7455158317500876,-0.8027785651625607,2,True
CodeQwen1.5-7B,model,2024-04-15,-2.1903852801703825,-2.5808293713021278,-1.8372292630100342,3,True
DeepSeek-Coder-V2-Base,model,2024-06-17,-0.890712783742199,-1.4058906803672364,-0.15834644425194075,2,True
DeepSeek-Coder-V2-Lite-Base,model,2024-06-13,-1.4849821763124633,-1.8278482734652797,-1.1300505924647568,3,True
DeepSeek-R1,model,2025-01-20,-0.010066790159510067,-0.11925881518884061,0.10317965374077426,27,False
DeepSeek-R1-0528,model,2025-05-28,0.17015434528255485,0.025094193865730748,0.3200720193873793,13,False
DeepSeek-R1-Distill-Llama-70B,model,2025-01-20,-0.19396069151458614,-0.40383571621594566,0.03353896363514963,3,True
DeepSeek-R1-Distill-Qwen-1.5B,model,2025-01-20,-1.085619462591606,-1.4337533786692953,-0.775735073477837,3,True
DeepSeek-R1-Distill-Qwen-14B,model,2025-01-20,-0.3656376418085566,-0.5728343085320907,-0.15820408029308908,4,False
DeepSeek-R1-Distill-Qwen-32B,model,2025-01-20,-0.2721765646499564,-0.5421479236861722,-0.010746060165276804,4,False
DeepSeek-V2,model,2024-05-07,-0.6451703304756056,-1.0940461920014888,-0.06067380635590023,3,True
DeepSeek-V3,model,2024-12-26,-0.4298160268501424,-0.5427787044875796,-0.31535615317350324,27,False
DeepSeek-V3-0324,model,2025-03-24,-0.24728267009389485,-0.39985453727238784,-0.09544224441525677,11,False
DeepSeek-V3.1,model,2025-08-21,-0.03169928750341171,-0.20972890791473894,0.14903893052067693,10,False
DeepSeek-V3.1-Terminus,model,2025-09-22,0.24901919399570968,-0.0918138121396954,0.5785921593247765,3,True
DeepSeek-V3.1_thinking,model,2025-08-21,0.11562553690517385,-0.17210838254263866,0.40469010093843905,3,True
DeepSeek-V3.2-Exp,model,2025-09-29,0.2786430234846202,-0.03415287037302513,0.7114876082604366,2,True
DeepSeek-V3.2-Exp_thinking,model,2025-09-29,0.29587641124463315,0.07327068833930683,0.5200613473088824,7,False
GLM-4.5-Air,model,2025-07-28,-0.4390536876044901,-0.819986529068303,-0.126337427202172,3,True
Gopher (280B),model,2021-12-08,-1.6084105045307862,-2.0446128796695913,-1.1377196194889607,2,True
Hermes-2-Theta-Llama-3-70B,model,2024-06-20,-1.1308100902479872,-1.3744458611007335,-0.9093896352422074,3,True
INTELLECT-1-Instruct,model,2024-11-29,-1.902982815777433,-2.2474341733069454,-1.5663314870261507,3,True
Inkling,model,2026-07-15,-0.24348987309202286,-1.0432178285382288,0.2911977083027354,2,True
Inkling_high,model,2026-07-15,-0.21428614956768652,-0.7942218075295757,0.287204812559664,1,True
Inkling_thinking,model,2026-07-15,0.9812583500809495,0.13065118345263513,1.7148514095114884,1,True
Inkling_xhigh,model,2026-07-15,0.6265945131959381,0.4694549668735015,0.7815055493674601,11,False
Kimi-K2-Instruct,model,2025-07-12,0.008985430411627788,-0.19182636000201664,0.1954217060541297,7,False
Kimi-K2-Instruct-0905,model,2025-09-05,-0.053502969999879246,-0.3617966964987003,0.24828191675026542,3,True
LLaMA-13B,model,2023-02-24,-2.069112853259,-2.408461722808984,-1.7421443661569695,4,False
LLaMA-33B,model,2023-02-24,-1.6159077333589043,-1.941662267107817,-1.268701143893008,4,False
LLaMA-65B,model,2023-02-24,-1.4358045419750307,-1.7668906922004406,-1.0695006269083698,4,False
LLaMA-7B,model,2023-02-24,-2.4316616085571843,-2.8040274031373067,-2.0898454768054444,4,False
Llama-2-13b,model,2023-07-18,-1.781525233466815,-2.1094125030599185,-1.4504154154308597,4,False
Llama-2-13b-chat,model,2023-07-18,-1.7336983809583173,-2.0266493738780733,-1.4424332912640734,4,False
Llama-2-34b,model,2023-07-18,-1.605849304795393,-1.9314642003074738,-1.2592139299177594,4,False
Llama-2-70b-chat,model,2023-07-18,-1.5841798969387506,-1.792198681718842,-1.3938127539749074,6,False
Llama-2-70b-hf,model,2023-07-18,-1.136682242363616,-1.4797847580400625,-0.7326727209071252,4,False
Llama-2-7b,model,2023-07-18,-2.1760949109832337,-2.5262425410156024,-1.8476389982108348,4,False
Llama-3.1-405B,model,2024-07-23,-0.2835661752139894,-0.7810498624771756,0.38134741157269714,3,True
Llama-3.1-405B-Instruct,model,2024-07-23,-0.7215237084879293,-0.8058713465542138,-0.6397110855864773,69,False
Llama-3.1-70B-Instruct,model,2024-07-23,-0.8524008509147329,-0.9684150587544383,-0.7414103120805632,25,False
Llama-3.1-8B-Instruct,model,2024-07-23,-1.4063930060552159,-1.5448465067765667,-1.2766124525477274,27,False
Llama-3.1-Tulu-3-70B-DPO,model,2024-11-21,-0.8526868553183825,-1.0642848455364782,-0.6553422662838988,3,True
Llama-3.2-11B-Vision-Instruct,model,2024-09-24,-1.671271231468317,-2.0710364545043443,-1.2599852574364427,3,True
Llama-3.2-1B-Instruct,model,2024-09-24,-1.5918559825683247,-1.9604419740908297,-1.2783528913155138,4,False
Llama-3.2-90B-Vision-Instruct,model,2024-09-24,-0.9170490217816627,-1.10685859601749,-0.7319029387481071,8,False
Llama-3.3-70B-Instruct,model,2024-12-06,-0.7668890328160778,-0.9301019049757768,-0.6082999031867626,9,False
Llama-4-Maverick-17B-128E-Instruct,model,2025-04-05,-0.37211526754563107,-0.48951739802031546,-0.25685356504308743,30,False
Llama-4-Maverick-17B-128E-Instruct-FP8,model,2025-04-05,-0.3321262873974174,-0.5362742045825537,-0.10406891076614347,3,True
Llama-4-Scout-17B-16E-Instruct,model,2025-04-05,-0.7154788660146905,-0.8384452342574448,-0.5956359562770205,22,False
