name,mean,hdi_low,hdi_high
Video-MME,0.25117286684859086,0.11887503491655146,0.42792064131603735
DeepResearchBench,0.39108926473050565,0.20331197779356844,0.6301504123887769
TriviaQA,0.413729616908751,0.22330397346662856,0.6483810578751932
SpatialViz-Bench,0.4483000644487507,0.21473344234121433,0.8139573090877307
LAMBADA,0.4507034577075526,0.2371531556496063,0.7229326368067629
TutorBench,0.4946482991385853,0.3552656930951179,0.6451848856115772
ScienceQA,0.4965959016155591,0.26172591045348653,0.8495040270605461
PRBench Legal,0.5534774306900002,0.45179079051659765,0.6732927931846548
PRBench Finance,0.5630611850543026,0.44424926329964554,0.6963801412951673
Lech Mazur Writing,0.5797182577689459,0.3340637972070637,0.8530581022599037
MMLU Biology,0.5931450393029358,0.4593177679985624,0.7433897485165489
SciCode,0.6340855690074565,0.5444819192881769,0.7250325370317298
CL-Bench Life,0.6378212989082699,0.33281591321487664,0.9957658028740626
CL-Bench,0.6414898109374184,0.401875234236144,0.8945957896571687
GDP.pdf,0.6544362610693406,0.29802865032285886,1.1402598154925094
WMDP Biology,0.6814481101238341,0.42525914289586414,0.9498462119234491
BoolQ,0.7910950472626386,0.6680492823491223,0.9269833982411121
MultiChallenge,0.7932046117037748,0.5455765605983353,1.049919850619761
OS World (Screenshot),0.7951064761116915,0.3250639367928632,1.5467681955576078
WMDP Chemistry,0.866246320037879,0.6504729658570083,1.0914562088403827
AudioMultiChallenge,0.8733279924522206,0.6859397978265168,1.1156629542344236
SimpleQA Verified,0.8851455377260973,0.6730895773957847,1.104584121119305
SuperGLUE,0.899896980470436,0.42854451106532243,1.474827104364626
CSQA2,0.9049377771766554,0.39598899385371683,1.703579378892059
GPQA Diamond Biology,0.922480954649018,0.6044776174336305,1.257243746754665
MMLU Chemistry,0.9311122676220546,0.7912815364004628,1.083016716067172
Adversarial NLI,0.9573580625609444,0.37967791625476416,1.7906852965006694
BALROG,0.9864922547033073,0.7992469995976482,1.17857218960675
SWE-Bench Verified,1.0205743358499708,0.7603743578212784,1.2968558212660544
MMLU-Pro,1.0763068243561047,0.9144618800912407,1.2448356429210194
GPQA Main Biology,1.0905524422358965,0.7868592420177106,1.4146761026704555
MMLU,1.1211599659020108,1.0206111436993273,1.2291121228543647
GBAEval,1.1426510658101674,0.4653911770292061,2.1962404920780125
ARC (AI2),1.1920784589212132,0.9722834408906752,1.429171715687705
GPQA Main Chemistry,1.249343827731434,1.0451776248453057,1.463870057993094
SWE-Bench Pro,1.2590206982064744,0.9545857946260242,1.585635832203054
ExploitBench,1.2931684424893963,0.9173926081051998,1.832030784770182
GPQA Diamond Chemistry,1.304911059244896,1.0484564585931462,1.5802571114602244
PostTrainBench,1.314470077800011,0.8342915542166792,1.8028432420462566
BIG-Bench Hard (BBH),1.3438377944296884,1.134089892511977,1.5600006175666241
MMLU Pro Biology,1.4034916713126904,1.1362803818292557,1.680121303168456
GPQA Diamond,1.5597921355256152,1.4561903293433447,1.6735087100871509
MultiNRC,1.5947095611538469,1.348187021614704,1.8476322469481035
CAD-Eval,1.7236084135579115,1.01449499050358,2.446896477338757
TerminalBench,1.8336795004582045,1.3808939455105789,2.2901329979548057
MMLU Pro Chemistry,2.073652775710552,1.8139350467793591,2.3568301977548933
GSO-Bench,2.196713633037133,1.6969586120860705,2.697719644458265
VisualToolBench,2.2982269071387265,1.8306828483889954,2.7464198364802925
Aider Polyglot,2.378437665149229,1.8968363343055663,2.876285139358274
GSM8K,2.4134840116103384,2.026608271505479,2.809389446221289
BioLP-bench,2.46165618191222,1.9606010516622239,2.9920202542224694
The Agent Company,2.5986152262195485,1.5230026527440756,3.683523020365175
Cybench,2.881535934969914,2.309842110532086,3.4328894283100504
MATH Level 5,3.2990945923397383,2.943548555524972,3.666177534755309
