name,mean,hdi_low,hdi_high
GSM8K,-2.839276288996741,-3.3224297194406667,-2.337516311845859
BoolQ,-2.4522172386715058,-2.670542368143904,-2.249232175220927
SuperGLUE,-2.2561819900403286,-2.9633699584072457,-1.651465543540542
ARC (AI2),-1.9723042163146305,-2.311357171457434,-1.6547965117154435
MMLU Pro Biology,-1.9394809458169893,-2.088841157092258,-1.8015054817693512
BIG-Bench Hard (BBH),-1.7188552228279237,-1.9696281271909528,-1.4492898981828284
MMLU,-1.7074851040437453,-1.8079058728497512,-1.6105228253886865
LAMBADA,-1.642399118630756,-2.0281464620843224,-1.3300593645060035
WMDP Biology,-1.5475682805710758,-1.6834221115606869,-1.4158833487911544
TriviaQA,-1.50380572044945,-1.7862632674947303,-1.266136214583493
MMLU Pro Chemistry,-1.3666398584361197,-1.526981780633094,-1.2127913679228526
CSQA2,-1.2726068598036906,-2.0194549012082796,-0.7128600167140122
ScienceQA,-1.077789914239807,-1.475668569050585,-0.786986362081299
Lech Mazur Writing,-1.0615496420386732,-1.1704581766552828,-0.9512033868669404
MMLU Biology,-1.0355179371040082,-1.1143598440393465,-0.961187784288397
MATH Level 5,-0.9985616261510393,-1.182623715779403,-0.82195077184073
MMLU-Pro,-0.9649423573862099,-1.0597330048959646,-0.8727495500246287
Adversarial NLI,-0.9579502488821698,-1.7196151790959067,-0.38285455619292674
WMDP Chemistry,-0.755127506117534,-0.8848892063470283,-0.628951458301113
MMLU Chemistry,-0.733561842588586,-0.8227170925968217,-0.6471709450363614
GPQA Main Biology,-0.6020392655454666,-0.7519171504289972,-0.4537311599339752
Video-MME,-0.4733074514389346,-0.6212229992068999,-0.3422743558296303
GPQA Diamond Biology,-0.46263872780147514,-0.6287778919980553,-0.30111485042253155
GPQA Diamond,-0.38969329468578734,-0.4584529904883159,-0.319948256232024
SWE-Bench Verified,-0.043959242495562365,-0.2767012026828953,0.1867826213877515
GPQA Diamond Chemistry,0.12022182651194858,-0.017192599457001453,0.2513154905878848
GPQA Main Chemistry,0.2326697732874708,0.1196472684417704,0.3391635937503305
MultiChallenge,0.32325678323305485,0.11509360949721441,0.5350273495198141
TutorBench,0.32587146305939374,0.2042598452177402,0.45640505800146286
DeepResearchBench,0.46106066610781615,0.2853409849774524,0.6694054054137288
OS World (Screenshot),0.46442303679694197,-0.04126297181779402,1.0500758249045459
CAD-Eval,0.49602510434000846,0.25020414889453646,0.7548622842287472
Aider Polyglot,0.5620236277561075,0.3650713467102714,0.7620513508855997
SpatialViz-Bench,0.6477924075934682,0.49964170164031646,0.813890143518241
SciCode,0.6730701313071994,0.5962271809108551,0.7496218341063797
PRBench Legal,0.7134485430509192,0.606976070558775,0.8311385637721003
PRBench Finance,0.7178843920291942,0.5983770412643091,0.8470936869937655
AudioMultiChallenge,0.7988177561986816,0.6252808426804516,1.0285590968065652
BALROG,1.0373080250001614,0.9136066387799253,1.1684538096883443
SimpleQA Verified,1.1849760243095844,0.9870533509524513,1.3972178924155465
The Agent Company,1.2073085978331615,0.9177948432271452,1.4851490291234135
TerminalBench,1.4917199607613174,1.1245953061946685,1.858225929007482
SWE-Bench Pro,1.5150522201675245,1.2361020912914307,1.8070492690102118
MultiNRC,1.6904381090088039,1.4894709107661763,1.8906220370420566
Cybench,1.7045672944549062,1.4112114854253068,1.9967353641982948
BioLP-bench,1.744046293831382,1.5326444960943053,1.9516173485193633
CL-Bench,2.004682084490116,1.7840021185396973,2.238596668344709
GDP.pdf,2.227106480507565,1.7461368176919054,2.866234812141287
GBAEval,2.2771668035693766,1.3081681555482554,3.7150737186485023
CL-Bench Life,2.399603079532473,2.0579324473713454,2.8013311316316374
ExploitBench,2.615842216237673,2.149541020763932,3.219646716028035
PostTrainBench,2.7801073127695455,2.2192650133351917,3.367572145843679
GSO-Bench,3.626061765909043,3.086464346521971,4.134269146435577
VisualToolBench,3.785623515780123,3.317870787569456,4.205226479011238
