name,kind,release_date,mean,hdi_low,hdi_high,n_obs,is_low_obs
Aria,model,2024-09-30,0.250986430371511,-1.347153199731633,1.8381970118287474,1,True
Baichuan-13B-Base,model,2023-07-11,-1.4898118457781298,-1.7269727329773625,-1.2619453903510751,3,True
Baichuan-2-13B-Base,model,2023-09-06,-1.3425755059999114,-1.586638791398737,-1.1252450024927185,6,False
Baichuan-2-7B-Base,model,2023-09-20,-1.63245983241799,-1.888378079237724,-1.4145668070412152,6,False
Baichuan-7B,model,2023-06-01,-1.8443794425457616,-2.1212336233238207,-1.6072445340901846,3,True
Baichuan2-13B-Chat,model,2023-09-06,-1.3017229698433819,-1.5305223192299817,-1.0760402548190966,3,True
ByteVideoLLM-14B,model,2024-10-13,0.12198101555374716,-1.4493463515497382,1.7510633592149376,1,True
Cerebras-GPT-13B,model,2023-03-20,-2.3563020103843026,-2.734788797607371,-2.0032647197400926,3,True
Chat-Uni-Vi-7B-v1.5 + 100k SG-WV,model,2024-06-20,-0.8173559913981046,-2.3980129771808487,0.910042172078679,1,True
Chat-UniVi-7B-v1.5,model,2024-04-23,-0.9369568781357869,-2.5306718994398274,0.7722007151889367,1,True
Chinchilla (70B),model,2022-03-29,-0.9394476804388032,-1.3131875935813764,-0.5181040566167285,4,False
CodeQwen1.5-7B,model,2024-04-15,-1.6286957365348183,-1.99766836932797,-1.3262986169909894,3,True
DeepSeek-Coder-V2-Base,model,2024-06-17,-0.5668692395453483,-0.9303704507562218,-0.0805456351759028,2,True
DeepSeek-Coder-V2-Instruct,model,2024-06-17,-0.035352097940956034,-0.544915123096364,0.8611849035065244,1,True
DeepSeek-Coder-V2-Lite-Base,model,2024-06-13,-1.0156269376503952,-1.3022224808788077,-0.7259090304203832,3,True
DeepSeek-Coder-V2-Lite-Instruct,model,2024-06-13,-0.33693110586890995,-0.7783240006475652,0.5015950744111108,1,True
DeepSeek-R1,model,2025-01-20,0.30783935269278084,0.2006968866446237,0.4223659642802194,18,False
DeepSeek-R1-0528,model,2025-05-28,0.47050765059767485,0.32690510753928265,0.6230400125365312,11,False
DeepSeek-R1-Distill-Llama-70B,model,2025-01-20,0.10092963427915234,-0.08105827686755294,0.30810661901813413,2,True
DeepSeek-R1-Distill-Qwen-14B,model,2025-01-20,-0.05350803209034265,-0.24488628669539053,0.14587326512368487,2,True
DeepSeek-R1-Distill-Qwen-32B,model,2025-01-20,-0.3462443873518456,-1.0790195983077249,0.2157557543215697,1,True
