bench,n,obs_min,obs_max,crossed,top_n,top_obs,top_pred,top_resid,t,n99,sigma_b
APEX Agents,49,0.011,0.496,False,13,0.36892307692307685,0.3608439447365843,0.008079132186492605,0.41967256039594353,0,0.07686344019655691
ARC (AI2),77,0.232,0.953,True,20,0.8647,0.8534902813311879,0.011209718668812018,2.2314497355069225,0,0.050548755990131214
ARC-AGI,160,0.0,0.98,True,40,0.9147299999999999,0.9077113175076843,0.007018682492315703,1.674628289679665,0,0.07030758502419965
ARC-AGI-2,152,0.0,0.925,True,38,0.6875947368421053,0.6812486325145316,0.006346104327573656,2.3652988829900994,0,0.03568904496482124
Aider Polyglot,70,0.036,0.88,True,18,0.7837222222222223,0.7733764405763189,0.010345781645903218,1.583021478520102,0,0.0639245066198045
AudioMultiChallenge,24,0.0929,0.5664,False,6,0.4833999999999999,0.47380315740367457,0.0095968425963254,3.111147913918194,0,0.03467162784202801
BALROG,35,0.037,0.581,False,9,0.45877777777777773,0.4606636460414616,-0.0018858682636838221,-0.20433481392344457,0,0.047898751462112456
BIG-Bench Hard (BBH),52,0.282,0.944,True,13,0.8037846153846152,0.7908529910180627,0.012931624366552597,1.1685281882705971,0,0.05558125879945415
BioLP-bench,32,0.01,0.412,False,8,0.333375,0.31679141627089125,0.01658358372910874,0.7935210329178036,0,0.07994035901386448
BoolQ,78,0.451,0.912,True,20,0.8793000000000001,0.8780195648461275,0.0012804351538725223,0.2295487284715594,0,0.051681846432383445
CAD-Eval,15,0.12,0.74,False,4,0.6400000000000001,0.6262424041503907,0.01375759584960945,1.6947251684554145,0,0.060893115457713545
CL-Bench,22,0.114,0.279,False,6,0.21316666666666664,0.2187477674457987,-0.005581100779132052,-0.5569924251377248,0,0.03705168428485255
CL-Bench Life,17,0.063,0.222,False,5,0.19419999999999998,0.18472422495067226,0.009475775049327756,1.282777109100162,0,0.039643832111385266
Chess Puzzles,57,0.04,0.64,False,15,0.4897333333333333,0.47017478908939353,0.01955854424393983,1.4754308858078815,0,0.08128456228832692
CritPt,72,0.0,0.323,False,18,0.23605555555555557,0.22639492717311682,0.009660628382438693,1.4644478783498953,0,0.05953013618723245
CursorBench,28,0.319,0.7290000000000001,False,7,0.6755714285714286,0.6757614161316045,-0.0001899875601759796,-0.059190252369947245,0,0.029742603679319683
Cybench,22,0.05,0.93,True,6,0.625,0.6083831655229682,0.01661683447703179,0.769754160616039,0,0.06868742362684359
DeepResearchBench,36,0.2919,0.5531381702863989,False,9,0.5211597603398839,0.5185225372862386,0.0026372230536451536,0.2682558651408717,0,0.05539503281384664
EnigmaEval,47,0.0038,0.2382,False,12,0.13906666666666664,0.13424553865651592,0.004821128010150714,0.5906468094083432,0,0.04905819128901477
Fiction.LiveBench,41,0.188,1.0,True,11,0.8422727272727273,0.7810230313088306,0.06124969596389674,2.1909639556530123,1,0.16693511902821495
ForecastBench,68,0.504,0.625,False,17,0.6052941176470588,0.6087530772962139,-0.0034589596491551283,-1.0101221480229647,0,0.020152774417107902
FrontierMath,102,0.0,0.524,False,26,0.40025946967958664,0.3975916488322596,0.002667820847326993,0.195160630125391,0,0.07674364433561962
FrontierMath Tier 4,72,0.0,0.479,False,18,0.26399814814814815,0.2607322686261259,0.0032658795220222303,0.3583520500102633,0,0.07335187866269494
GPQA Diamond,184,0.132260101010101,0.946,True,48,0.8874351100288601,0.8890902141139408,-0.001655104085080993,-0.38924800968920464,0,0.046876566317539725
GPQA Diamond Biology,35,0.22,0.831,False,9,0.7005555555555555,0.6928936372899818,0.007661918265573868,0.29504662483091737,0,0.10140177907894814
GPQA Diamond Chemistry,38,0.054,0.831,False,10,0.6141,0.607187045008832,0.006912954991168008,0.46303539123965154,0,0.056859331352497294
GPQA Main Biology,35,0.284,0.821,False,9,0.7407777777777778,0.7383480638169392,0.0024297139608386122,0.3031395625073549,0,0.08649171333667845
GPQA Main Chemistry,38,0.055,0.72,False,10,0.5813,0.573213960914382,0.008086039085617853,0.6004797272719303,0,0.03775552196454672
GSM8K,94,0.0,0.9677,True,24,0.8602333333333334,0.817118501071391,0.04311483226194233,4.808491938238576,0,0.11571147434116527
GSO-Bench,36,0.0,0.4412,False,9,0.3518555555555556,0.3580150745322182,-0.006159518976662636,-0.7171490027287016,0,0.04413173344128654
GeoBench,32,0.32,0.9,True,8,0.8049999999999999,0.7570549594120131,0.047945040587987056,1.6282235275366357,0,0.13190528258831996
