country,tier,human_mean,human_hdi_low,human_hdi_high,crossover_date_median,crossover_hdi_low,crossover_hdi_high,p_passed_now,frac_positive_slope,status,crossover_hdi95_low,crossover_hdi95_high,human_eci_median
US,Average Human,-2.3427181508368893,-2.4937500857694923,-2.191954726120957,2023-03-31 13:34:12.250492256,2023-02-10 20:07:06.388957603,2023-06-02 20:14:33.170553893,1.0,1.0,passed_ci,2022-10-07 10:25:32.207021541,2023-09-05 10:39:29.764509298,92.7520070328003
US,Skilled Generalist,-1.0021650757115674,-1.0678549936355946,-0.9389058804588741,2024-03-14 21:39:40.245266851,2024-02-18 17:06:05.522368674,2024-04-17 05:27:18.554847419,1.0,1.0,passed_ci,2023-12-13 17:04:45.112416919,2024-06-03 18:04:52.658756348,118.25024440880463
US,High School Qualifier,-0.008919029946567202,-0.18443687233555842,0.16960882377516234,2024-11-28 23:09:52.221717720,2024-10-10 23:38:38.580762497,2025-01-15 04:43:53.997770907,1.0,1.0,passed_ci,2024-06-26 12:48:30.259673199,2025-04-28 04:39:48.542643247,137.1623431546714
US,Domain Expert,0.40670035476667776,0.3362008932946294,0.4793003713851677,2025-03-17 07:03:39.052495664,2025-02-24 06:43:46.067892150,2025-04-06 02:41:38.606912111,1.0,1.0,passed_ci,2025-01-15 20:49:48.456336748,2025-05-16 08:19:05.445467621,145.07998755304996
US,Committee of Domain Experts,0.6443070077729685,0.5349659542318829,0.7541540648235416,2025-05-18 03:40:39.659603989,2025-04-20 16:31:38.912211963,2025-06-18 19:13:06.608370861,1.0,1.0,passed_ci,2025-02-18 15:04:30.706262448,2025-08-16 15:49:17.994781594,149.59515063332043
US,High School Top Performer,1.223130272421935,1.0512712978509702,1.4069279249511748,2025-10-15 15:33:15.325584344,2025-08-24 02:54:54.547397712,2025-11-25 10:57:21.485198851,0.9999,1.0,passed_ci,2025-06-09 09:12:55.430564601,2026-03-09 05:33:01.201180898,160.65996775678548
US,Top Performer,3.5051663918700644,3.210861418585174,3.822550774458814,2027-06-03 07:37:23.193617862,2027-02-28 17:17:16.126645312,2027-08-18 08:44:54.394818037,0.0148,1.0,future,2026-10-08 06:22:21.071584902,2028-03-10 19:55:32.693318711,204.25052972531412
CN,Average Human,-2.3427181508368893,-2.4937500857694923,-2.191954726120957,2022-12-16 15:15:28.200099700,2022-10-09 03:27:19.772773678,2023-03-04 12:38:24.339578035,1.0,1.0,passed_ci,2022-05-05 06:57:05.880812065,2023-07-11 09:18:47.159828691,92.7520070328003
CN,Skilled Generalist,-1.0021650757115674,-1.0678549936355946,-0.9389058804588741,2024-04-17 18:54:54.323330374,2024-03-17 00:09:12.334486196,2024-05-26 16:24:58.831240435,1.0,1.0,passed_ci,2024-01-01 06:44:24.584183306,2024-07-24 17:00:19.710229501,118.25024440880463
CN,High School Qualifier,-0.008919029946567202,-0.18443687233555842,0.16960882377516234,2025-04-14 22:23:35.644574016,2025-02-10 17:12:57.651988968,2025-06-22 11:44:11.371475590,0.99975,1.0,passed_ci,2024-09-17 12:35:11.932609093,2025-11-09 09:07:33.728500248,137.1623431546714
CN,Domain Expert,0.40670035476667776,0.3362008932946294,0.4793003713851677,2025-09-13 06:53:44.793793536,2025-08-16 11:07:37.918611600,2025-10-10 15:51:32.559859805,1.0,1.0,passed_ci,2025-06-24 03:42:03.777642812,2025-12-03 08:00:47.765638800,145.07998755304996
CN,Committee of Domain Experts,0.6443070077729685,0.5349659542318829,0.7541540648235416,2025-12-08 23:47:02.010765001,2025-10-29 16:46:50.850642774,2026-01-19 09:20:48.861517352,0.999825,1.0,passed_ci,2025-08-10 02:35:26.822269973,2026-04-14 14:02:46.782453733,149.59515063332043
CN,High School Top Performer,1.223130272421935,1.0512712978509702,1.4069279249511748,2026-07-07 17:10:16.348787109,2026-04-25 15:42:21.442555296,2026-09-03 23:44:02.860562253,0.7333375,1.0,passed_mean,2026-01-04 10:50:15.317859405,2027-01-24 01:02:48.074872848,160.65996775678548
CN,Top Performer,3.5051663918700644,3.210861418585174,3.822550774458814,2028-10-16 20:53:49.951398946,2028-05-29 20:35:54.743995723,2029-01-25 07:17:51.414944700,0.000625,1.0,future,2027-11-10 00:47:47.422262057,2029-11-17 05:09:02.122040537,204.25052972531412
