fit,chain,basin,logp_mean,min_match_corr_all_bm,min_match_corr_shared96
drop,0,A,3434.5,1.0,1.0
drop,1,A,3433.9,0.999,0.999
drop,2,A,3439.2,0.997,0.997
drop,3,A,3446.5,1.0,1.0
drop,4,A,3438.8,1.0,1.0
drop,5,A,3440.2,1.0,1.0
drop,6,B,3432.6,0.552,0.552
drop,7,B,3442.2,0.546,0.546
drop,8,B,3434.1,0.528,0.528
drop,9,A,3435.3,1.0,1.0
drop,10,B,3437.5,0.544,0.544
drop,11,B,3439.0,0.545,0.545
keep,0,B,3478.4,0.508,0.626
keep,1,A,3508.4,1.0,1.0
keep,2,B,3480.3,0.509,0.626
keep,3,A,3503.8,1.0,1.0
keep,4,B,3475.3,0.508,0.623
keep,5,A,3509.7,1.0,1.0
keep,6,A,3511.7,1.0,1.0
keep,7,B,3478.5,0.509,0.625
keep,8,A,3512.7,1.0,1.0
keep,9,B,3472.2,0.514,0.63
keep,10,A,3504.0,1.0,1.0
keep,11,B,3472.4,0.51,0.626
