kind,name,keep,drop,delta,sd,z,n_obs,vs
theta1,Aria,0.2189320206532605,0.2134051373228978,-0.0055268833303627,0.9205763214032112,-0.006003720932055,1,keepA_vs_dropA
theta2,Aria,0.229233344822842,0.2775454793490755,0.0483121345262334,0.8995879217045988,0.0537047389816977,1,keepA_vs_dropA
theta3,Aria,0.2698306420573496,0.2379230530918356,-0.0319075889655139,0.9174487445568638,-0.0347786066031684,1,keepA_vs_dropA
theta_norm,Aria,1.5044852618624176,1.506226939285175,0.0017416774227574,0.6391931019547126,0.0027248063494916,1,keepA_vs_dropA
theta1,Average Human,0.4499779559594139,-0.1782201209874953,-0.6281980769469092,3.324485873021394,-0.1889609704901479,12,keepA_vs_dropA
theta2,Average Human,-0.7432165415091606,-0.7088833062971359,0.0343332352120246,3.16080175726877,0.0108621918894691,12,keepA_vs_dropA
theta3,Average Human,0.807123018954824,1.3566606397944707,0.5495376208396467,2.3372858019911154,0.2351178535254439,12,keepA_vs_dropA
theta_norm,Average Human,5.298968197986249,5.315364096519546,0.0163958985332968,0.4798453589815395,0.0341691301716384,12,keepA_vs_dropA
theta1,Baichuan-13B-Base,-0.1653098265777669,-0.2187387014352457,-0.0534288748574787,0.8911150586235642,-0.0599573246355034,3,keepA_vs_dropA
theta2,Baichuan-13B-Base,-0.2641095137216285,-0.4021796714393424,-0.1380701577177139,0.8109186981528951,-0.1702638723613219,3,keepA_vs_dropA
theta3,Baichuan-13B-Base,-0.4531194592022544,-0.2741477669612402,0.1789716922410141,0.7737190537336969,0.231313538651219,3,keepA_vs_dropA
theta_norm,Baichuan-13B-Base,1.4355303251000364,1.4290565242892532,-0.0064738008107831,0.5407556628592187,-0.0119717670205306,3,keepA_vs_dropA
theta1,Baichuan-2-13B-Base,0.0635561273729616,0.256546300157586,0.1929901727846243,1.0161587418802287,0.1899212837824225,8,keepA_vs_dropA
theta2,Baichuan-2-13B-Base,0.292471207590876,-0.0890163919823364,-0.3814875995732124,1.0986252646856614,-0.3472408762439699,8,keepA_vs_dropA
theta3,Baichuan-2-13B-Base,-0.6520679256734823,-0.462335782728733,0.1897321429447492,0.9348589984684114,0.2029526840471015,8,keepA_vs_dropA
theta_norm,Baichuan-2-13B-Base,1.8145711619620013,1.820717499028277,0.0061463370662757,0.4591403757018263,0.0133866185409651,8,keepA_vs_dropA
theta1,Baichuan-2-7B-Base,0.0114023182194356,0.1238621996905156,0.11245988147108,0.9202253719859348,0.1222090640995702,7,keepA_vs_dropA
theta2,Baichuan-2-7B-Base,0.1326311337535624,-0.3106852915643392,-0.4433164253179017,1.033643375306181,-0.4288872118844516,7,keepA_vs_dropA
theta3,Baichuan-2-7B-Base,-0.8435877263182411,-0.5230590548042569,0.3205286715139842,0.965165174810542,0.3320972201228694,7,keepA_vs_dropA
theta_norm,Baichuan-2-7B-Base,1.7946238709432891,1.783845909791876,-0.0107779611514133,0.4503290678110198,-0.0239335231096748,7,keepA_vs_dropA
theta1,Baichuan-7B,-0.4054823368138436,-0.4251282916053776,-0.0196459547915339,0.8562828657044965,-0.0229433001387578,4,keepA_vs_dropA
theta2,Baichuan-7B,-0.4785272141121551,-0.7091523968228673,-0.2306251827107122,0.8159867760473016,-0.2826334806893282,4,keepA_vs_dropA
theta3,Baichuan-7B,-0.8765342183125783,-0.6131218523623273,0.2634123659502509,0.8031709603686931,0.3279655004326007,4,keepA_vs_dropA
theta_norm,Baichuan-7B,1.7232420513458104,1.7269764675597183,0.0037344162139079,0.4228072100661599,0.0088324326667077,4,keepA_vs_dropA
theta1,Baichuan2-13B-Chat,-0.1383820998335602,-0.1310959310127143,0.0072861688208459,0.848378514276972,0.0085883467087277,3,keepA_vs_dropA
theta2,Baichuan2-13B-Chat,-0.1663480539266782,-0.2628770544814077,-0.0965290005547295,0.7575944414871182,-0.1274151383228844,3,keepA_vs_dropA
theta3,Baichuan2-13B-Chat,-0.3172518970552164,-0.2296317889670009,0.0876201080882154,0.717967545639622,0.1220390930207807,3,keepA_vs_dropA
theta_norm,Baichuan2-13B-Chat,1.2750097138447154,1.283394649261561,0.0083849354168457,0.5621767398868913,0.0149151233445423,3,keepA_vs_dropA
theta1,ByteVideoLLM-14B,0.1385275266551452,0.1433320599912119,0.0048045333360667,0.9294409297952408,0.0051692723895053,1,keepA_vs_dropA
theta2,ByteVideoLLM-14B,0.1577009818874856,0.1654444709704657,0.0077434890829801,0.8940393144888589,0.0086612400120314,1,keepA_vs_dropA
theta3,ByteVideoLLM-14B,0.1654584934700473,0.1543140591908441,-0.0111444342792032,0.9070173381630408,-0.0122869032490313,1,keepA_vs_dropA
theta_norm,ByteVideoLLM-14B,1.459801303720181,1.4710518006830284,0.0112504969628477,0.6402522558071702,0.0175719755155945,1,keepA_vs_dropA
theta1,Cerebras-GPT-13B,-0.6763475997559598,-0.7641011934364801,-0.0877535936805202,0.8963992832106523,-0.0978956535598861,7,keepA_vs_dropA
theta2,Cerebras-GPT-13B,-0.8677260596938187,-1.1563292192415546,-0.2886031595477359,0.8293756339139486,-0.3479764147226922,7,keepA_vs_dropA
theta3,Cerebras-GPT-13B,-1.2534775220428689,-0.8752782774198477,0.378199244623021,0.8234557511639291,0.4592830204761435,7,keepA_vs_dropA
theta_norm,Cerebras-GPT-13B,2.1807096733795763,2.1786929325628956,-0.0020167408166806,0.3907766990626711,-0.0051608522757833,7,keepA_vs_dropA
theta1,Chat-Uni-Vi-7B-v1.5 + 100k SG-WV,-0.3518913583410032,-0.3701091066272331,-0.0182177482862298,1.0031317419482375,-0.0181608731180693,1,keepA_vs_dropA
theta2,Chat-Uni-Vi-7B-v1.5 + 100k SG-WV,-0.4348784901992969,-0.5293612995520248,-0.0944828093527279,0.9751805125446196,-0.0968875076330084,1,keepA_vs_dropA
theta3,Chat-Uni-Vi-7B-v1.5 + 100k SG-WV,-0.5180651009278784,-0.3886011599105228,0.1294639410173556,0.979813378427392,0.132131224034873,1,keepA_vs_dropA
theta_norm,Chat-Uni-Vi-7B-v1.5 + 100k SG-WV,1.758219871752699,1.7357657822794323,-0.0224540894732665,0.6632881983354999,-0.0338526895693521,1,keepA_vs_dropA
theta1,Chat-UniVi-7B-v1.5,-0.3994052325246061,-0.4352676957477717,-0.0358624632231656,1.0211412688550945,-0.0351199822365173,1,keepA_vs_dropA
theta2,Chat-UniVi-7B-v1.5,-0.5049369087537166,-0.5985890448766378,-0.0936521361229212,0.9964299250147872,-0.0939876791852988,1,keepA_vs_dropA
theta3,Chat-UniVi-7B-v1.5,-0.6014493695850193,-0.4485841366636736,0.1528652329213456,0.990413932244821,0.1543447925604895,1,keepA_vs_dropA
