benchmark,category,category_axis,behaves_as,load_behaves,PIP_behaves,load_category,PIP_category
ARC-AGI-2,Core AGI Progress,reasoning/math,knowledge/applied,2.308,1.0,0.706,0.84
OTIS Mock AIME 2024-2025,High End Math Reasoning,reasoning/math,knowledge/applied,2.075,1.0,0.012,0.17
MATH Level 5,High End Math Reasoning,reasoning/math,knowledge/applied,1.769,1.0,0.018,0.26
GSM8K,Domain Specific Questions,knowledge/applied,reasoning/math,1.606,0.99,0.025,0.71
ARC-AGI,Core AGI Progress,reasoning/math,knowledge/applied,1.544,1.0,0.315,0.88
FrontierMath Tier 4,High End Math Reasoning,reasoning/math,knowledge/applied,1.441,1.0,0.024,0.4
Aider Polyglot,Autonomous SWE,agentic/coding,knowledge/applied,1.353,1.0,0.876,0.97
Cybench,Agentic Computer Use,agentic/coding,knowledge/applied,1.288,1.0,0.7,0.94
GSO-Bench,Autonomous SWE,agentic/coding,knowledge/applied,1.28,1.0,0.798,0.93
FrontierMath,High End Math Reasoning,reasoning/math,knowledge/applied,1.214,1.0,0.02,0.33
TerminalBench,Agentic Computer Use,agentic/coding,knowledge/applied,1.154,1.0,0.67,0.98
The Agent Company,Agentic Computer Use,agentic/coding,knowledge/applied,1.127,1.0,0.72,0.91
ARC (AI2),Domain Specific Questions,knowledge/applied,reasoning/math,1.082,1.0,0.029,0.75
EnigmaEval,General Reasoning,reasoning/math,knowledge/applied,1.026,1.0,0.016,0.35
APEX Agents,Core AGI Progress,reasoning/math,knowledge/applied,0.999,1.0,0.255,0.84
BIG-Bench Hard (BBH),Domain Specific Questions,knowledge/applied,reasoning/math,0.934,1.0,0.043,0.77
OpenBookQA,Domain Specific Questions,knowledge/applied,reasoning/math,0.917,0.99,0.047,0.81
Chess Puzzles,General Reasoning,reasoning/math,knowledge/applied,0.846,1.0,0.029,0.46
MMLU,Domain Specific Questions,knowledge/applied,reasoning/math,0.812,1.0,0.054,0.8
OS World (Screenshot),Agentic Computer Use,agentic/coding,reasoning/math,0.773,0.88,0.218,0.89
LiveBench,Core AGI Progress,reasoning/math,knowledge/applied,0.758,1.0,0.047,0.53
PostTrainBench,Autonomous SWE,agentic/coding,knowledge/applied,0.746,1.0,0.448,0.93
SWE-Bench Pro (Private),Autonomous SWE,agentic/coding,knowledge/applied,0.732,0.99,0.441,0.89
WeirdML,Autonomous SWE,agentic/coding,knowledge/applied,0.704,1.0,0.45,0.98
SimpleBench,General Reasoning,reasoning/math,knowledge/applied,0.671,1.0,0.042,0.52
SWE-Bench Pro,Autonomous SWE,agentic/coding,knowledge/applied,0.606,1.0,0.405,0.92
METR Time Horizons,Autonomous SWE,agentic/coding,knowledge/applied,0.604,1.0,0.368,0.94
TriviaQA,Domain Specific Questions,knowledge/applied,reasoning/math,0.592,0.99,0.34,0.92
MCP Atlas,Agentic Computer Use,agentic/coding,knowledge/applied,0.589,1.0,0.335,0.95
SWE-Bench Verified,Autonomous SWE,agentic/coding,knowledge/applied,0.57,1.0,0.335,0.91
BALROG,General Reasoning,reasoning/math,knowledge/applied,0.545,1.0,0.043,0.52
ScienceQA,Domain Specific Questions,knowledge/applied,reasoning/math,0.54,0.97,0.038,0.77
SEAL Tool Use (Enterprise),Agentic Computer Use,agentic/coding,knowledge/applied,0.488,1.0,0.35,0.98
WMDP Biology,Biology,knowledge/applied,agentic/coding,0.398,0.9,0.151,0.87
WMDP Chemistry,Chemistry,knowledge/applied,agentic/coding,0.352,0.91,0.31,0.95
DeepResearchBench,Agentic Computer Use,agentic/coding,knowledge/applied,0.307,0.97,0.161,0.82
Video-MME,Multimodal Understanding,knowledge/applied,reasoning/math,0.211,0.77,0.021,0.69
Remote Labor Index,Core AGI Progress,reasoning/math,knowledge/applied,0.107,0.87,0.03,0.47
