method_a,method_b,axis,abs_corr
varimax,wop,axis1,0.9962385125415204
varimax,wop,axis2,0.9133252634296324
varimax,wop,axis3,0.9585358512812632
varimax,matchalign,axis1,1.0
varimax,matchalign,axis2,0.9994639407463392
varimax,matchalign,axis3,0.9971123828167965
varimax,promax,axis1,0.9353877713386486
varimax,promax,axis2,0.9911634051412885
varimax,promax,axis3,0.9963678857364775
wop,matchalign,axis1,0.9962385125415204
wop,matchalign,axis2,0.9374175671065055
wop,matchalign,axis3,0.9075102025189129
wop,promax,axis1,0.9021152680974232
wop,promax,axis2,0.9554989341233878
wop,promax,axis3,0.9311392634451955
matchalign,promax,axis1,0.9353877713386486
matchalign,promax,axis2,0.9871860303723672
matchalign,promax,axis3,0.996125591576952
