axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,DeepSWE,Autonomous SWE,2.9317434282630965,0.016540768488607166,4.152860453041102
axis1,FrontierMath Tier 4,High End Math Reasoning,2.839189855183382,0.20822252342711278,3.958867833358089
axis1,ARC-AGI-2,Core AGI Progress,2.83399451446786,0.0626201941064384,4.130956977650797
axis1,FrontierMath v1,High End Math Reasoning,2.6043413356078133,0.23388230897197623,3.2992125616266095
axis1,VPCT,Multimodal Understanding,2.5767640384792445,0.7102248024567548,4.013796435728021
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,2.466773727785177,0.06615884991016135,3.2403755703531862
axis1,FrontierMath Tier 4 v1,High End Math Reasoning,2.380448327461217,0.1891482580918495,3.0543515538646098
axis1,ARC-AGI,Core AGI Progress,2.19374823674141,0.19805974033280144,2.969599263105831
axis1,OpenAI NYU CTF Professional (Original),Agentic Computer Use,2.1174423501282265,0.07931546276107827,3.433115322532453
axis1,MATH Level 5,High End Math Reasoning,2.0487022696434547,0.05379739835859338,2.636900643595971
axis1,FrontierMath,High End Math Reasoning,1.9988616619365331,0.1676784449700583,2.7443834995718746
axis1,CritPt,Domain Specific Questions,1.9084107799712355,0.09253256540627222,2.457872415848454
axis1,Aider Polyglot,Autonomous SWE,1.7327697909236424,0.5916345031104356,2.3440933750598343
axis1,MMLU Pro Chemistry,Chemistry,1.7177613523556983,0.285874960685198,2.4684811408324774
axis1,MMLU Pro Biology,Biology,1.6324317619083653,0.2828099839805347,2.5166734661092853
axis1,GPQA Main Chemistry,Chemistry,1.6054661867833204,0.42936689078932505,2.508303068776586
axis1,GPQA Diamond Chemistry,Chemistry,1.5914136889444892,0.4717119382294448,2.451070324615217
axis1,Cybench,Agentic Computer Use,1.4505440989255503,0.025025382608145522,2.1314044658864675
axis1,GPQA Diamond,Domain Specific Questions,1.4337330671690134,0.2671387971458882,1.843396804192074
axis1,OpenAI Cyber Ranges,Agentic Computer Use,1.4278159983188892,0.0927516341878127,3.1937072348356357
axis1,ProofBench,High End Math Reasoning,1.4094808595217891,0.03295483948829561,2.122469572327765
axis1,SCONE-Bench,Agentic Computer Use,1.3659934287255793,0.11049275420803302,2.234613529408026
axis1,AISI CTF Suites - Expert,Agentic Computer Use,1.3393436784834294,0.1373236589652037,2.3217570765384803
