axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,ARC-AGI-2,Core AGI Progress,2.8694219889382344,1.8542694652308855,3.2590025533502343
axis1,VPCT,Multimodal Understanding,2.2252196186701214,0.9698568249694082,3.4451456472895683
axis1,FrontierMath Tier 4,High End Math Reasoning,2.086449180375946,1.2705679355012633,2.7710550422128537
axis1,ARC-AGI,Core AGI Progress,1.9896552871152213,1.22292308593674,2.2788704060067797
axis1,FrontierMath v1,High End Math Reasoning,1.9326454505836186,1.4363926448408897,2.481614195388001
axis1,FrontierMath Tier 4 v1,High End Math Reasoning,1.8766875545689403,1.4076120927001854,2.3774882714691534
axis1,Aider Polyglot,Autonomous SWE,1.767222199385745,1.1338473089958858,2.140783000032846
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,1.7353024328305908,1.0307930784816695,2.4951142563369983
axis1,SCONE-Bench,Agentic Computer Use,1.6041810052892413,0.5532146704885674,2.348550771444739
axis1,Cybench,Agentic Computer Use,1.5629529335287005,0.5879043090334496,2.1169561262190313
axis1,GSO-Bench,Autonomous SWE,1.4827469808193974,0.7003604321098627,1.9796745491429892
axis1,OpenAI NYU CTF Professional (Original),Agentic Computer Use,1.4753338061468009,0.23865209977343288,2.4318748837820405
axis1,ProofBench,High End Math Reasoning,1.4649573868584653,0.9755434277042858,1.9735374664697505
axis1,MATH Level 5,High End Math Reasoning,1.432282336480072,0.9017572296181617,2.0989119962613287
axis1,CritPt,Domain Specific Questions,1.4068692926957158,1.0745427408342167,1.752166565959992
axis1,FrontierMath,High End Math Reasoning,1.3887014545760328,0.8802256872637527,1.7928188864309358
axis1,AISI CTF Suites - Apprentice,Agentic Computer Use,1.3257635016935754,0.5417008491993278,1.7961292978428427
axis1,TerminalBench,Agentic Computer Use,1.3188931466122855,0.8914501167996358,1.6265039529024465
axis1,Fiction.LiveBench,Advanced Language and Writing,1.3064190723215932,0.7232920949539791,1.9437140911137862
axis1,GPQA Diamond Chemistry,Chemistry,1.300951221326411,0.6754080936413359,2.0920565484693285
