axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,3.204576258731917,2.9035181013760103,3.528940460719981
axis1,MATH Level 5,High End Math Reasoning,3.135947266376662,2.8317340464581098,3.4595299767018965
axis1,FrontierMath Tier 4,High End Math Reasoning,2.940134024244193,2.452560030642966,3.4746980317600347
axis1,CritPt,Domain Specific Questions,2.6770798414237644,2.2161998393415057,3.179776279887239
axis1,GSM8K,Domain Specific Questions,2.462024343244159,2.041896306490141,2.897349615663148
axis1,Fiction.LiveBench,Advanced Language and Writing,2.378965456109168,1.3377576248398892,3.3384223939155326
axis1,Cybench,Agentic Computer Use,2.3637092856147937,1.8137825991268168,2.9035430270289493
axis1,FrontierMath,High End Math Reasoning,2.307650163149681,2.021343629353387,2.6116723477624695
axis1,The Agent Company,Agentic Computer Use,2.277487234402619,1.3772272135737154,3.168731962168108
axis1,Aider Polyglot,Autonomous SWE,2.1841086559849288,1.7332810773781095,2.6506675384746643
axis1,BioLP-bench,Biology,2.031313190399599,1.633725375554558,2.4429609639475323
axis1,TerminalBench,Agentic Computer Use,1.9976559592407535,1.6396164371360495,2.3765643284749567
axis1,VisualToolBench,Multimodal Understanding,1.9967554854844505,1.5561516143041059,2.402280451627986
axis1,GSO-Bench,Autonomous SWE,1.9696678800859893,1.5365269389468603,2.40287858865898
axis1,MMLU Pro Chemistry,Chemistry,1.9131946555837231,1.660452081690903,2.1907283683248124
axis1,APEX Agents,Core AGI Progress,1.8972265043206693,1.4207426410532542,2.323475880724379
axis1,EnigmaEval,General Reasoning,1.7450922116013816,1.4445970133651749,2.058406549829162
axis1,MultiNRC,Advanced Language and Writing,1.6277082089412631,1.384426186235489,1.8897687114431505
axis1,Humanity's Last Exam,Domain Specific Questions,1.6090545354607548,1.383521823408642,1.8505071594271614
axis1,Chess Puzzles,General Reasoning,1.5527331253309682,1.0720733605576076,2.0371355256330324
axis1,CAD-Eval,Multimodal Understanding,1.511503553857802,0.9037871086921647,2.138477720651468
axis1,GPQA Diamond,Domain Specific Questions,1.4915330694776894,1.3840891604927892,1.609905121249914
axis1,LiveBench,Core AGI Progress,1.4526769413868061,1.2482649505641499,1.664533583469094
axis1,WeirdML,Autonomous SWE,1.3619261108782035,1.231107293012366,1.5020708033792893
axis1,BIG-Bench Hard (BBH),Domain Specific Questions,1.3579109179851405,1.1178576698235558,1.60259995816793
axis1,ExploitBench,Agentic Computer Use,1.3284049038617685,0.8978409207540401,1.8472881215220118
axis1,SimpleQA Verified,Domain Specific Questions,1.3030255828797637,0.8923829552226723,1.7378854813480178
axis1,SWE-Bench Pro (Private),Autonomous SWE,1.2907973442075478,0.7108526720515264,1.9289809312965716
axis1,MMLU Pro Biology,Biology,1.2761629766083962,1.0134612573709938,1.5482937843278328
axis1,ARC (AI2),Domain Specific Questions,1.2535485634613246,1.004822485518403,1.5240947155480729
axis1,GPQA Diamond Chemistry,Chemistry,1.2078741147952368,0.9989987444825552,1.4316790131998303
axis1,PostTrainBench,Autonomous SWE,1.2077716564012124,0.8425925361730839,1.5678693480667445
axis1,MMLU,Domain Specific Questions,1.1955213227878418,1.048197838401769,1.3459699541099828
axis1,FrontierCode,Autonomous SWE,1.139293314133988,0.33935345946887324,1.7506200068032935
axis1,GPQA Main Chemistry,Chemistry,1.1342588311072184,0.9611460100268934,1.317436005258473
axis1,SWE-Bench Pro,Autonomous SWE,1.1276502345122448,0.7625581129907285,1.5211219692859834
axis1,Adversarial NLI,General Reasoning,1.0924992247093213,0.07822451496195473,2.235364000937063
axis1,OS World 2,Agentic Computer Use,1.0757757495413374,0.1809268720174533,2.092295338568495
axis1,LAB-Bench Cloning,Biology,1.0109403318102297,0.7582212741650205,1.2766055537844678
axis1,LAB-Bench Protocol,Biology,1.006988376845586,0.8271935167664057,1.2006320101547567
axis1,MCP Atlas,Agentic Computer Use,0.9975918694644427,0.4391677668688068,1.459029908323152
axis1,SEAL Tool Use (Enterprise),Agentic Computer Use,0.978404525677043,0.6872270564889231,1.2650948496394394
axis1,LAB-Bench SeqQA,Biology,0.9764113214945963,0.8124039534118851,1.1525120551328003
axis1,GPQA Main Biology,Biology,0.9679434328028629,0.6836718984041013,1.265739533409856
axis1,METR Time Horizons,Autonomous SWE,0.9633460830147575,0.8565657468734595,1.077159283585812
axis1,BALROG,General Reasoning,0.9230809995364392,0.7628932169640653,1.0950477984693654
axis1,MMLU Chemistry,Chemistry,0.9165224537264831,0.7724141593998773,1.0699229863866582
axis1,CursorBench,Autonomous SWE,0.9159885780282337,0.3700525415982128,1.3976407433461409
