axis,benchmark,category,loading_median,hdi_low,hdi_high,bench_norm,axis_share
axis1,FrontierMath Tier 4,High End Math Reasoning,3.9647937127799153,3.4244510167764974,4.540698552041455,3.9647937127799153,1.0
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,3.1328718726562834,2.852477398163863,3.4315645586170054,3.1328718726562834,1.0
axis1,FrontierMath Tier 4 v1,High End Math Reasoning,2.9516530774143934,2.436006016260296,3.472824980594313,2.9516530774143934,1.0
axis1,MATH Level 5,High End Math Reasoning,2.8749454493022477,2.581512558867281,3.184043271024329,2.8749454493022477,1.0
axis1,GPQA Diamond Chemistry,Chemistry,2.664727704495096,2.186182577882986,3.2227798054396843,2.664727704495096,1.0
axis1,Cybench,Agentic Computer Use,2.598472142743739,1.947493498160365,3.2301894262707225,2.598472142743739,1.0
axis1,FrontierMath,High End Math Reasoning,2.547771584428338,2.2516234519554796,2.871691264446767,2.547771584428338,1.0
axis1,CritPt,Domain Specific Questions,2.4680339207331246,2.171102380491118,2.7799697860112436,2.4680339207331246,1.0
axis1,ProofBench,High End Math Reasoning,2.4582111183393787,1.896488917331964,3.0492671538402423,2.4582111183393787,1.0
axis1,Fiction.LiveBench,Advanced Language and Writing,2.3790838036252353,1.2321384828414796,3.4944361541243825,2.3790838036252353,1.0
axis1,GPQA Main Chemistry,Chemistry,2.3770252844570345,1.9817105582578178,2.8267883570815746,2.3770252844570345,1.0
axis1,VisualToolBench,Multimodal Understanding,2.366520641142986,1.9268818259483187,2.782240718487499,2.366520641142986,1.0
axis1,Aider Polyglot,Autonomous SWE,2.3133696282185796,1.8406705995480601,2.7909124103299385,2.3133696282185796,1.0
axis1,The Agent Company,Agentic Computer Use,2.2543271076074527,1.349751870293149,3.154036152854096,2.2543271076074527,1.0
axis1,Surface Evolver Bench,Autonomous SWE,2.2364375735766187,1.6599164976005145,2.8212554251128097,2.2364375735766187,1.0
axis1,TerminalBench,Agentic Computer Use,2.233190135009306,1.8373192193624566,2.6415759082979386,2.233190135009306,1.0
axis1,GSO-Bench,Autonomous SWE,2.179642862385178,1.725630599967132,2.6458263533536184,2.179642862385178,1.0
axis1,GSM8K,Domain Specific Questions,2.1794770086829316,1.8159805550532597,2.556377634908783,2.1794770086829316,1.0
axis1,DeepSWE,Autonomous SWE,2.151334620300485,1.6176642205267764,2.697219957682546,2.151334620300485,1.0
axis1,BioLP-bench,Biology,2.042449255136715,1.639234539007861,2.46278331717116,2.042449255136715,1.0
axis1,EnigmaEval,General Reasoning,2.0216474121121912,1.722145486208492,2.3319311976303347,2.0216474121121912,1.0
axis1,GPQA Diamond,Domain Specific Questions,1.9015120582695015,1.7607365666614978,2.0523009289623104,1.9015120582695015,1.0
axis1,MMLU Pro Chemistry,Chemistry,1.875870660395249,1.6202874897951898,2.146336201128468,1.875870660395249,1.0
axis1,Humanity's Last Exam,Domain Specific Questions,1.8418531715687632,1.5883783947386596,2.106106474027833,1.8418531715687632,1.0
axis1,BIG-Bench Hard (BBH),Domain Specific Questions,1.8056377790046754,1.4890824326004393,2.12299448925321,1.8056377790046754,1.0
