model,axis,n_obs,is_human,is_sota,is_low_obs,chained,informed,release_date,mean,median,sd,chain_split,outside_50,outside_50_central,lump_lo,lump_hi,hi_share,sum_spread,axis_spread,ridge_ratio,lump_gap
Aria,axis1,1,False,False,True,False,False,2024-09-30 00:00:00,0.241148868815435,0.27219878558067157,0.9172680257488521,False,False,False,,,,0.023165192017730953,0.031270661031799055,0.7407963648153881,
Aria,axis2,1,False,False,True,False,False,2024-09-30 00:00:00,0.088488512686334,0.09375679672341014,0.9579114031699238,False,False,False,,,,0.023165192017730953,0.031270661031799055,0.7407963648153881,
Average Human,axis1,13,True,False,False,False,True,,-0.2068759234343846,-0.20441855873174256,0.19996074599784916,False,False,False,,,,0.009788736404966381,0.02101468104473113,0.46580466218499406,
Average Human,axis2,13,True,False,False,False,True,,1.7328690316734952,1.7267883305798977,0.15894004686687208,False,False,False,,,,0.009788736404966381,0.02101468104473113,0.46580466218499406,
Baichuan-13B-Base,axis1,3,False,False,True,False,True,2023-07-11 00:00:00,-1.107565054922782,-1.097543720458678,0.26894403149278256,False,False,False,,,,0.040313519759913555,0.02578403148892326,1.5635072342054857,
Baichuan-13B-Base,axis2,3,False,False,True,False,False,2023-07-11 00:00:00,-0.11624272866150856,-0.1278240459315707,0.9843731744924012,False,False,False,,,,0.040313519759913555,0.02578403148892326,1.5635072342054857,
Baichuan-2-13B-Base,axis1,8,False,False,False,False,True,2023-09-06 00:00:00,-1.4449978736709266,-1.464162363522274,0.23126015469590946,False,False,False,,,,0.022236742062620118,0.048228773740589745,0.46106795462447114,
Baichuan-2-13B-Base,axis2,8,False,False,False,False,False,2023-09-06 00:00:00,0.1075501659199571,0.12410130768850541,0.5702684325816405,False,False,False,,,,0.022236742062620118,0.048228773740589745,0.46106795462447114,
Baichuan-2-7B-Base,axis1,7,False,False,False,False,True,2023-09-20 00:00:00,-1.7719543642322721,-1.775995937983816,0.25012003377722375,False,False,False,,,,0.008807039958693232,0.036359961896155445,0.24221807448110808,
Baichuan-2-7B-Base,axis2,7,False,False,False,False,False,2023-09-20 00:00:00,0.2648205789888005,0.2748403435148214,0.5769589186190429,False,False,False,,,,0.008807039958693232,0.036359961896155445,0.24221807448110808,
Baichuan-7B,axis1,4,False,False,False,False,True,2023-06-01 00:00:00,-1.6718491757616247,-1.6627622538195594,0.3044681867574646,False,False,False,,,,0.04992859211547125,0.03093399844919576,1.6140361614574699,
Baichuan-7B,axis2,4,False,False,False,False,False,2023-06-01 00:00:00,-0.14363237657612413,-0.12207061269128969,0.8751573065830709,False,False,False,,,,0.04992859211547125,0.03093399844919576,1.6140361614574699,
Baichuan2-13B-Chat,axis1,3,False,False,True,False,True,2023-09-06 00:00:00,-0.8855697449198283,-0.8734210949204718,0.24189955237938968,False,False,False,,,,0.025743967498823222,0.014310175860642222,1.7989972834385466,
Baichuan2-13B-Chat,axis2,3,False,False,True,False,False,2023-09-06 00:00:00,-0.1365771167517134,-0.12415780175981023,0.9563806428403698,False,False,False,,,,0.025743967498823222,0.014310175860642222,1.7989972834385466,
ByteVideoLLM-14B,axis1,1,False,False,True,False,False,2024-10-13 00:00:00,0.1619383740195786,0.15329194510307426,0.9205805972818504,False,False,False,,,,0.030353767553108216,0.026292602134774697,1.1544603838568799,
ByteVideoLLM-14B,axis2,1,False,False,True,False,False,2024-10-13 00:00:00,0.04169481973243094,0.061980429758509314,0.9940488493639212,False,False,False,,,,0.030353767553108216,0.026292602134774697,1.1544603838568799,
Cerebras-GPT-13B,axis1,7,False,False,False,False,True,2023-03-20 00:00:00,-2.1030561322635895,-2.079203739886527,0.2519213373263296,False,False,False,,,,0.03672172188267278,0.028101358721798756,1.3067596569338495,
Cerebras-GPT-13B,axis2,7,False,False,False,False,False,2023-03-20 00:00:00,-0.20818785208077042,-0.21604443338477194,0.6470831309180569,False,False,False,,,,0.03672172188267278,0.028101358721798756,1.3067596569338495,
Chat-Uni-Vi-7B-v1.5 + 100k SG-WV,axis1,1,False,False,True,False,False,2024-06-20 00:00:00,-0.5811656066982434,-0.6206185841962397,0.9700488842735049,False,False,False,,,,0.049912142257877205,0.06608359541159453,0.7552879341235116,
Chat-Uni-Vi-7B-v1.5 + 100k SG-WV,axis2,1,False,False,True,False,False,2024-06-20 00:00:00,-0.05275243397965857,-0.07435799222312547,1.048576388249678,False,False,False,,,,0.049912142257877205,0.06608359541159453,0.7552879341235116,
Chat-UniVi-7B-v1.5,axis1,1,False,False,True,False,False,2024-04-23 00:00:00,-0.7179626186198271,-0.7853281796165161,0.9928000315840563,False,False,False,,,,0.07737887832921378,0.04413108020954542,1.7533873624166798,
Chat-UniVi-7B-v1.5,axis2,1,False,False,True,False,False,2024-04-23 00:00:00,-0.09240048142759182,-0.08580744838698799,0.9732388825919983,False,False,False,,,,0.07737887832921378,0.04413108020954542,1.7533873624166798,
ChatGPT agent,axis1,1,False,False,True,False,False,2025-07-17,0.09593719194487513,0.12454773650159934,0.6512917121973876,False,False,False,,,,0.02801614334293291,0.0232899898956012,1.2029263846191853,
ChatGPT agent,axis2,1,False,False,True,False,False,2025-07-17,0.0896904859024485,0.09447885384315108,0.8810801498582532,False,False,False,,,,0.02801614334293291,0.0232899898956012,1.2029263846191853,
Chinchilla (70B),axis1,6,False,False,False,False,True,2022-03-29 00:00:00,-0.6213579557223489,-0.6295104326651142,0.27767186849297953,False,False,False,,,,0.01541841237243112,0.015226438920292316,1.0126079021591161,
Chinchilla (70B),axis2,6,False,False,False,False,False,2022-03-29 00:00:00,-0.27823902046680177,-0.25823323980866236,0.658535893762449,False,False,False,,,,0.01541841237243112,0.015226438920292316,1.0126079021591161,
CodeQwen1.5-7B,axis1,4,False,False,False,True,True,2024-04-15 00:00:00,-1.7633809276887482,-1.7557471046774578,0.24217777540117377,False,False,False,,,,0.023342666795504903,0.023412985348463693,0.9969966003090929,
CodeQwen1.5-7B,axis2,4,False,False,False,True,False,2024-04-15 00:00:00,-0.5428936358131242,-0.5565954532754419,0.7809878812884483,False,False,False,,,,0.023342666795504903,0.023412985348463693,0.9969966003090929,
Committee of Average Humans,axis1,5,True,False,False,False,False,,0.2571242997293338,0.2332055918622238,0.479135495087235,False,False,False,,,,0.010070236702614838,0.025769313169040686,0.39078405530471194,
Committee of Average Humans,axis2,5,True,False,False,False,True,,2.7580184639220886,2.749342658896529,0.37963816966084446,False,False,False,,,,0.010070236702614838,0.025769313169040686,0.39078405530471194,
Committee of Domain Experts,axis1,3,True,False,False,False,False,,4.204971560810502,4.195159041143091,0.5659722710954237,False,False,False,,,,0.01739400346444129,0.048111999338732836,0.3615315036479506,
Committee of Domain Experts,axis2,3,True,False,False,False,True,,-0.8591445619592284,-0.8436387581202192,0.3833881534362215,False,False,False,,,,0.01739400346444129,0.048111999338732836,0.3615315036479506,
Committee of Skilled Generalists,axis1,1,True,False,False,False,False,,2.129041095080203,2.1217805020575295,0.5459950789687082,False,False,False,,,,0.04070512313545326,0.02610118794728019,1.5595122803479464,
Committee of Skilled Generalists,axis2,1,True,False,False,False,False,,0.7370918390467583,0.7334341373448162,0.9448533787107632,False,False,False,,,,0.04070512313545326,0.02610118794728019,1.5595122803479464,
Composer 2.5,axis1,1,False,False,True,False,False,2026-05-18 00:00:00,0.39244143439268186,0.40907955325522355,0.4694364340353088,False,False,False,,,,0.05767192322342933,0.044050092449380227,1.3092350098856775,
Composer 2.5,axis2,1,False,False,True,False,False,2026-05-18 00:00:00,0.1895457448056125,0.21949141356155932,0.8797025306906342,False,False,False,,,,0.05767192322342933,0.044050092449380227,1.3092350098856775,
DeepSeek-Coder-V2-Base,axis1,3,False,False,True,False,True,2024-06-17 00:00:00,-0.660585706373169,-0.6907909048098628,0.19988693477258382,False,False,False,,,,0.027720809969122732,0.048996112432326655,0.5657757032746357,
DeepSeek-Coder-V2-Base,axis2,3,False,False,True,False,False,2024-06-17 00:00:00,1.1191185352417348,1.128788674904996,0.6584090906403179,False,False,False,,,,0.027720809969122732,0.048996112432326655,0.5657757032746357,
DeepSeek-Coder-V2-Instruct,axis1,1,False,False,True,False,False,2024-06-17 00:00:00,0.6752655986474386,0.6534900560492332,0.5749313513911739,False,False,False,,,,0.031021240039672784,0.01930362339066262,1.6070164347838505,
DeepSeek-Coder-V2-Instruct,axis2,1,False,False,True,False,False,2024-06-17 00:00:00,0.09590905461024356,0.07572685972946214,0.9522604849884618,False,False,False,,,,0.031021240039672784,0.01930362339066262,1.6070164347838505,
DeepSeek-Coder-V2-Lite-Base,axis1,4,False,False,False,False,True,2024-06-13 00:00:00,-0.9237031092328284,-0.9311506257646227,0.16206516742169194,False,False,False,,,,0.020523269557559228,0.02432222609581814,0.8438072023797161,
DeepSeek-Coder-V2-Lite-Base,axis2,4,False,False,False,False,False,2024-06-13 00:00:00,-0.006582112361034664,0.019819653349923853,0.621602974958724,False,False,False,,,,0.020523269557559228,0.02432222609581814,0.8438072023797161,
DeepSeek-Coder-V2-Lite-Instruct,axis1,1,False,False,True,False,False,2024-06-13 00:00:00,0.3905428674089571,0.35831089871828825,0.5802317772603766,False,False,False,,,,0.01684418770826043,0.02613521642391276,0.6445015581676461,
DeepSeek-Coder-V2-Lite-Instruct,axis2,1,False,False,True,False,False,2024-06-13 00:00:00,0.10382473955854503,0.08401520535920594,0.9966649929041375,False,False,False,,,,0.01684418770826043,0.02613521642391276,0.6445015581676461,
DeepSeek-R1,axis1,34,False,False,False,True,True,2025-01-20 00:00:00,0.01990798196063507,0.022606396906178435,0.1589919092108647,False,False,False,,,,0.025530226286330036,0.027545442442103538,0.9268403054331333,
DeepSeek-R1,axis2,34,False,False,False,True,True,2025-01-20 00:00:00,-0.02623637174667658,-0.027544804485809156,0.07223369813525345,False,False,False,,,,0.025530226286330036,0.027545442442103538,0.9268403054331333,
DeepSeek-R1-0528,axis1,17,False,True,False,True,True,2025-05-28 00:00:00,-0.03606900609301233,-0.03473069009854125,0.15226786373843493,False,False,False,,,,0.009818673327579693,0.010808068823664576,0.9084576983893206,
DeepSeek-R1-0528,axis2,17,False,True,False,True,True,2025-05-28 00:00:00,0.20012726998390742,0.19911186891477278,0.08289864877087164,False,False,False,,,,0.009818673327579693,0.010808068823664576,0.9084576983893206,
DeepSeek-R1-Distill-Llama-70B,axis1,4,False,False,False,False,False,2025-01-20 00:00:00,-1.3984564459289501,-1.3795065419745414,0.5247532664294338,False,False,False,,,,0.03548019315737021,0.018245405126663013,1.9446097749575892,
DeepSeek-R1-Distill-Llama-70B,axis2,4,False,False,False,False,True,2025-01-20 00:00:00,-0.022660304789480536,-0.02711606201563535,0.10451790458499323,False,False,False,,,,0.03548019315737021,0.018245405126663013,1.9446097749575892,
DeepSeek-R1-Distill-Qwen-14B,axis1,2,False,False,True,False,False,2025-01-20 00:00:00,-0.8731784493588952,-0.8720443756964982,1.020317971907086,False,False,False,,,,0.06471700989152715,0.0420149385553404,1.540333322308314,
DeepSeek-R1-Distill-Qwen-14B,axis2,2,False,False,True,False,True,2025-01-20 00:00:00,-0.28978116890866296,-0.2915843851819706,0.16804287711980517,False,False,False,,,,0.06471700989152715,0.0420149385553404,1.540333322308314,
DeepSeek-R1-Distill-Qwen-32B,axis1,2,False,False,True,False,False,2025-01-20 00:00:00,-0.2866003712926253,-0.2651330059009305,0.8518238923478276,False,False,False,,,,0.030617469279144077,0.024137799018313803,1.2684449504246027,
DeepSeek-R1-Distill-Qwen-32B,axis2,2,False,False,True,False,False,2025-01-20 00:00:00,-0.9169964186312195,-0.9294373785570424,0.42372862842150344,False,False,False,,,,0.030617469279144077,0.024137799018313803,1.2684449504246027,
DeepSeek-V2,axis1,7,False,False,False,True,True,2024-05-07 00:00:00,0.3022716273751767,0.29971949309890566,0.15764872893504076,False,False,False,,,,0.031218081369948754,0.019610400833625606,1.591914496536943,
DeepSeek-V2,axis2,7,False,False,False,True,False,2024-05-07 00:00:00,-0.5824486249181976,-0.5782009662515617,0.5052960784414757,False,False,False,,,,0.031218081369948754,0.019610400833625606,1.591914496536943,
DeepSeek-V2.5,axis1,1,False,False,True,True,False,2024-09-06 00:00:00,-0.4381404505654649,-0.456817424385386,0.78451432869459,False,False,False,,,,0.01878046046106702,0.024722897942886075,0.7596383119993839,
DeepSeek-V2.5,axis2,1,False,False,True,True,False,2024-09-06 00:00:00,-0.5704277433335272,-0.5738930046435642,0.6300407612268393,False,False,False,,,,0.01878046046106702,0.024722897942886075,0.7596383119993839,
DeepSeek-V3,axis1,35,False,False,False,True,True,2024-12-26 00:00:00,0.6600916690882608,0.6567461432860101,0.12730474567977043,False,False,False,,,,0.0174730933566755,0.01185698190715389,1.4736543830039195,
DeepSeek-V3,axis2,35,False,False,False,True,True,2024-12-26 00:00:00,-0.7858463340529508,-0.7840778373378596,0.07448082410529107,False,False,False,,,,0.0174730933566755,0.01185698190715389,1.4736543830039195,
DeepSeek-V3-0324,axis1,12,False,False,False,True,True,2025-03-24 00:00:00,0.32340351281405694,0.3230902219868999,0.1936228057327191,False,False,False,,,,0.006350595973367864,0.007138049927208384,0.88968220145968,
DeepSeek-V3-0324,axis2,12,False,False,False,True,True,2025-03-24 00:00:00,-0.3487118653861373,-0.3508811531192802,0.08784791880021486,False,False,False,,,,0.006350595973367864,0.007138049927208384,0.88968220145968,
DeepSeek-V3-Base,axis1,1,False,False,True,True,False,2024-12-26 00:00:00,-0.10342429355333722,-0.13019097547754535,0.4503838651975509,False,False,False,,,,0.035280738695520494,0.026185372085906797,1.347345326229254,
DeepSeek-V3-Base,axis2,1,False,False,True,True,False,2024-12-26 00:00:00,-0.015600281034986771,-0.020662265928678127,0.9145401221140361,False,False,False,,,,0.035280738695520494,0.026185372085906797,1.347345326229254,
DeepSeek-V3.1,axis1,11,False,False,False,True,True,2025-08-21 00:00:00,0.3479543714984887,0.3367341087283328,0.32491610324617864,False,False,False,,,,0.023672573544316025,0.022562412333766366,1.0492040121475938,
DeepSeek-V3.1,axis2,11,False,False,False,True,True,2025-08-21 00:00:00,-0.19214604127689383,-0.18281176772445143,0.25486047028610076,False,False,False,,,,0.023672573544316025,0.022562412333766366,1.0492040121475938,
DeepSeek-V3.1-Terminus,axis1,2,False,False,True,True,False,2025-09-22 00:00:00,0.09108736137111981,0.09153585549153719,0.8934739416982953,False,False,False,,,,0.025630490311360728,0.023113945247771377,1.1088756175812087,
DeepSeek-V3.1-Terminus,axis2,2,False,False,True,True,False,2025-09-22 00:00:00,0.2176596544189887,0.21431521452720698,0.4619387674256789,False,False,False,,,,0.025630490311360728,0.023113945247771377,1.1088756175812087,
DeepSeek-V3.1_thinking,axis1,1,False,False,True,True,False,2025-08-21 00:00:00,-0.012812598029658919,-0.016910038772739305,0.8738170815838151,False,False,False,,,,0.010289268022315183,0.020867741143431328,0.49307052218030806,
DeepSeek-V3.1_thinking,axis2,1,False,False,True,True,False,2025-08-21 00:00:00,-0.020362221601537892,-0.017987328061777323,0.6033726026578857,False,False,False,,,,0.010289268022315183,0.020867741143431328,0.49307052218030806,
DeepSeek-V3.2-Exp,axis1,2,False,False,True,True,False,2025-09-29 00:00:00,0.5488335216064969,0.6650996192198104,0.6684080827778658,False,False,False,,,,0.037747611314151094,0.12393201285028776,0.30458321821780565,
DeepSeek-V3.2-Exp,axis2,2,False,False,True,True,False,2025-09-29 00:00:00,0.008481961019011443,-0.058211524809548026,0.5613443250372326,False,False,False,,,,0.037747611314151094,0.12393201285028776,0.30458321821780565,
DeepSeek-V3.2-Exp_thinking,axis1,6,False,False,False,True,False,2025-09-29 00:00:00,0.36000758757471535,0.3589348842278107,0.6014830192714095,False,False,False,,,,0.017499640552256692,0.037643339834971035,0.46488012564707004,
DeepSeek-V3.2-Exp_thinking,axis2,6,False,False,False,True,False,2025-09-29 00:00:00,0.05667829096792801,0.06917035833059601,0.4129702101145302,False,False,False,,,,0.017499640552256692,0.037643339834971035,0.46488012564707004,
