axis,benchmark,category,loading_median,hdi_low,hdi_high,bench_norm,axis_share
axis1,VPCT,Multimodal Understanding,5.7638986168104065,-5.929982262377877,9.511783075481285,6.6363158315301645,0.7543598638560891
axis1,ARC-AGI-2,Core AGI Progress,4.120824947841259,-1.4153731585501415,7.801571176114624,5.034224413336998,0.6700437945462301
axis1,ARC-AGI,Core AGI Progress,2.7439280014617156,-0.7929801340081605,5.514665925712648,3.2824600689974077,0.6987897403489656
axis1,Cybench,Agentic Computer Use,2.3418272733838754,-1.8977029443390871,4.905968239133107,2.4888559194908946,0.8853402467888899
axis1,Aider Polyglot,Autonomous SWE,2.197216011473354,-0.7590817259181482,4.132908932985829,2.24581840398461,0.957185778377093
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,2.1833759858062596,-4.140651579789256,7.463474419582065,3.058337086278983,0.5096668142046341
axis1,DeepSWE,Autonomous SWE,2.1520766105838485,-0.28532874919685525,4.061125481979749,2.709497673802424,0.6308671154374278
axis1,SimpleBench,General Reasoning,1.9765851513712063,-1.35417611955307,3.1891658672785197,2.1543126508598784,0.8418090559415478
axis1,CAD-Eval,Multimodal Understanding,1.8049834802068656,-1.9730492687961945,4.0914086474557365,1.930704792377421,0.8740066031175195
axis1,GSO-Bench,Autonomous SWE,1.789782938445453,-1.3427730665168658,3.887720927831797,1.8164005360281252,0.970906670141051
axis1,The Agent Company,Agentic Computer Use,1.7886708448653021,-2.3428321720353007,4.682616155817372,1.9030060304426846,0.8834470545805848
axis1,FrontierMath Tier 4 v1,High End Math Reasoning,1.7151393831343353,-0.49093297136351344,3.9102203836190808,2.129021861762688,0.6489908842115691
axis1,MATH Level 5,High End Math Reasoning,1.7056487540492058,-3.46157867272861,6.178854660114198,2.5246044749134366,0.45644926000269287
axis1,SimpleQA Verified,Domain Specific Questions,1.6914815392759186,-1.6784152029803407,3.170454622291712,1.909382813230479,0.7847810478126147
axis1,CritPt,Domain Specific Questions,1.6290751260764695,-0.4963741675005092,3.7495978404300656,2.3154425731334864,0.4950102556231553
axis1,TerminalBench,Agentic Computer Use,1.6026644375497947,-0.12391272365844151,2.8355972646164718,1.6215728746460383,0.9768148617062745
axis1,VisualToolBench,Multimodal Understanding,1.5890026479198547,-0.9457262148405554,3.1919126642318347,1.6319058973006382,0.9481106350434386
axis1,Humanity's Last Exam,Domain Specific Questions,1.544634945936639,-0.7212639459015872,2.8139049810699692,1.6834141172714197,0.8419179762338489
axis1,SWE-Bench Pro (Private),Autonomous SWE,1.5306642217037294,-0.9679158173233953,3.0186628655002554,1.6101623030875263,0.9036922386590498
