axis,tier,human_mean,human_hdi_low,human_hdi_high,crossover_date_median,crossover_hdi_low,crossover_hdi_high,p_passed_now,frac_positive_slope,status
axis1,Average Human,2.5587218985891913,2.163047132972836,2.9555122264671843,2027-05-02 17:48:08.074696579,2026-08-07 09:26:51.589038278,2027-10-24 12:51:49.285455880,0.2000625,0.998125,future
axis1,Skilled Generalist,2.904488809394615,2.451736321181067,3.3406933467270967,2027-09-22 13:20:58.745728521,2026-10-20 13:46:07.360329892,2028-03-10 16:34:38.430223677,0.12175,0.998125,future
axis1,High School Qualifier,3.300843060035746,2.8825844151800513,3.7181289303323073,2028-03-08 07:03:32.401560479,2027-03-15 15:10:07.303457772,2028-08-10 05:20:00.392896559,0.0513125,0.998125,future
axis1,Committee of Average Humans,3.5320424559908687,3.1399717267355753,3.9227303216269838,2028-06-14 18:02:59.327723126,2027-06-24 13:29:35.529826197,2028-11-21 22:03:09.394085410,0.039125,0.998125,future
axis1,Domain Expert,3.593919642252316,3.1343734809300186,4.039703177899373,2028-07-07 21:35:28.100499259,2027-08-11 13:56:33.548024719,2029-03-07 17:15:54.488413497,0.0421875,0.998125,future
axis1,Committee of Skilled Generalists,3.633116373187873,3.0483467616521556,4.246411623660402,2028-07-30 22:01:09.936011049,2027-05-30 14:38:18.461318530,2029-03-28 02:13:42.006204071,0.055875,0.998125,future
axis1,High School Top Performer,3.847247674812791,3.37923852715537,4.304688025148587,2028-10-21 23:37:13.507854962,2027-09-07 06:06:42.093191715,2029-04-18 04:48:33.359826067,0.034875,0.998125,future
axis1,Top Performer,4.033365738108246,3.5480632247453308,4.519779554337377,2029-01-09 20:02:57.454840561,2027-11-26 01:12:27.288995990,2029-08-09 07:10:12.371405424,0.0331875,0.998125,future
axis1,Committee of Domain Experts,4.115042963968447,3.5609504201981683,4.667352574949747,2029-02-12 16:53:41.242513960,2027-11-11 20:24:54.825790680,2029-09-29 15:17:04.967001539,0.035,0.998125,future
axis2,Average Human,-4.14961209490934,-4.509878290085809,-3.7580425669903885,2016-04-16 03:27:37.646551923,2014-10-30 05:21:44.597890702,2019-02-15 07:52:53.710753416,0.9501875,0.981625,passed_mean
axis2,Skilled Generalist,-3.9188881624876233,-4.267594455853237,-3.531806489550596,2016-09-01 12:19:15.376857329,2015-04-16 01:31:58.843554162,2019-05-26 06:59:01.586905800,0.94725,0.981625,passed_mean
axis2,Committee of Average Humans,-3.2519146077213663,-3.810767688036433,-2.522510194397461,2017-10-20 11:19:04.894807468,2016-04-05 01:12:10.834849889,2020-05-19 22:25:21.286727572,0.94425,0.981625,passed_mean
axis2,Committee of Skilled Generalists,-3.1148984140275697,-3.648483972113132,-2.4180361635085648,2018-01-22 10:55:12.111574575,2016-08-19 18:23:51.761113635,2020-07-08 13:45:02.187097617,0.939375,0.981625,passed_mean
