model,axis,n_obs,is_human,is_sota,is_low_obs,chained,informed,release_date,mean,median,sd,chain_split,outside_50,outside_50_central,lump_lo,lump_hi,hi_share,sum_spread,axis_spread,ridge_ratio,lump_gap
Aria,axis1,1,False,False,True,False,False,2024-09-30 00:00:00,0.2636152693789744,0.2805782829320707,0.9151293527384601,False,False,False,,,,0.007277700414101669,0.009583290226623613,0.7594156330446177,
Aria,axis2,1,False,False,True,False,False,2024-09-30 00:00:00,0.15596111760851195,0.1567285111460937,0.9801149485722492,False,False,False,,,,0.007277700414101669,0.009583290226623613,0.7594156330446177,
Aria,axis3,1,False,False,True,False,False,2024-09-30 00:00:00,0.3790532039921431,0.4153458790087349,0.8016075857618319,False,False,False,,,,0.007277700414101669,0.009583290226623613,0.7594156330446177,
Aria,axis4,1,False,False,True,False,False,2024-09-30 00:00:00,0.11719932887109506,0.12035656824452579,0.9897633157420314,False,False,False,,,,0.007277700414101669,0.009583290226623613,0.7594156330446177,
Average Human,axis1,13,True,False,False,False,False,,1.8774529620061775,1.8594242253250122,0.7452886079788541,False,False,False,,,,0.4086271650121727,0.516207918380871,0.7915941434875036,
Average Human,axis2,13,True,False,False,False,False,,2.3687930858348203,2.4575781400104,0.8073828156934826,False,False,False,,,,0.4086271650121727,0.516207918380871,0.7915941434875036,
Average Human,axis3,13,True,False,False,False,False,,-4.209223875333634,-4.209931649232969,0.518187530184139,False,False,False,,,,0.4086271650121727,0.516207918380871,0.7915941434875036,
Average Human,axis4,13,True,False,False,False,False,,0.6823205176298971,0.39156767400955056,1.5365850432439825,True,False,False,0.08160794908011544,3.0851707918290097,0.2,0.4086271650121727,0.516207918380871,0.7915941434875036,3.0035628427488943
Baichuan-13B-Base,axis1,3,False,False,True,False,False,2023-07-11 00:00:00,-0.632098548602136,-0.6421195337896564,0.6153639588161132,False,False,False,,,,0.10376322911281735,0.12972375757469712,0.7998783804352009,
Baichuan-13B-Base,axis2,3,False,False,True,False,False,2023-07-11 00:00:00,-0.1590661287372902,-0.17643730798587906,0.8902085311729542,False,False,False,,,,0.10376322911281735,0.12972375757469712,0.7998783804352009,
Baichuan-13B-Base,axis3,3,False,False,True,False,False,2023-07-11 00:00:00,-0.4841864376733476,-0.4948785988872384,0.7125558471878242,False,False,False,,,,0.10376322911281735,0.12972375757469712,0.7998783804352009,
Baichuan-13B-Base,axis4,3,False,False,True,False,False,2023-07-11 00:00:00,0.017783922188821574,0.015119636206821958,0.8196424872101439,False,False,False,,,,0.10376322911281735,0.12972375757469712,0.7998783804352009,
Baichuan-2-13B-Base,axis1,8,False,False,False,False,True,2023-09-06 00:00:00,-1.2797170126473827,-1.2800896192417361,0.3863542026884227,False,False,False,,,,0.1702968617513907,0.18524434151551672,0.9193093854212331,
