model,axis,n_obs,is_human,is_sota,is_low_obs,chained,informed,release_date,mean,median,sd,chain_split,outside_50,outside_50_central,lump_lo,lump_hi,hi_share,sum_spread,axis_spread,ridge_ratio,lump_gap
Aria,axis1,1,False,False,True,False,False,2024-09-30 00:00:00,0.23502100794614053,0.25380559852935064,0.9313347412697821,False,False,False,,,,0.014118832818548716,0.09453478098593826,0.14935066936526617,
Aria,axis2,1,False,False,True,False,False,2024-09-30 00:00:00,0.2150798678738773,0.239392547658548,0.9411438307923287,False,False,False,,,,0.014118832818548716,0.09453478098593826,0.14935066936526617,
Aria,axis3,1,False,False,True,False,False,2024-09-30 00:00:00,0.274540911745565,0.31297402428514576,0.8970319838065968,False,False,False,,,,0.014118832818548716,0.09453478098593826,0.14935066936526617,
Aria,axis4,1,False,False,True,False,False,2024-09-30 00:00:00,0.1943231530482056,0.21796504856198584,0.9510752179702959,False,False,False,,,,0.014118832818548716,0.09453478098593826,0.14935066936526617,
Average Human,axis1,13,True,False,False,False,False,,1.2991083489321376,1.8603184027352733,2.104923695162061,False,True,False,,,,0.411786284316978,2.4597057342267576,0.1674128244639104,
Average Human,axis2,13,True,False,False,False,False,,0.8706665301092119,2.0189118728400492,2.7585158795622675,True,True,False,-4.21213249539349,2.1413662864848755,0.8,0.411786284316978,2.4597057342267576,0.1674128244639104,6.353498781878366
Average Human,axis3,13,True,False,False,False,False,,-1.3988728480426662,-2.614664576354363,3.002603812538829,True,True,False,-4.212237984105018,1.414492288019655,0.5,0.411786284316978,2.4597057342267576,0.1674128244639104,5.626730272124673
Average Human,axis4,13,True,False,False,False,False,,-0.058112029414170145,0.5512831221251009,2.3862681222198807,True,False,False,-4.230617466186057,0.9850143297787992,0.8,0.411786284316978,2.4597057342267576,0.1674128244639104,5.215631795964857
Baichuan-13B-Base,axis1,3,False,False,True,False,False,2023-07-11 00:00:00,-0.48727256870874996,-0.5305411865853433,0.7251342906012582,False,False,False,,,,0.10014425473209523,0.2717283650693309,0.3685454579117776,
Baichuan-13B-Base,axis2,3,False,False,True,False,False,2023-07-11 00:00:00,-0.35221887738734914,-0.3882705790820987,0.7944648169065288,False,False,False,,,,0.10014425473209523,0.2717283650693309,0.3685454579117776,
Baichuan-13B-Base,axis3,3,False,False,True,False,False,2023-07-11 00:00:00,-0.3238571577746094,-0.3564776763431593,0.7988472808783382,False,False,False,,,,0.10014425473209523,0.2717283650693309,0.3685454579117776,
Baichuan-13B-Base,axis4,3,False,False,True,False,False,2023-07-11 00:00:00,-0.09462543627485824,-0.12291599712200721,0.8533657853474234,False,False,False,,,,0.10014425473209523,0.2717283650693309,0.3685454579117776,
Baichuan-2-13B-Base,axis1,8,False,False,False,False,False,2023-09-06 00:00:00,-0.6750616944755436,-0.9936255303189815,0.9606524267067265,False,True,False,,,,0.16789821540489305,0.7437029673849711,0.22575977610424414,
Baichuan-2-13B-Base,axis2,8,False,False,False,False,False,2023-09-06 00:00:00,0.010670390971766197,0.21866534492800901,1.0009137345584578,False,False,False,,,,0.16789821540489305,0.7437029673849711,0.22575977610424414,
Baichuan-2-13B-Base,axis3,8,False,False,False,False,False,2023-09-06 00:00:00,0.1646373809520357,0.3330213637278874,0.9102991463798153,False,False,False,,,,0.16789821540489305,0.7437029673849711,0.22575977610424414,
Baichuan-2-13B-Base,axis4,8,False,False,False,False,False,2023-09-06 00:00:00,-0.11856643978595838,-0.1359356294504121,0.8636338773479302,False,False,False,,,,0.16789821540489305,0.7437029673849711,0.22575977610424414,
Baichuan-2-7B-Base,axis1,7,False,False,False,False,False,2023-09-20 00:00:00,-0.9578083672579919,-1.3130108461505998,1.009596429278936,True,True,False,-1.6493350766897885,0.07948169688965351,0.4,0.09772713111933402,0.7216507655442255,0.13542164130545073,1.728816773579442
Baichuan-2-7B-Base,axis2,7,False,False,False,False,False,2023-09-20 00:00:00,-0.22534303952023776,-0.044704402864028374,0.9907318256384362,False,False,False,,,,0.09772713111933402,0.7216507655442255,0.13542164130545073,
Baichuan-2-7B-Base,axis3,7,False,False,False,False,False,2023-09-20 00:00:00,0.020669916780742047,0.13885308838299823,0.8749739419984851,False,False,False,,,,0.09772713111933402,0.7216507655442255,0.13542164130545073,
Baichuan-2-7B-Base,axis4,7,False,False,False,False,False,2023-09-20 00:00:00,-0.02682440155637293,0.05521343884219873,0.8436519757186978,False,False,False,,,,0.09772713111933402,0.7216507655442255,0.13542164130545073,
Baichuan-7B,axis1,4,False,False,False,False,False,2023-06-01 00:00:00,-0.9145195389401839,-0.9736082632415574,0.7641809923954856,False,False,False,,,,0.11769158453725748,0.3475417632073242,0.3386401204020168,
Baichuan-7B,axis2,4,False,False,False,False,False,2023-06-01 00:00:00,-0.6465581027877547,-0.6805247918461171,0.817446960247756,False,False,False,,,,0.11769158453725748,0.3475417632073242,0.3386401204020168,
Baichuan-7B,axis3,4,False,False,False,False,False,2023-06-01 00:00:00,-0.570169746193909,-0.5872809258893579,0.7860511518966854,False,False,False,,,,0.11769158453725748,0.3475417632073242,0.3386401204020168,
Baichuan-7B,axis4,4,False,False,False,False,False,2023-06-01 00:00:00,-0.360629448084523,-0.35044856925217416,0.7985389001014616,False,False,False,,,,0.11769158453725748,0.3475417632073242,0.3386401204020168,
