axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,ARC-AGI-2,Core AGI Progress,2.6845822713156746,1.398038038123211,3.1710272172835943
axis1,ARC-AGI,Core AGI Progress,1.8235395995482473,1.0341693429033538,2.1567159846781565
axis1,GSO-Bench,Autonomous SWE,1.821156784253775,0.1745488257673465,2.24385328012742
axis1,Cybench,Agentic Computer Use,1.6728761743489438,-0.12762667550053652,2.060666544345867
axis1,Aider Polyglot,Autonomous SWE,1.642131320623617,0.7272686253478038,1.9833168022203511
axis1,The Agent Company,Agentic Computer Use,1.475080438843754,-0.010863471099423077,1.9064553662393335
axis1,TerminalBench,Agentic Computer Use,1.3452352164726156,0.5545796654503308,1.6790400719511467
axis1,FrontierMath Tier 4,High End Math Reasoning,1.3400256043129526,0.8987692719275953,1.7330990110412248
axis1,CritPt,Domain Specific Questions,1.205856873494721,0.8170332653755827,1.5637513434705514
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,1.1715762295404115,0.46641863017404145,2.3368991793978817
axis1,APEX Agents,Core AGI Progress,1.1593261669950703,0.41520942786138587,1.4838636075155807
axis1,SWE-Bench Pro (Private),Autonomous SWE,1.1470994905024912,0.09599278397092798,1.4633861296562758
axis1,MATH Level 5,High End Math Reasoning,1.1133392784697644,0.505444963588308,2.01869784754943
axis1,CAD-Eval,Multimodal Understanding,1.103428405499975,0.4537982494966257,1.6184138367205743
axis1,VisualToolBench,Multimodal Understanding,1.0195082309684613,0.6423531869202093,1.384660442753185
axis1,Fiction.LiveBench,Advanced Language and Writing,1.0097752107091815,0.4527352800512926,1.5781482212363116
axis1,FrontierMath,High End Math Reasoning,0.952836622113935,0.5510213522473116,1.3727951929000286
axis1,EnigmaEval,General Reasoning,0.9513763393923618,0.6212538642866883,1.2614537427600794
axis1,PostTrainBench,Autonomous SWE,0.9369364222420558,0.19212557307928418,1.1877345638736105
axis1,Remote Labor Index,Core AGI Progress,0.8831023954858466,-0.1904552258931689,1.5069158854531022
axis1,SWE-Bench Pro,Autonomous SWE,0.8596029040994524,0.02098393188466323,1.1273146009870547
axis1,MultiNRC,Advanced Language and Writing,0.8559485642069468,0.5916064562174882,1.083953447967199
axis1,Humanity's Last Exam,Domain Specific Questions,0.8104990712702771,0.5143516789965333,1.0622930986541526
axis1,MCP Atlas,Agentic Computer Use,0.7932470412579733,0.16973726841149198,1.113324968452317
axis1,CursorBench,Autonomous SWE,0.7833901531778471,0.4494145511821109,1.054671111458066
