axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,ARC-AGI-2,Core AGI Progress,3.1851751313109897,2.6579998559655156,3.705001984164351
axis1,ARC-AGI,Core AGI Progress,2.0795048270780403,1.7355775656898909,2.4160568672015343
axis1,GSO-Bench,Autonomous SWE,1.7281794844960667,0.18179991544531396,2.1127539201769596
axis1,Cybench,Agentic Computer Use,1.6965035632434153,0.28413392656643366,2.0961398424251025
axis1,FrontierMath Tier 4,High End Math Reasoning,1.5634566793970754,1.0513285177302512,1.912065685127172
axis1,Aider Polyglot,Autonomous SWE,1.5331236798797412,0.6637865140480969,1.8513097883548697
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,1.3590833362459493,0.9939493424335495,2.6536511740655873
axis1,TerminalBench,Agentic Computer Use,1.3421810029918153,0.6219974414473869,1.6326880765128569
axis1,The Agent Company,Agentic Computer Use,1.3160060269006268,0.5518254546998852,1.7883182474550783
axis1,SWE-Bench Pro (Private),Autonomous SWE,1.267314439700168,0.3353644841195402,1.5886538844403975
axis1,CritPt,Domain Specific Questions,1.2215039626079176,0.9055184368385466,1.6291790389040168
axis1,CAD-Eval,Multimodal Understanding,1.2135405633224705,0.4522841764570847,1.680076622974701
axis1,MATH Level 5,High End Math Reasoning,1.1971888109370628,0.9127174782938757,2.1191337953125386
axis1,Remote Labor Index,Core AGI Progress,1.0612157395269493,0.13550668631708482,1.5104823294859948
axis1,APEX Agents,Core AGI Progress,1.039753435090979,0.6949699610378595,1.324812609617492
axis1,FrontierMath,High End Math Reasoning,1.0275802472267355,0.7830977507675966,1.3136234291463564
axis1,VisualToolBench,Multimodal Understanding,0.9136162762689802,0.5721146359519111,1.2184843224890827
axis1,CursorBench,Autonomous SWE,0.8734899635543534,0.5863968070095007,1.122952675779313
axis1,MCP Atlas,Agentic Computer Use,0.8656211056876734,0.49501926393075624,1.1869606780056503
axis1,PostTrainBench,Autonomous SWE,0.8307039860348795,0.15855866076890185,1.1165710623772793
axis1,OS World (Screenshot),Agentic Computer Use,0.7693024794643759,0.1490038493797106,1.3154457330423335
axis1,SWE-Bench Pro,Autonomous SWE,0.7632020359850782,0.15084619669752403,1.1049628945275658
axis1,WeirdML,Autonomous SWE,0.7625359050538272,0.5500370267037229,0.8960635945720585
axis1,Humanity's Last Exam,Domain Specific Questions,0.7592346998076274,0.5740130004969815,1.0761178802831106
axis1,ExploitBench,Agentic Computer Use,0.7433200324575613,-0.0031423738694198915,1.468620256189852
axis1,SWE-Bench Verified,Autonomous SWE,0.7374021867073081,0.2024267194527189,0.931141869456234
axis1,OS World 2,Agentic Computer Use,0.7221508010476352,-0.011778243892384754,1.59082107444902
axis1,SimpleBench,General Reasoning,0.708540380720891,0.4508724518524477,0.8545868616196557
axis1,EnigmaEval,General Reasoning,0.7009584021874888,0.4065586102503751,0.9786689989588016
axis1,Fiction.LiveBench,Advanced Language and Writing,0.7009083322737274,0.12359019773708635,1.2952005686498975
axis1,MultiNRC,Advanced Language and Writing,0.6766575969972382,0.451413897130999,0.874432045587756
axis1,METR Time Horizons,Autonomous SWE,0.6664960825134943,0.2606856522724062,0.7935498587048885
axis1,BioLP-bench,Biology,0.664873803271022,0.4032053009789482,1.070478975169292
axis1,Chess Puzzles,General Reasoning,0.6607734854067124,0.3566035566273152,1.583913374298179
axis1,FrontierCode,Autonomous SWE,0.588909517742357,-0.015289601639983401,1.3306426337945905
axis1,LiveBench,Core AGI Progress,0.5426239642443449,0.37972988832639476,0.742651223222078
axis1,GPQA Diamond,Domain Specific Questions,0.5347258017932605,0.4122587564109012,0.8773834863103414
axis1,GPQA Diamond Chemistry,Chemistry,0.48372624622304927,0.32495564796792153,0.8012074814108929
axis1,GPQA Main Chemistry,Chemistry,0.48032827009915435,0.3517227892734926,0.8552880117956411
axis1,MMLU Pro Chemistry,Chemistry,0.41754752490997793,0.12438587520415771,1.064317246622201
axis1,LAB-Bench SeqQA,Biology,0.4155158477837807,0.2910480800671959,0.570452967736552
axis1,MMLU Chemistry,Chemistry,0.38603555724847183,0.2785663101314907,0.6552598339829402
axis1,SciCode,Autonomous SWE,0.37770714371480985,0.28218097151166394,0.45915142396696473
axis1,BALROG,General Reasoning,0.3706102303123753,0.1656484958113235,0.5382890141864094
axis1,GPQA Main Biology,Biology,0.34027655852143857,0.15911012689212603,0.6252554685505597
axis1,HellaSwag,General Reasoning,0.33422725602188913,0.23461189647101618,0.4577225319519608
axis1,SEAL Tool Use (Enterprise),Agentic Computer Use,0.3312907375772307,0.04234300395251691,0.6315454608958818
axis1,CL-Bench Life,Domain Specific Questions,0.30149562772864824,0.014499852986469471,0.6536054624353294
axis1,TriviaQA,Domain Specific Questions,0.28901759781094355,0.13616576526090687,0.4285669936440584
axis1,SimpleQA Verified,Domain Specific Questions,0.28388007954105887,-0.024336133920542184,0.8313088754932257
axis1,CL-Bench,Domain Specific Questions,0.28244539365709176,0.08300023766745285,0.5051147912121106
axis1,PRBench Finance,Domain Specific Questions,0.2712903130356881,0.06558580484239342,0.39193656828661105
axis1,GPQA Diamond Biology,Biology,0.2677538820114306,0.08046821536151076,0.6121045430140157
axis1,MultiChallenge,Advanced Language and Writing,0.2664014287377987,0.03690179122835784,0.49734995689475836
axis1,CSQA2,General Reasoning,0.2639296655564416,0.10910452234950281,0.47963414725397796
axis1,DeepResearchBench,Agentic Computer Use,0.26239206485660066,0.051310119940159805,0.43130974517508885
axis1,LAMBADA,General Reasoning,0.26184906983797407,0.14207018286446682,0.3991687490395177
axis1,PRBench Legal,Domain Specific Questions,0.2544905276309781,0.08573431585682555,0.36217047596235113
axis1,LAB-Bench Cloning,Biology,0.252171424937632,0.0697895682342627,0.4886733893284606
axis1,LAB-Bench Protocol,Biology,0.24398885779581464,0.11873641675853909,0.42487804817940406
axis1,SEAL Instruction Following,Advanced Language and Writing,0.24097594874923556,-0.0040754381830006075,0.5481735571770858
axis1,Visual Task Assessment (VISTA),Multimodal Understanding,0.2212277005489911,0.12591009526413882,0.3392008065063485
axis1,Lech Mazur Writing,Advanced Language and Writing,0.21830983618869515,0.012602675182790157,0.4000792523172044
axis1,LAB-Bench LitQA2,Biology,0.21594219023570682,0.12759196401035322,0.30561828579935035
axis1,AudioMultiChallenge,Multimodal Understanding,0.19942821533847455,-0.03593334973142992,0.6346098970236964
axis1,WinoGrande,General Reasoning,0.19637926084106233,0.13142286019897573,0.28462574285563025
axis1,TutorBench,Advanced Language and Writing,0.19092020211234426,0.07938073771357312,0.3056502824974754
axis1,MMLU Biology,Biology,0.18996142775880692,0.0863079872241647,0.3064878504282262
axis1,VPCT,Multimodal Understanding,0.18231172920080946,-0.05303335906539837,0.6172760632698363
axis1,MMLU Pro Biology,Biology,0.16801829888462894,-0.06036585407068678,0.5456924474805606
axis1,SuperGLUE,General Reasoning,0.15421076785126345,-0.039799595097875055,0.5662317777200373
axis1,BoolQ,General Reasoning,0.1155272488888115,0.03296606894411311,0.3828972989080467
axis1,PIQA,General Reasoning,0.10961445791298226,0.06815562506209415,0.20021900305577897
axis1,Adversarial NLI,General Reasoning,0.10855343242851562,-0.0052438790526858755,0.649826491690182
axis1,GeoBench,Multimodal Understanding,0.09061538619385037,-0.05693383147890412,0.4284665477367676
axis1,WMDP Chemistry,Chemistry,0.05875019467147346,-0.041515446615310134,0.5785729544528385
