axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,ARC-AGI-2,Core AGI Progress,4.7959073333503515,1.781678241678785,6.21873708978781
axis1,ARC-AGI,Core AGI Progress,3.3241293111599726,1.5635619413187425,4.474779935358589
axis1,DeepSWE,Autonomous SWE,2.371437516590311,1.301628436828439,3.3655496053758336
axis1,Aider Polyglot,Autonomous SWE,2.2967314336137195,0.483890215701667,3.015677644490772
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,2.2594105521178505,1.0746947848828041,4.28938763472974
axis1,FrontierMath Tier 4,High End Math Reasoning,2.2541930732681283,0.20328461349175017,4.417334019763375
axis1,FrontierMath Tier 4 v1,High End Math Reasoning,2.1378829198243103,1.050578049442499,2.9343567754410156
axis1,Cybench,Agentic Computer Use,2.037997378715203,0.04874014753872614,3.4897535638972617
axis1,GSO-Bench,Autonomous SWE,1.980624708639455,-0.49181765441476766,3.300957234671878
axis1,CAD-Eval,Multimodal Understanding,1.9528483399362997,-0.17842576007112357,2.9294379973222817
axis1,CritPt,Domain Specific Questions,1.931856732749877,1.3329975576280124,2.7665390450206457
axis1,The Agent Company,Agentic Computer Use,1.8644630522915189,0.1341068799861166,2.932892229695163
axis1,TerminalBench,Agentic Computer Use,1.846434809279438,0.5076519939589578,2.652333732848205
axis1,MATH Level 5,High End Math Reasoning,1.7701565424066308,1.0037512381943718,3.131128012058009
axis1,FrontierMath v1,High End Math Reasoning,1.7168388329501991,1.147711903020954,2.3121690064089115
axis1,SWE-Bench Pro (Private),Autonomous SWE,1.6937772713304482,-0.2321696159839215,2.620379219595653
axis1,APEX Agents,Core AGI Progress,1.6388793808442832,0.7892614660274683,2.510694991908245
axis1,SimpleBench,General Reasoning,1.501349084932901,0.1073953010768821,2.2989596127450467
axis1,MCP Atlas,Agentic Computer Use,1.481202937036618,-0.13396682976613355,2.5475042059270807
axis1,Humanity's Last Exam,Domain Specific Questions,1.4717778590549615,0.7054540811016592,2.1063459953015418
axis1,FrontierMath,High End Math Reasoning,1.4658068102287691,0.31353284211625976,3.145508754454601
axis1,Surface Evolver Bench,Autonomous SWE,1.4523085587586162,-0.42186876838866616,3.17173111092352
axis1,Fiction.LiveBench,Advanced Language and Writing,1.434668062822397,0.023743469619740182,2.694802348439506
axis1,GDPval,Core AGI Progress,1.426528498061289,-0.4178766499237257,2.430748360308044
axis1,VisualToolBench,Multimodal Understanding,1.3939970003547404,0.6288000476395625,2.1877436810551196
axis1,GPQA Diamond Chemistry,Chemistry,1.3653897341500818,0.37345776132313785,2.5586933201639215
axis1,GPQA Main Chemistry,Chemistry,1.2505630291781926,0.06524397821201612,2.514515963849592
axis1,CursorBench,Autonomous SWE,1.1911988173822095,0.440455076338004,1.6669412830007213
axis1,EnigmaEval,General Reasoning,1.1850663602215277,0.5157241562862268,2.224228890127666
axis1,SWE-Bench Verified,Autonomous SWE,1.1229597303938084,-0.13609086774886833,1.5599414295658227
axis1,Remote Labor Index,Core AGI Progress,1.1003668934557322,-0.6332349079511691,2.539256999591585
axis1,Chess Puzzles,General Reasoning,1.0710694646889563,0.33261672661842046,3.1654026014209817
axis1,GPQA Diamond,Domain Specific Questions,1.054121216752261,0.45091631523547854,1.9348422211345213
axis1,WeirdML,Autonomous SWE,1.0289798166590303,0.6022613358770829,1.4191859650137095
axis1,MultiNRC,Advanced Language and Writing,1.026365175016112,0.5401793562561431,1.7093565079791877
axis1,PostTrainBench,Autonomous SWE,1.0083537469521384,-0.11599379914005152,1.7870381056691413
axis1,SimpleQA Verified,Domain Specific Questions,0.996860129142221,-0.0638032347320997,2.103918332154896
axis1,BioLP-bench,Biology,0.968939357773613,-0.028565924634439865,2.067215904697473
axis1,METR Time Horizons,Autonomous SWE,0.9689326140265537,0.1732852826417782,1.2582366944240255
axis1,ProofBench,High End Math Reasoning,0.9535716125456682,-0.5007138552989553,3.4572379142238105
axis1,ExploitBench,Agentic Computer Use,0.9036981237003041,-0.5282400106718553,2.332365788844773
axis1,GDP.pdf,Core AGI Progress,0.8992963360953652,-0.2918209518179433,1.7304534956467057
axis1,SWE-Bench Pro,Autonomous SWE,0.8974908279760738,-0.39907976184692695,1.905155997673019
axis1,BlueprintBench 2,Multimodal Understanding,0.855381035561667,-0.7725843944697738,3.3331982335645325
axis1,LiveBench,Core AGI Progress,0.7945771757654967,0.1542669332762556,1.1852563880222573
axis1,LAB-Bench SeqQA,Biology,0.7938975415858158,0.3810547157497046,1.1981986916784748
axis1,OS World 2,Agentic Computer Use,0.6677521138031338,-0.6637038993220834,2.7706307447767067
axis1,EBR-bench,Agentic Computer Use,0.6473324200114132,-0.6761196487183416,2.183851273875319
axis1,MMLU Chemistry,Chemistry,0.6290380027911993,0.1612096270071917,0.9831352918544024
axis1,SciCode,Autonomous SWE,0.5585814933330401,0.29220841694581223,0.7324769803078028
axis1,FrontierCode,Autonomous SWE,0.542713983819419,-0.38743682954213216,1.5682660005478557
axis1,OS World (Screenshot),Agentic Computer Use,0.5409124297100658,-0.8478131785898736,1.979415220205997
axis1,MultiChallenge,Advanced Language and Writing,0.5389435115419222,-0.08587876918933061,1.1348210054538395
axis1,GPQA Main Biology,Biology,0.5281972471754013,-0.12735894648139207,1.52711008847882
axis1,GPQA Diamond Biology,Biology,0.4683066860379803,-0.1778893752802863,1.283461886376046
axis1,Visual Task Assessment (VISTA),Multimodal Understanding,0.46256177465346615,-0.018539126894768648,0.7876427239103374
axis1,SEAL Tool Use (Enterprise),Agentic Computer Use,0.4595741872936103,-0.17954398126776833,1.016696379471341
axis1,BALROG,General Reasoning,0.44841806623486125,-0.19978608743940154,1.0439734119481805
axis1,PRBench Legal,Domain Specific Questions,0.43066332546709996,0.08011232536077934,0.6785192552300744
axis1,PRBench Finance,Domain Specific Questions,0.4264640055330291,0.03468567217236302,0.7200798077088018
axis1,CL-Bench Life,Domain Specific Questions,0.4249800807249494,-0.19034158609276464,1.275666491624618
axis1,SpatialViz-Bench,Multimodal Understanding,0.42270263425382715,-0.5220105247878322,1.7572680050103586
axis1,LAB-Bench LitQA2,Biology,0.3940706969196053,0.06414620069306229,0.659867266773597
axis1,DeepResearchBench,Agentic Computer Use,0.38715824030568835,-0.09962873374016602,0.8102649079571063
axis1,CL-Bench,Domain Specific Questions,0.38359339120420144,-0.07690387699370001,0.9062323587539052
axis1,TutorBench,Advanced Language and Writing,0.37665396316703936,0.08266912735236621,0.70501465575387
axis1,MindCube,Multimodal Understanding,0.36212180105843594,-0.6026230151439552,2.146590426149021
axis1,MMLU Pro Chemistry,Chemistry,0.35066038938393296,-0.499702854322745,2.0247387121701426
axis1,SEAL Instruction Following,Advanced Language and Writing,0.2602081151956087,-0.25642134200064537,0.9334514238124936
axis1,AudioMultiChallenge,Multimodal Understanding,0.259892083316532,-0.3860607805678034,1.223172058718001
axis1,LAMBADA,General Reasoning,0.25861159388956667,-0.0548429124736468,0.4737083689895813
axis1,MMLU Biology,Biology,0.23754294319578523,-0.05926011693929483,0.49573248710536766
axis1,GeoBench,Multimodal Understanding,0.20765887044106163,-0.4429419200843779,0.7576248550635312
axis1,TriviaQA,Domain Specific Questions,0.19789481537844159,-0.07473289703774187,0.44914655695042827
axis1,ForecastBench,General Reasoning,0.18795103117400844,-0.10161752474015295,0.47051282135112815
axis1,MMLU Pro Biology,Biology,0.18342583930916573,-0.5840826398864417,1.173342770563699
axis1,AlgoTune,Autonomous SWE,0.15333673497524897,-0.22813188007882784,0.7899686944332707
axis1,LAB-Bench Protocol,Biology,0.14199403013827203,-0.39408521072726627,1.0112454390117465
axis1,Lech Mazur Writing,Advanced Language and Writing,0.13972169468349266,-0.3575614771606893,0.7545053591459461
axis1,HellaSwag,General Reasoning,0.11547726214088443,-0.4896285348440948,0.40108288411474136
