axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,2.823778614512361,2.4810383041404975,3.2091955738314253
axis1,FrontierMath Tier 4,High End Math Reasoning,2.745368081282723,2.2758531845198475,3.2750039216120514
axis1,MATH Level 5,High End Math Reasoning,2.7391636270709006,2.405488483237008,3.111077124215653
axis1,Aider Polyglot,Autonomous SWE,2.3448980769032626,1.9472058064016053,2.787253628661034
axis1,Cybench,Agentic Computer Use,2.3249795418179455,1.8048465813927856,2.8457222210764073
axis1,GSM8K,Domain Specific Questions,2.300250746543674,1.9783184977311457,2.6491240344650926
axis1,TerminalBench,Agentic Computer Use,2.170879511789704,1.8217260123101622,2.564711361946705
axis1,FrontierMath,High End Math Reasoning,2.1493925130509535,1.841047386401097,2.4948841100937726
axis1,CritPt,Domain Specific Questions,2.113969158507392,1.6638365892920506,2.5990441435827045
axis1,GSO-Bench,Autonomous SWE,2.029668907767997,1.6061828794636994,2.484580840883524
axis1,Fiction.LiveBench,Advanced Language and Writing,1.9954526130589052,1.0729333812292277,2.9065145920729094
axis1,VisualToolBench,Multimodal Understanding,1.95969692277456,1.52732811810492,2.403737531590338
axis1,APEX Agents,Core AGI Progress,1.9117461760324748,1.5489974743466692,2.3069283437123405
axis1,The Agent Company,Agentic Computer Use,1.8781320811780007,1.2727419528413109,2.5045833872254217
axis1,BioLP-bench,Biology,1.854708748880664,1.466744114391371,2.2533466373726383
axis1,MMLU Pro Chemistry,Chemistry,1.722119020657958,1.4747308102646017,1.9960399954876507
axis1,EnigmaEval,General Reasoning,1.6819806369391683,1.3529786081977435,2.02954901642741
axis1,MultiNRC,Advanced Language and Writing,1.5904972211705415,1.334502592224291,1.879368274260801
axis1,Humanity's Last Exam,Domain Specific Questions,1.5730420490174692,1.3299541450816414,1.8428874563100102
axis1,ExploitBench,Agentic Computer Use,1.4833838681818508,0.7930874957681134,2.0815973727017942
axis1,SWE-Bench Pro (Private),Autonomous SWE,1.4785182034238864,0.9360784190843637,2.031934186915972
axis1,FrontierCode,Autonomous SWE,1.4575711902346113,0.6336113285772184,2.1416570804031108
axis1,CAD-Eval,Multimodal Understanding,1.3834673114553344,0.8614908128864281,1.9378118522328946
axis1,GPQA Diamond,Domain Specific Questions,1.354298360924929,1.2171206052374133,1.508719719142825
axis1,LiveBench,Core AGI Progress,1.3499332374308333,1.147333000560024,1.5654086802376777
axis1,PostTrainBench,Autonomous SWE,1.3176741179732905,0.9767756354770137,1.6697222250861232
axis1,Chess Puzzles,General Reasoning,1.2767462479209217,0.8328010522083203,1.74711272152458
axis1,WeirdML,Autonomous SWE,1.2544433087099744,1.1035983744568847,1.4231299124477184
axis1,OS World 2,Agentic Computer Use,1.2529976949458792,0.18471832979922082,2.2163714774445555
axis1,BIG-Bench Hard (BBH),Domain Specific Questions,1.2185779844459845,1.0500061899434487,1.402213773231384
axis1,SimpleQA Verified,Domain Specific Questions,1.2045484244624567,0.8302773215010505,1.6044191354977655
axis1,CursorBench,Autonomous SWE,1.203273481478368,0.8554289333112348,1.593751837154795
axis1,MMLU Pro Biology,Biology,1.1630005839324664,0.9299482257683205,1.4238312380226759
axis1,MCP Atlas,Agentic Computer Use,1.1458457321079956,0.764273736891647,1.5332627320373113
axis1,SWE-Bench Pro,Autonomous SWE,1.1429780857307215,0.7985981221203653,1.5179171688655828
axis1,ARC (AI2),Domain Specific Questions,1.1142636861324475,0.8982333760224238,1.3552163884817128
axis1,GPQA Diamond Chemistry,Chemistry,1.0860902111174835,0.8849033950511337,1.3075690582572463
axis1,MMLU,Domain Specific Questions,1.041285482361082,0.9262788752907692,1.1697134442909596
axis1,GPQA Main Chemistry,Chemistry,1.0209974228247214,0.855386174436312,1.2085828682386268
axis1,SEAL Tool Use (Enterprise),Agentic Computer Use,0.9853595354005951,0.7540743222660377,1.2473672665904034
axis1,SuperGLUE,General Reasoning,0.9285388071708782,0.3356385858500129,1.5824488001328783
axis1,METR Time Horizons,Autonomous SWE,0.9204957815637402,0.8094550743794101,1.0469330726130575
axis1,LAB-Bench Cloning,Biology,0.9195276792558202,0.6868989962953395,1.1760748777873309
axis1,LAB-Bench Protocol,Biology,0.9184020233154105,0.7547588694113889,1.102249941660222
axis1,CSQA2,General Reasoning,0.9158285522295558,0.158212055449323,1.9672487473066755
axis1,SWE-Bench Verified,Autonomous SWE,0.911903555831139,0.684183766723981,1.1599567862584699
axis1,Adversarial NLI,General Reasoning,0.908213186995988,0.11383851525709378,1.8644783888151266
axis1,LAB-Bench SeqQA,Biology,0.8830498346780364,0.7237364669284144,1.056549888206109
axis1,GPQA Main Biology,Biology,0.869669714304113,0.6129000730674873,1.1498508855139555
