axis,tier,human_mean,human_hdi_low,human_hdi_high,crossover_date_median,crossover_hdi_low,crossover_hdi_high,p_passed_now,frac_positive_slope,status
axis1,High School Qualifier,0.3543726523741453,-1.2759033064695144,1.8588729837814753,2025-02-16 15:24:04.807574703,2017-01-17 02:22:46.069044087,2027-02-18 18:26:41.502976166,0.9731,0.8351625,passed_mean
axis1,High School Top Performer,1.0424852233328412,-0.7231011877783471,2.826045160222037,2025-08-20 04:20:44.492450277,2019-05-20 13:40:26.930391896,2028-09-03 02:36:22.451257811,0.8725875,0.8351625,passed_mean
axis1,Average Human,3.4959763456782698,2.7426541138701084,5.083983588089458,2027-08-02 10:11:54.163760749,2021-11-29 16:48:23.649395428,2040-10-03 12:40:19.041285014,0.0550125,0.8351625,future
axis1,Skilled Generalist,3.7441598701768615,2.91795359332538,5.497872107939384,2027-10-06 11:05:13.132728628,2020-12-19 20:52:25.264236964,2041-05-20 19:02:29.522478701,0.0531125,0.8351625,future
axis1,Committee of Average Humans,3.952939980562272,3.028885808954248,5.78201470353771,2027-11-25 17:49:44.514923430,2020-11-03 16:27:13.148240495,2042-01-06 16:13:03.302516288,0.0522625,0.8351625,future
axis1,Committee of Skilled Generalists,4.460372263022693,3.1443836310436875,6.99213260040917,2028-04-04 23:35:52.352352873,2021-04-21 21:15:39.852776764,2045-07-16 22:53:06.356429041,0.051975,0.8351625,future
axis1,Domain Expert,4.877215679305862,3.647713083640693,7.07617593276662,2028-07-26 02:45:19.024870141,2020-07-07 20:34:59.885437307,2047-07-20 00:48:06.562156331,0.051775,0.8351625,future
axis1,Committee of Domain Experts,5.057000399015443,3.8245410350855886,7.37745178355884,2028-09-10 15:07:55.812165012,2020-11-19 13:01:03.112503061,2048-11-15 23:27:02.963255423,0.05175,0.8351625,future
axis1,Top Performer,5.187062909898587,3.8748042834706156,7.631455548686489,2028-10-14 23:55:33.483863619,2020-12-19 02:14:56.256466994,2049-08-03 01:30:25.757586662,0.05175,0.8351625,future
axis2,Average Human,-3.629425808042113,-5.3677463710470965,-2.9208674023599315,2016-06-16 10:17:52.326211704,1937-10-07 22:11:40.758250935,2029-12-12 09:57:00.230016755,0.9463875,0.6894125,passed_mean
axis2,Skilled Generalist,-3.464153157021592,-5.176062883994622,-2.770343350456829,2016-09-09 07:51:55.548650453,1940-08-22 07:32:16.926536461,2030-11-15 07:41:15.617733898,0.9460875,0.6894125,passed_mean
axis2,Committee of Average Humans,-2.9321428871016133,-5.051681836904379,-1.5701056797306223,2017-08-05 19:31:59.278088913,1948-08-14 14:23:15.539389968,2030-09-27 02:52:28.559619287,0.9462875,0.6894125,passed_mean
axis2,Committee of Skilled Generalists,-2.7168028342091683,-4.93412003898834,-0.9469683406857063,2017-12-02 08:40:46.217284472,1951-02-01 20:54:19.618924678,2031-08-01 09:42:21.743136576,0.94605,0.6894125,passed_mean
axis2,Domain Expert,-2.5668843655533897,-4.435237677782469,-1.7829742531120665,2018-02-01 21:18:56.986260963,1952-11-28 00:07:43.610959120,2031-01-26 09:20:26.316962381,0.9460625,0.6894125,passed_mean
axis2,Committee of Domain Experts,-2.378654783245286,-4.353827372071529,-1.5735375591211485,2018-05-22 11:03:07.397568357,1955-08-09 05:17:01.264173438,2031-06-01 17:23:07.956353152,0.9460625,0.6894125,passed_mean
axis2,Top Performer,-2.3327229339193694,-4.31546010921766,-1.3624539272257459,2018-06-19 13:38:49.988646525,1956-07-21 16:59:36.379518320,2032-02-05 10:15:05.383168560,0.94605,0.6894125,passed_mean
axis2,High School Qualifier,0.5243012787076451,-0.5673166571573395,1.614211313786379,2023-11-12 06:52:06.098163139,2006-06-28 17:24:17.537658096,2027-04-26 05:39:14.217938755,0.9543375,0.6894125,passed_mean
axis2,High School Top Performer,1.100347368936008,-0.14031857323477528,2.331536997385613,2024-10-18 19:44:54.443160718,2011-06-18 19:21:58.908891211,2029-08-15 18:07:36.102289955,0.839125,0.6894125,passed_mean
axis3,High School Qualifier,0.04220516174104047,-1.8104215230941574,1.927560463199175,2022-12-02 11:18:09.835729773,2007-07-23 01:38:26.204875863,2027-08-19 06:48:05.661241344,0.9697875,0.8643625,passed_mean
axis3,High School Top Performer,0.8369816232881493,-1.3627034065865904,2.980900193229262,2023-12-05 00:58:37.831987165,2011-06-20 04:38:08.244271682,2030-08-10 15:43:35.788799305,0.8876875,0.8643625,passed_mean
axis3,Average Human,1.407559507161203,0.7996463862467682,2.0743010650176457,2024-09-01 01:06:35.419919705,2021-03-30 04:34:34.897455177,2026-11-05 02:30:02.111849317,0.88535,0.8643625,passed_mean
axis3,Committee of Average Humans,1.624650390547936,0.9319720393504473,2.384996533731654,2024-12-03 21:05:43.560388982,2021-10-26 21:16:38.206261361,2027-12-09 16:58:39.631313971,0.838775,0.8643625,passed_mean
axis3,Skilled Generalist,2.7876116912823083,1.8550761728780725,3.787205222576465,2026-06-11 13:22:14.871822787,2024-06-03 23:41:29.566762054,2037-04-28 06:08:20.098023743,0.4658,0.8643625,passed_mean
axis3,Domain Expert,3.1948192942215456,2.1967301209732373,4.2507350223325835,2026-12-24 02:29:05.890209959,2024-11-11 18:17:59.791358722,2041-01-19 22:29:32.715493405,0.3326375,0.8643625,future
axis3,Committee of Skilled Generalists,3.3865296337363704,2.2080923839834825,4.631434476927849,2027-03-25 15:57:42.992668595,2024-11-08 05:41:38.724885245,2043-01-17 20:51:22.811584141,0.28255,0.8643625,future
axis3,Top Performer,3.535202816851619,2.3947366171937428,4.763068202957573,2027-06-02 10:13:14.894835479,2025-01-15 20:53:29.596850609,2044-07-24 03:34:41.762622581,0.241175,0.8643625,future
axis3,Committee of Domain Experts,3.7302567610788375,2.481867038938871,5.1205322762423355,2027-09-03 03:16:59.857460152,2025-01-02 14:52:11.988061901,2046-07-21 16:01:36.501152643,0.2023875,0.8643625,future
