axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,ARC-AGI-2,Core AGI Progress,3.2483013719763862,2.0366404198319574,3.817253059646291
axis1,VPCT,Multimodal Understanding,3.036057120167431,1.1098117153970557,4.466458820008696
axis1,ARC-AGI,Core AGI Progress,2.238034060054786,1.5692602743184,2.7272776599976867
axis1,FrontierMath Tier 4,High End Math Reasoning,1.8540790824009075,1.2161781026704508,3.0327876706242494
axis1,Aider Polyglot,Autonomous SWE,1.8487020423434388,0.8687351024047348,2.2019369959892963
axis1,FrontierMath Tier 4 v1,High End Math Reasoning,1.6729137216085737,1.3190848883620179,2.0238351510638926
axis1,DeepSWE,Autonomous SWE,1.6418084718531651,1.1500313710946732,2.1977475713988683
axis1,GSO-Bench,Autonomous SWE,1.578819982795633,0.21476628187330982,2.1888272896386756
axis1,Cybench,Agentic Computer Use,1.562568999766131,0.43023766915699857,2.1445798424786098
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,1.5539190066854365,1.0447513691854193,2.819398445202412
axis1,CritPt,Domain Specific Questions,1.4865143100628293,1.1092761591279838,1.975611589953046
axis1,TerminalBench,Agentic Computer Use,1.4147583264044883,0.7389432041021557,1.7762696177096309
axis1,CAD-Eval,Multimodal Understanding,1.3533764297033744,0.35705519067036356,1.8022747383661695
axis1,The Agent Company,Agentic Computer Use,1.3313553187605756,0.5363431006756818,1.8675478247988593
axis1,FrontierMath v1,High End Math Reasoning,1.299966676320219,1.037788834328096,1.6238898930386165
axis1,APEX Agents,Core AGI Progress,1.2850405150832667,0.8604883943431785,1.775528491375679
axis1,MATH Level 5,High End Math Reasoning,1.2510063111710807,0.9158197646897109,2.0559720554436187
axis1,SWE-Bench Pro (Private),Autonomous SWE,1.2432512559282258,0.32871768580178856,1.6731860566331498
axis1,FrontierMath,High End Math Reasoning,1.2257507044367406,0.9165553042341442,2.1474935198351455
axis1,Fiction.LiveBench,Advanced Language and Writing,1.2002473153044755,0.43535545223612326,1.8861533318955224
axis1,ProofBench,High End Math Reasoning,1.19833597892413,0.4062083184137825,2.1166433574989187
axis1,Surface Evolver Bench,Autonomous SWE,1.1880624386537546,0.27887977815174353,1.979773406944498
axis1,SimpleBench,General Reasoning,1.1870184639138412,0.5804735560256342,1.4277255141734153
axis1,VisualToolBench,Multimodal Understanding,1.1547097036908451,0.7961744158977078,1.5482418093166002
axis1,GPQA Diamond Chemistry,Chemistry,1.1287842542877624,0.7580784919704138,1.8470532075787902
axis1,GDPval,Core AGI Progress,1.0577483818971376,0.11844958836361572,1.5515000016752198
axis1,GPQA Main Chemistry,Chemistry,1.049495252294124,0.6928965800191305,1.8150428325515893
axis1,Humanity's Last Exam,Domain Specific Questions,1.0483056803472042,0.712139004811476,1.3876576509229646
axis1,EnigmaEval,General Reasoning,1.0350565549692028,0.6200118032990064,1.5840850908760487
axis1,MCP Atlas,Agentic Computer Use,1.0026749784862963,0.258506696022213,1.3591634520452196
axis1,BlueprintBench 2,Multimodal Understanding,0.9753531167407778,0.06235427368451075,2.1108568152060947
axis1,MultiNRC,Advanced Language and Writing,0.9308686007616782,0.658322140679334,1.2388048198274197
axis1,Chess Puzzles,General Reasoning,0.8867246797953323,0.4894243490538138,1.8959648183395652
axis1,CursorBench,Autonomous SWE,0.8855895192233889,0.5899624226974131,1.1658488770591746
axis1,ExploitBench,Agentic Computer Use,0.8768531553526663,0.07806207574178053,1.5422468850007345
axis1,PostTrainBench,Autonomous SWE,0.8678501516657553,0.24453086442208166,1.2184633569021635
axis1,BioLP-bench,Biology,0.8343060564787548,0.49499048384772065,1.4398459396643961
axis1,GPQA Diamond,Domain Specific Questions,0.8279537277673608,0.6001557168068975,1.394858928522807
axis1,OS World 2,Agentic Computer Use,0.8153676232314788,0.037951725998501724,1.7718856437593826
axis1,SimpleQA Verified,Domain Specific Questions,0.8143423086726179,0.4029876997960373,1.3762794970840282
axis1,SWE-Bench Pro,Autonomous SWE,0.7994776150339208,0.1073778297567368,1.225486030497548
axis1,WeirdML,Autonomous SWE,0.7983385211566241,0.5890064993360437,0.9589797438680419
axis1,SWE-Bench Verified,Autonomous SWE,0.7809523619754948,0.17962419808193292,1.0030729595672634
axis1,Remote Labor Index,Core AGI Progress,0.7753068239213132,0.02970996006010252,1.5522945707741065
axis1,GBAEval,Agentic Computer Use,0.7276189524824311,0.020336590963338473,3.114493582385007
axis1,METR Time Horizons,Autonomous SWE,0.707622761112493,0.3154418534899895,0.8495418470663681
axis1,EBR-bench,Agentic Computer Use,0.7030069391291575,0.04472815157917773,1.4398854799042293
axis1,GDP.pdf,Core AGI Progress,0.7020736053290993,0.07322883399829645,1.1693056571205784
axis1,OS World (Screenshot),Agentic Computer Use,0.6888961765220373,0.11146418797213761,1.331338140628261
axis1,LiveBench,Core AGI Progress,0.6673676736241335,0.43260314172837216,0.8830401366600117
axis1,CSQA2,General Reasoning,0.5954962483717653,0.10786200616591973,1.2038924325778468
axis1,LAB-Bench SeqQA,Biology,0.5771611975261188,0.410514801083393,0.8041626561758749
axis1,MMLU Pro Chemistry,Chemistry,0.5489014491313352,0.19801484101449301,1.4088816791720398
axis1,SEAL Tool Use (Enterprise),Agentic Computer Use,0.511992513738734,0.20676909947073135,0.7703501622983739
axis1,BALROG,General Reasoning,0.5113790572634326,0.18704194638014282,0.7324338555218177
axis1,FrontierCode,Autonomous SWE,0.5082399912744788,0.020746115373022074,1.0398422730591403
axis1,SpatialViz-Bench,Multimodal Understanding,0.4885636771939794,0.04597288562168021,1.2734668806762204
axis1,LAB-Bench Cloning,Biology,0.48298935055360315,0.14259960367191757,1.085153176317196
axis1,MMLU Chemistry,Chemistry,0.4764116630052041,0.3176150026562283,0.6637598088605708
axis1,GPQA Main Biology,Biology,0.47427512553865153,0.23535647074420962,1.015316606207795
axis1,MindCube,Multimodal Understanding,0.4471742846215413,0.026510019295665217,1.5368029040257751
axis1,MultiChallenge,Advanced Language and Writing,0.43809194236664684,0.13774052884685836,0.7126363868333799
axis1,GPQA Diamond Biology,Biology,0.4128925405852991,0.15967936217348505,0.8476180509021761
axis1,LAB-Bench Protocol,Biology,0.411474434885653,0.19212361707992456,0.7972157333747936
axis1,SciCode,Autonomous SWE,0.3956765498115502,0.2833279588259751,0.4737192261144051
axis1,CL-Bench Life,Domain Specific Questions,0.3870217237944033,0.04811236928279389,0.8455375751208842
axis1,HellaSwag,General Reasoning,0.38384477153562524,0.09217750276856518,0.4914705403435596
axis1,WinoGrande,General Reasoning,0.38327632842073944,0.24019427036737367,0.4995016367315468
axis1,AudioMultiChallenge,Multimodal Understanding,0.36711763283170545,0.03323150484140833,0.7667726504714776
axis1,MMLU Pro Biology,Biology,0.34963224701382056,0.04640634456740978,0.8352374474997909
axis1,DeepResearchBench,Agentic Computer Use,0.33878244095237514,0.05374495068134697,0.583164053068241
axis1,PRBench Finance,Domain Specific Questions,0.3321164579176776,0.1632243329777623,0.4505238727377892
axis1,Lech Mazur Writing,Advanced Language and Writing,0.3286827674126106,0.09337168959506642,0.5361212498958475
axis1,PRBench Legal,Domain Specific Questions,0.3266294644871657,0.16685913364588065,0.43116213425673033
axis1,LAB-Bench LitQA2,Biology,0.32573202178429833,0.20288373620859795,0.44121108775935947
axis1,TriviaQA,Domain Specific Questions,0.32501798905257584,0.1846118451966689,0.4730222088024321
