axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,VPCT,Multimodal Understanding,6.450262300700675,-0.9116229027885565,9.217024796475172
axis1,ARC-AGI-2,Core AGI Progress,4.756422031215687,-0.0770326429067068,6.120885506524276
axis1,ARC-AGI,Core AGI Progress,3.5092830184212276,0.33253992232660445,4.696571482125027
axis1,FrontierMath v1,High End Math Reasoning,2.420768876292364,1.1097759508005167,3.685093173956155
axis1,Aider Polyglot,Autonomous SWE,2.327832190344446,0.12765140484560863,3.2927601366231922
axis1,CAD-Eval,Multimodal Understanding,2.2202564164498955,-1.1221109682696369,3.4196637982964555
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,2.2176749250369188,-0.501297194042311,5.346578217441536
axis1,SWE-Bench Verified,Autonomous SWE,2.172730725669797,-1.3491388007953078,3.9589421163835468
axis1,FrontierMath Tier 4 v1,High End Math Reasoning,2.1625356807335727,0.7003394861627108,3.4289010319268636
axis1,DeepSWE,Autonomous SWE,2.108981284814724,0.8785734614449519,3.308936792930654
axis1,The Agent Company,Agentic Computer Use,2.014269425042605,-0.6526337829499069,3.5135201367385367
axis1,MATH Level 5,High End Math Reasoning,1.936759853518635,0.1633270791800409,3.7497322683924947
axis1,CritPt,Domain Specific Questions,1.8832437348799256,0.8253814473287727,2.8231922427028056
axis1,Cybench,Agentic Computer Use,1.831920151229065,-0.9583200807711264,4.291327687348394
axis1,SimpleBench,General Reasoning,1.7334855247144554,-0.5048555404376931,2.6165787411570935
axis1,Fiction.LiveBench,Advanced Language and Writing,1.725859046994702,-0.389484193041613,3.3362037878831066
axis1,APEX Agents,Core AGI Progress,1.6458905893029616,0.23007439655430223,2.8702654105223675
axis1,VisualToolBench,Multimodal Understanding,1.6349480831991736,0.37637904196003613,2.6862523775645126
axis1,MCP Atlas,Agentic Computer Use,1.6112674368635012,-0.9923168410316352,2.8756631729171183
axis1,TerminalBench,Agentic Computer Use,1.5893617699245803,0.10588771640499063,2.7121609211204154
axis1,FrontierMath Tier 4,High End Math Reasoning,1.58192135197047,-0.17442621085290097,5.529900402285652
axis1,Humanity's Last Exam,Domain Specific Questions,1.5613004305504794,0.214822065181034,2.30352497041979
axis1,EnigmaEval,General Reasoning,1.4823269991501036,0.0027578032703052414,2.750976799729033
axis1,SimpleQA Verified,Domain Specific Questions,1.4745393885305509,-0.8950801007124616,2.7024619405511916
axis1,SWE-Bench Pro (Private),Autonomous SWE,1.4102048380282368,-0.8114752436502497,3.091378421958203
axis1,GSO-Bench,Autonomous SWE,1.4026983528021462,-1.2288249161458744,3.909275393275205
axis1,BioLP-bench,Biology,1.1333462038255104,-0.5327001304074958,2.6030224355328055
axis1,GPQA Diamond,Domain Specific Questions,1.1203379315693383,-0.21665565785349808,2.6880566642904
axis1,MultiNRC,Advanced Language and Writing,1.1178005877839685,0.1802284511807725,1.9640579048592408
axis1,METR Time Horizons,Autonomous SWE,1.071031977938511,-0.16134118158516378,1.664577341456827
axis1,CursorBench,Autonomous SWE,1.0408947084747178,0.34294234631329934,1.6914335043626412
axis1,FrontierMath,High End Math Reasoning,1.003077229627943,-0.02212780303792484,3.8980992579550167
axis1,GDPval,Core AGI Progress,0.9797849439648559,-1.0535785869037722,2.896488340852597
axis1,LiveBench,Core AGI Progress,0.9466825931758452,-0.1107533321998898,1.565803783042311
axis1,GPQA Diamond Chemistry,Chemistry,0.9211007635335517,-0.9131906450446438,3.223337233525235
axis1,WeirdML,Autonomous SWE,0.9186254055578436,0.39642967160942844,1.4203023655874654
axis1,Surface Evolver Bench,Autonomous SWE,0.860912003389859,-0.8894727354462484,3.87286380479908
axis1,GDP.pdf,Core AGI Progress,0.8386163306770918,-0.41384099023194626,1.9006863059854084
axis1,PostTrainBench,Autonomous SWE,0.8337291124152926,-0.5729306238204046,2.0265015135596456
axis1,LAB-Bench SeqQA,Biology,0.824412438125558,0.07880983869389283,1.4198052324835133
axis1,SWE-Bench Pro,Autonomous SWE,0.743293238478691,-0.6519374899309974,2.0375185285945006
axis1,MultiChallenge,Advanced Language and Writing,0.7186900392039941,-0.37746097956004593,1.459757939695408
axis1,Chess Puzzles,General Reasoning,0.7080137736466996,-0.7781262401629931,3.3695290783834055
axis1,ExploitBench,Agentic Computer Use,0.6957580419869911,-0.7993488601714239,2.559081042675085
axis1,BALROG,General Reasoning,0.6750006174936142,-0.44190318919556637,1.564334876939846
axis1,GPQA Main Chemistry,Chemistry,0.6439893882755023,-1.3271006871948157,3.3897392238356256
axis1,ProofBench,High End Math Reasoning,0.6340840426116363,-0.6440740519079582,3.7333695722162807
axis1,MMLU Pro Biology,Biology,0.6336324762681679,-1.1310048401018666,2.6214321909331346
axis1,SEAL Tool Use (Enterprise),Agentic Computer Use,0.6198749136812542,-0.39803617478272824,1.6244389316693788
axis1,SpatialViz-Bench,Multimodal Understanding,0.5802581018187554,-0.6132755853765746,2.223586061150693
axis1,Visual Task Assessment (VISTA),Multimodal Understanding,0.5723354848027649,-0.14562891093013877,0.9023104351991268
axis1,Vending-Bench 2,Agentic Computer Use,0.5593455760397972,-0.4302032823256402,1.499595709803069
axis1,SciCode,Autonomous SWE,0.5309517647594856,0.1757128456064777,0.762144885750213
axis1,BlueprintBench 2,Multimodal Understanding,0.5228902857013518,-1.1381239113038493,3.5490633721433835
axis1,TutorBench,Advanced Language and Writing,0.4836720868124553,-0.18297488783550153,0.8488999562211073
axis1,PRBench Legal,Domain Specific Questions,0.4752906721908058,-0.13151860748368516,0.8209356093474339
axis1,MMLU Chemistry,Chemistry,0.4684788670887188,-0.5125089555049653,1.1764488283274228
axis1,PRBench Finance,Domain Specific Questions,0.4631400665639743,-0.1478252197182902,0.808096477699209
axis1,OS World 2,Agentic Computer Use,0.43061690952868825,-0.8175789881234486,3.0565935734861847
axis1,TriviaQA,Domain Specific Questions,0.4291222974879224,-0.6067241539233748,1.145441971815805
axis1,HellaSwag,General Reasoning,0.38992129784416624,-0.8246743531177886,0.7613154301646317
axis1,GPQA Main Biology,Biology,0.38723796113769043,-0.6455095020603473,2.0130280275521013
axis1,MindCube,Multimodal Understanding,0.3815116787033006,-0.9448463591285352,2.791669799731555
axis1,LAMBADA,General Reasoning,0.3594058060180222,-0.2764857904842554,0.7148299675233161
axis1,DeepResearchBench,Agentic Computer Use,0.3589125423757318,-0.2632611296850996,0.9737201470528232
axis1,SEAL Instruction Following,Advanced Language and Writing,0.33584095827901994,-0.5271794120814252,1.5859616094198634
axis1,CSQA2,General Reasoning,0.33311876405797597,-1.2215225749071836,2.5934935839047006
axis1,Lech Mazur Writing,Advanced Language and Writing,0.309108320958425,-0.6159153448137676,1.1424335353305843
axis1,EBR-bench,Agentic Computer Use,0.3043126189267386,-1.0952322670415013,2.867372765892037
axis1,GeoBench,Multimodal Understanding,0.2957146798097723,-0.5121286599681656,1.0693325056778837
axis1,WinoGrande,General Reasoning,0.2713147484810562,-0.6707156254130093,0.6674258902767297
axis1,AudioMultiChallenge,Multimodal Understanding,0.27115650874118663,-0.5805955429927417,1.4721678668680371
axis1,FrontierCode,Autonomous SWE,0.26517202125286304,-0.5957442989119269,1.796767113390707
axis1,Remote Labor Index,Core AGI Progress,0.2617784729228875,-0.9959316153149198,2.8276446772581063
axis1,AlgoTune,Autonomous SWE,0.25395829007376136,-0.28199203762618613,1.1523185703337098
axis1,CL-Bench,Domain Specific Questions,0.24927649820869097,-0.2695090186012875,1.32943082447314
axis1,LAB-Bench LitQA2,Biology,0.24068122935333158,-0.40940433979511814,0.6813980691383366
axis1,OS World (Screenshot),Agentic Computer Use,0.2362301899136383,-1.051897827010854,2.7453411702414714
