axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,ARC-AGI-2,Core AGI Progress,4.061739580668601,1.7887716601288501,4.7864514630003026
axis1,VPCT,Multimodal Understanding,3.543672271365903,0.6111131329001578,6.726855218836014
axis1,ARC-AGI,Core AGI Progress,2.740615368865519,1.445431957331571,3.5979883833877278
axis1,FrontierMath Tier 4 v1,High End Math Reasoning,2.4172648184311996,1.4053559170792003,3.1883991170030828
axis1,FrontierMath v1,High End Math Reasoning,2.2971460773900763,1.624797846659142,3.1049779543580422
axis1,FrontierMath Tier 4,High End Math Reasoning,2.2739787213699665,0.9336928012912997,3.7845599780273855
axis1,Cybench,Agentic Computer Use,2.2025438021909265,0.07027445077086181,3.0917093883771085
axis1,ProofBench,High End Math Reasoning,2.1768952786670166,0.012378537364723306,3.1109174973154743
axis1,GSO-Bench,Autonomous SWE,2.132098310679525,-0.12311601825619037,2.9297192163746244
axis1,DeepSWE,Autonomous SWE,2.1122252109178223,1.1903640897103733,2.9128025163793634
axis1,Aider Polyglot,Autonomous SWE,2.0139602366905196,0.4601662754357975,2.5941471527736644
axis1,The Agent Company,Agentic Computer Use,1.728652467758528,0.3047800736359225,2.6655884800167997
axis1,TerminalBench,Agentic Computer Use,1.7167596507832927,0.6618557615705837,2.280048890394615
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,1.7031904138791842,0.829539683351505,4.132521400591259
axis1,CritPt,Domain Specific Questions,1.663832074532345,1.1447752460659515,2.4313979003611803
axis1,SWE-Bench Pro (Private),Autonomous SWE,1.6196479398909958,0.11167773343775729,2.3323336184075445
axis1,CAD-Eval,Multimodal Understanding,1.5889601939969513,-0.09787584610178515,2.439169344213868
axis1,GBAEval,Agentic Computer Use,1.4993571557523893,-1.463997348879096,4.686942387924898
axis1,APEX Agents,Core AGI Progress,1.4966480297454785,0.9294588466849927,2.2607714131270327
axis1,Surface Evolver Bench,Autonomous SWE,1.481856672690474,-0.059734325040428,2.8733313481669707
axis1,MATH Level 5,High End Math Reasoning,1.4470276324115183,0.820096567360262,2.796042541395924
axis1,VisualToolBench,Multimodal Understanding,1.3971095107881348,0.7917407106260076,2.124925691581052
axis1,FrontierMath,High End Math Reasoning,1.375344126349457,0.7213671919669215,2.922063264647326
axis1,GDPval,Core AGI Progress,1.3649660962610706,-0.11670295680317974,2.257216057213362
axis1,ExploitBench,Agentic Computer Use,1.2598120574505978,-0.16110921471200937,2.253028136228395
axis1,MCP Atlas,Agentic Computer Use,1.2300086105029835,-0.04127837111806724,1.7645010152566958
axis1,Remote Labor Index,Core AGI Progress,1.2249004602680102,-0.33598147805873235,2.2607836837727495
axis1,BlueprintBench 2,Multimodal Understanding,1.1944141221103468,-0.41574621068116685,2.857964972407038
axis1,Fiction.LiveBench,Advanced Language and Writing,1.1672304418248922,-0.17125388490084606,2.6443551214995633
axis1,GPQA Diamond Chemistry,Chemistry,1.1649736857995192,0.3746456637837107,2.2908040921699033
axis1,SimpleBench,General Reasoning,1.159506332967098,0.004474464620717865,1.9237754119485662
axis1,CursorBench,Autonomous SWE,1.145148248052077,0.6320212184275669,1.4999677311474513
axis1,GDP.pdf,Core AGI Progress,1.1374487460700429,0.06865009122415125,1.688076691517966
axis1,EBR-bench,Agentic Computer Use,1.1159481954875552,-0.33071329186755055,2.3629986966156395
axis1,EnigmaEval,General Reasoning,1.0778749662640665,0.47568433174447544,2.269644015138306
axis1,OS World 2,Agentic Computer Use,1.0746585554088028,-0.3546550365627114,2.6916069237084277
axis1,PostTrainBench,Autonomous SWE,1.0713228421778993,0.079829815172983,1.6374782813178492
axis1,GPQA Main Chemistry,Chemistry,1.0674190908366377,0.3284992255648662,2.3044073066048414
axis1,Humanity's Last Exam,Domain Specific Questions,1.0595058592916473,0.6167154895126744,1.8400588978987582
axis1,WeirdML,Autonomous SWE,0.9751516491580703,0.6376793117206291,1.2291739857430164
axis1,SWE-Bench Verified,Autonomous SWE,0.9471790154084252,-0.0389074519314381,1.3007834122089523
axis1,MultiNRC,Advanced Language and Writing,0.923470931378447,0.43107722592128045,1.5775077455682347
axis1,OS World (Screenshot),Agentic Computer Use,0.9164206300835886,-0.5230820488561285,2.129030533118922
axis1,FrontierCode,Autonomous SWE,0.8962416718029471,-0.18741132463062382,1.5917495826621124
axis1,SWE-Bench Pro,Autonomous SWE,0.8700782992226255,-0.027856305456097144,1.650683535924459
axis1,METR Time Horizons,Autonomous SWE,0.867209256586099,0.19088667612171917,1.110603131693235
axis1,GPQA Diamond,Domain Specific Questions,0.8064414986819741,0.39048988017797975,1.8121161910062586
axis1,BioLP-bench,Biology,0.7541353946364109,-0.19507327628247376,1.7418966466411416
axis1,LAB-Bench SeqQA,Biology,0.7048219214993188,0.3250973089591782,1.0810261853195589
axis1,Chess Puzzles,General Reasoning,0.6128351947556336,-0.0021233871018450684,2.5228074524165494
axis1,LiveBench,Core AGI Progress,0.589743189330582,0.13456231010645106,1.0848749939222322
axis1,SimpleQA Verified,Domain Specific Questions,0.549900084438725,-0.09500697678676684,2.3387134195334003
axis1,MMLU Chemistry,Chemistry,0.5471841657186148,0.17346162184623018,0.8831019405826965
axis1,GPQA Main Biology,Biology,0.5208015172431364,-0.03127689548448988,1.3859842777323155
axis1,SciCode,Autonomous SWE,0.493045669868201,0.29562752499169936,0.6173042293203995
axis1,GPQA Diamond Biology,Biology,0.4687463266614166,-0.08201666358496303,1.1556632892758405
axis1,AlgoTune,Autonomous SWE,0.45627404139468564,-0.10748151370939814,1.5198832545282275
axis1,MultiChallenge,Advanced Language and Writing,0.4253105569760914,-0.08439919253028352,1.0595511385078153
axis1,SpatialViz-Bench,Multimodal Understanding,0.4134917906284445,-0.396490541754852,1.7014387110842297
axis1,MindCube,Multimodal Understanding,0.4113673394239027,-0.4354214565399122,2.1055238813462545
axis1,BALROG,General Reasoning,0.40076088179258407,-0.21065598911236466,1.012866733748647
axis1,SEAL Tool Use (Enterprise),Agentic Computer Use,0.3981570725358978,-0.16483093378194286,0.9179084947146258
axis1,DeepResearchBench,Agentic Computer Use,0.3769016184196447,-0.05506521839853741,0.765524029848456
axis1,PRBench Finance,Domain Specific Questions,0.3691577867112319,0.04501446687577368,0.5845872881203602
axis1,LAB-Bench LitQA2,Biology,0.35354211767027266,0.060213287701916335,0.5987300405100466
axis1,PRBench Legal,Domain Specific Questions,0.3391726270304559,0.035259148484407594,0.5949050680235205
axis1,MMLU Pro Chemistry,Chemistry,0.3285189980662797,-0.295268804757154,1.760946712602704
axis1,TutorBench,Advanced Language and Writing,0.29225332106387447,0.04410529093410158,0.6262861215820493
axis1,CL-Bench,Domain Specific Questions,0.2773091808359993,-0.029319145288341043,0.9388738730627953
axis1,LAMBADA,General Reasoning,0.2753961734790036,0.03947336359329138,0.46188627272886085
axis1,CL-Bench Life,Domain Specific Questions,0.27252984060079166,-0.14112502852733882,1.2809572659143813
axis1,SEAL Instruction Following,Advanced Language and Writing,0.25924064794789553,-0.19859017682826727,0.7884079088873215
axis1,TriviaQA,Domain Specific Questions,0.2402713753913594,0.026189905953019055,0.46969292158118947
axis1,MMLU Biology,Biology,0.23735801400233428,-0.01647911423960018,0.47918262913073706
axis1,Lech Mazur Writing,Advanced Language and Writing,0.23321095859332341,-0.1655761194272962,0.6228811878148605
axis1,AudioMultiChallenge,Multimodal Understanding,0.22894619494316215,-0.3037618338828839,1.0013514766808325
axis1,Visual Task Assessment (VISTA),Multimodal Understanding,0.21182261603264102,-0.02266146756243811,0.7076946343970175
axis1,HellaSwag,General Reasoning,0.16929793132780852,-0.2957997402639123,0.43822641191985695
axis1,MMLU Pro Biology,Biology,0.1512158352499951,-0.42273127721688747,0.9785735155108282
axis1,ForecastBench,General Reasoning,0.14480660261284464,-0.09769701423262794,0.41161751900710997
axis1,CSQA2,General Reasoning,0.13727225404039572,-0.910439725968629,1.5518897613706681
axis1,GeoBench,Multimodal Understanding,0.10961782320306496,-0.48009918599962864,0.7007420150788122
axis1,WinoGrande,General Reasoning,0.10565904867831238,-0.11951895100912188,0.37289230794970557
axis1,LAB-Bench Protocol,Biology,0.10435118912045557,-0.3441171343702992,0.7519082009357367
axis1,LAB-Bench Cloning,Biology,0.05551700679334626,-0.6764170668200137,1.0247627987301329
axis1,PIQA,General Reasoning,0.018339781054857368,-0.08333801422540042,0.13935634625776955
axis1,SuperGLUE,General Reasoning,-0.09576107012530836,-0.5981089264143135,0.7461808331385794
axis1,Video-MME,Multimodal Understanding,-0.0995819643172634,-0.28568684663661087,0.4957605847446935
axis1,WMDP Chemistry,Chemistry,-0.10847698641051168,-0.424610474771216,1.222265916442914
axis1,BoolQ,General Reasoning,-0.1625526476587299,-0.3710225810571923,0.13441239022542775
axis1,ScienceQA,Domain Specific Questions,-0.20887774959419436,-0.6777412660157898,0.4330698823147237
axis1,WMDP Biology,Biology,-0.22465713560707445,-0.3856877893992243,0.9143781097745006
axis1,MMLU,Domain Specific Questions,-0.5376502118675481,-0.6982629962021375,0.4461953127041089
axis1,Adversarial NLI,General Reasoning,-0.5386291958588044,-1.063532604639879,0.10804521714570606
axis1,BIG-Bench Hard (BBH),Domain Specific Questions,-0.6238052446617716,-0.8390720338089311,0.12727185095930266
axis1,OpenBookQA,Domain Specific Questions,-0.7599310858616273,-0.9421042403489654,-0.1591180379968922
axis1,ARC (AI2),Domain Specific Questions,-0.8791759030545909,-1.080481257448364,-0.22316502792345955
axis1,GSM8K,Domain Specific Questions,-0.9406027354388041,-1.1769190983967992,0.6372948389423623
axis2,ARC (AI2),Domain Specific Questions,2.3660001818755556,0.4420545158384107,2.737777212729353
axis2,GSM8K,Domain Specific Questions,2.271786341237381,1.425615403992569,2.7693182009250505
axis2,Adversarial NLI,General Reasoning,2.1272252301242096,0.1966716997696347,3.1497519338699713
axis2,OpenBookQA,Domain Specific Questions,2.0217181546808534,0.19889413350838248,2.407698958546048
axis2,BIG-Bench Hard (BBH),Domain Specific Questions,1.8400203711571654,0.9353908034139906,2.203749982211755
axis2,CSQA2,General Reasoning,1.5227478724975558,-0.3858605615610049,3.150432366732847
axis2,MMLU,Domain Specific Questions,1.4392688292152547,0.9077238993640896,1.720840295934421
axis2,SimpleQA Verified,Domain Specific Questions,1.1422001556043722,-0.930445323633933,1.9748172204458323
axis2,BoolQ,General Reasoning,1.1168537438151938,0.3788083790466045,1.3778100653878103
axis2,SuperGLUE,General Reasoning,1.0223381397334614,0.015184137032415284,1.7714584317188555
axis2,LAB-Bench Cloning,Biology,1.0069092720770951,0.0929408268201203,1.9845688944171607
axis2,ScienceQA,Domain Specific Questions,0.9263623453986347,-0.02890633128283156,1.9114263779883633
axis2,WinoGrande,General Reasoning,0.924458550482695,0.20963796201754975,1.1527323845646247
axis2,HellaSwag,General Reasoning,0.811541429923057,-0.027059656423856902,1.0354069036879652
axis2,SimpleBench,General Reasoning,0.7221767986018073,-0.5078895035470787,1.5009892913009064
axis2,LAB-Bench Protocol,Biology,0.7150955129092436,0.1884538427783707,1.2848009960978584
axis2,MMLU Pro Chemistry,Chemistry,0.5135670378605123,-0.18783763532650172,1.3678081127877488
axis2,WMDP Biology,Biology,0.5072863391355845,0.0410111839883332,0.9025564701294033
axis2,BALROG,General Reasoning,0.5023908707336361,-0.30379537909828735,1.0648357761955003
axis2,MMLU Pro Biology,Biology,0.48433190421146777,-0.0705633113841259,1.173880354130072
axis2,MultiNRC,Advanced Language and Writing,0.4536237612723135,-0.42864442532612623,0.9700735582134524
axis2,WMDP Chemistry,Chemistry,0.4500512629008989,-0.1153699776707231,1.0665987434132937
axis2,PIQA,General Reasoning,0.42661876388405295,0.12094538521799762,0.5314312109170444
axis2,TriviaQA,Domain Specific Questions,0.41766016254240235,0.08830894141671232,0.727864219789621
axis2,LiveBench,Core AGI Progress,0.40449711761509866,-0.2508942097131928,0.8707410249878351
axis2,Fiction.LiveBench,Advanced Language and Writing,0.40373049193398647,-1.0276328889280335,1.6319432932357283
axis2,Aider Polyglot,Autonomous SWE,0.395980596442579,-0.22197822698633202,1.0535138071722197
axis2,BioLP-bench,Biology,0.3937312677045266,-0.6085186326950508,1.6269779212734832
axis2,SEAL Tool Use (Enterprise),Agentic Computer Use,0.39248940668988763,-0.1186733420183055,0.9336383391548111
axis2,GeoBench,Multimodal Understanding,0.36714666795630174,-0.25319285597723296,1.2768813474149023
axis2,Video-MME,Multimodal Understanding,0.3584712284850232,-0.02945031942604265,0.730050231652032
axis2,AudioMultiChallenge,Multimodal Understanding,0.329587972754999,-0.31630796729527855,0.931580180395972
axis2,EnigmaEval,General Reasoning,0.32093271934043194,-0.892392573028646,1.0439171907836713
axis2,Lech Mazur Writing,Advanced Language and Writing,0.3119208397187263,-0.11582870791522942,0.7531021322675117
axis2,Visual Task Assessment (VISTA),Multimodal Understanding,0.2715863421114395,-0.29827730860369517,0.5498552092681173
axis2,SpatialViz-Bench,Multimodal Understanding,0.2468205604612585,-0.5533359580704486,1.3264350106838256
