axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,ARC-AGI-2,Core AGI Progress,4.207290582140308,1.4567981062860786,4.975765756295577
axis1,VPCT,Multimodal Understanding,3.5214760329997032,-0.10280895402642871,6.912100483292298
axis1,ARC-AGI,Core AGI Progress,2.812053483175071,1.2413453480180723,3.6845864322649065
axis1,FrontierMath Tier 4,High End Math Reasoning,2.179631498620143,0.8344639611223184,4.2054401591938975
axis1,Cybench,Agentic Computer Use,2.1502489093163066,-0.10767206195235735,3.179732955958423
axis1,GSO-Bench,Autonomous SWE,2.1421458264319764,-0.32413017142696887,3.0875773229330847
axis1,ProofBench,High End Math Reasoning,2.1407712131042045,-0.04247277309098416,3.1920868200811126
axis1,FrontierMath Tier 4 v1,High End Math Reasoning,2.131590376042488,1.3274069966035138,2.793732954587237
axis1,DeepSWE,Autonomous SWE,2.0607310015721536,1.0782751443622103,3.0659369210855476
axis1,Aider Polyglot,Autonomous SWE,2.0295549999143443,0.11017828269513816,2.628326409207989
axis1,The Agent Company,Agentic Computer Use,1.7736809545282672,0.11327858502114194,2.7880113771433495
axis1,TerminalBench,Agentic Computer Use,1.7364515443117823,0.456442731400822,2.339929214617514
axis1,CritPt,Domain Specific Questions,1.64502263276992,1.0659057178657678,2.555321564293884
axis1,CAD-Eval,Multimodal Understanding,1.6316401483903933,-0.3553757234543951,2.5091454753710267
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,1.6252101014610951,0.6580988232626562,4.4083389320013255
axis1,SWE-Bench Pro (Private),Autonomous SWE,1.6162299192964915,-0.018198292026137517,2.396826825941485
axis1,FrontierMath v1,High End Math Reasoning,1.5446513136968374,1.066697749074952,2.145759556415112
axis1,APEX Agents,Core AGI Progress,1.5271656028203546,0.8138393770862767,2.334674366964509
axis1,Surface Evolver Bench,Autonomous SWE,1.49247934747513,-0.1497574118188557,3.063886164705673
axis1,GDPval,Core AGI Progress,1.401136201323492,-0.2208036903372017,2.3065588547072364
axis1,MATH Level 5,High End Math Reasoning,1.3841143916814507,0.727017958908432,2.9215741549865397
axis1,VisualToolBench,Multimodal Understanding,1.372776705229486,0.6782123766885124,2.201288608175347
axis1,MCP Atlas,Agentic Computer Use,1.3130917175795458,-0.18762598215160456,1.823249517523611
axis1,GBAEval,Agentic Computer Use,1.3002112006468134,-1.3668330798949273,5.036414056801951
axis1,ExploitBench,Agentic Computer Use,1.2840505729426681,-0.2590101926188245,2.414200508350459
axis1,FrontierMath,High End Math Reasoning,1.255971670747221,0.6543482717176068,3.2684026594545874
axis1,SimpleBench,General Reasoning,1.2407587465235423,-0.16527674653001537,1.9396462036157318
axis1,GPQA Diamond Chemistry,Chemistry,1.1988360426163776,0.4119926118015643,2.522557379070105
axis1,Remote Labor Index,Core AGI Progress,1.1854237535181795,-0.3806966942632497,2.3843260710646104
axis1,GPQA Main Chemistry,Chemistry,1.160169248038009,0.4450781724003157,2.62843223715448
axis1,GDP.pdf,Core AGI Progress,1.1574203266557572,0.058557214793410986,1.7648668363982472
axis1,CursorBench,Autonomous SWE,1.1528265523307466,0.6025899102924971,1.5379422139912327
