axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,VPCT,Multimodal Understanding,2.1517934134626304,0.10941626743089485,3.512842384818372
axis1,ARC-AGI-2,Core AGI Progress,1.9472406164259493,0.5179454967923875,2.5702253106938295
axis1,FrontierMath Tier 4,High End Math Reasoning,1.8707794239310098,1.0769533452267142,3.346323188070367
axis1,ARC-AGI,Core AGI Progress,1.8206628196855243,0.7191223149637043,2.286884538556045
axis1,Aider Polyglot,Autonomous SWE,1.760623067560358,0.5232771070256891,2.230564860244713
axis1,FrontierMath Tier 4 v1,High End Math Reasoning,1.7242435473510196,1.1716150747238072,2.2766357355199647
axis1,FrontierMath v1,High End Math Reasoning,1.6284700294916452,1.2004356589747254,2.2578795803904455
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,1.5571131209486002,1.0716950359737036,2.6357373351743747
axis1,TerminalBench,Agentic Computer Use,1.5220771688835952,0.6874413157633398,1.9731399328564165
axis1,Cybench,Agentic Computer Use,1.3549490018706714,0.39484128533579493,2.067544125128819
axis1,GSO-Bench,Autonomous SWE,1.28122253383337,0.5639363934414897,2.1496412898231645
axis1,SimpleBench,General Reasoning,1.2800761141930517,0.17090704472536303,1.7313055838772209
axis1,FrontierMath,High End Math Reasoning,1.2436519441873566,0.8022835558735409,2.4001230480037554
axis1,MATH Level 5,High End Math Reasoning,1.219138307987032,0.8920285108205374,1.9541917764504753
axis1,VisualToolBench,Multimodal Understanding,1.1878476396741404,0.7461357720884587,1.584450859794361
axis1,The Agent Company,Agentic Computer Use,1.1857079248351972,0.38277478828099004,1.7303745854109145
axis1,APEX Agents,Core AGI Progress,1.1759398710748874,0.7501745346307089,1.5233022565640137
axis1,BlueprintBench 2,Multimodal Understanding,1.1696903428991923,0.15843697149789623,2.1339682698453157
axis1,SWE-Bench Pro (Private),Autonomous SWE,1.1589760801411142,0.33107165211940953,1.7031401416142258
axis1,CAD-Eval,Multimodal Understanding,1.1500058515278746,0.02753359231128882,1.7299938244697086
axis1,ProofBench,High End Math Reasoning,1.1094398673635075,0.42975723644631403,2.1642824704695602
axis1,GPQA Diamond Chemistry,Chemistry,1.1037376099597387,0.7402061293490787,1.9215951323969198
axis1,CritPt,Domain Specific Questions,1.0990626833992054,0.751079279607601,1.4444492081756157
axis1,Humanity's Last Exam,Domain Specific Questions,1.0418125679089196,0.6202718416975966,1.3711876457078105
axis1,EnigmaEval,General Reasoning,1.0328223127931444,0.5080395064921942,1.4893243864976256
axis1,GPQA Main Chemistry,Chemistry,1.0087670967885545,0.6150066786913327,2.242154119764486
axis1,Fiction.LiveBench,Advanced Language and Writing,0.9980246288927204,0.20688906382164962,1.719975633521295
axis1,MultiNRC,Advanced Language and Writing,0.9935903812687816,0.3852839427486267,1.3396157996664084
axis1,MCP Atlas,Agentic Computer Use,0.9813530382230549,0.02486293433611778,1.3588887693393188
axis1,Chess Puzzles,General Reasoning,0.9794482253905014,0.4372828747908623,1.9206266203899922
axis1,DeepSWE,Autonomous SWE,0.975382157877166,0.017508100814322962,2.062320994717916
axis1,GPQA Diamond,Domain Specific Questions,0.9102523031285796,0.6454309903671562,1.2944225401658764
axis1,SimpleQA Verified,Domain Specific Questions,0.8921029241189309,0.16177091084994705,1.690021714989955
axis1,ExploitBench,Agentic Computer Use,0.891686343929168,0.17125528923314545,1.630913577026361
axis1,BioLP-bench,Biology,0.8774901627056114,0.5963652057728129,1.4464222056909157
axis1,Surface Evolver Bench,Autonomous SWE,0.8675922026546612,0.08267476848902176,1.7411260704607225
axis1,PostTrainBench,Autonomous SWE,0.827250302378713,0.3331687523824175,1.308790372073823
axis1,GDPval,Core AGI Progress,0.7997904871733773,0.1981152351013686,1.419448035049003
axis1,SWE-Bench Pro,Autonomous SWE,0.7720487467640882,0.06872884932629816,1.1741018747738299
axis1,EBR-bench,Agentic Computer Use,0.7685128015282523,0.0426075471872702,1.6081246016980726
axis1,GDP.pdf,Core AGI Progress,0.7646776553844286,0.1259860751396911,1.2886270468195469
axis1,WeirdML,Autonomous SWE,0.739481511018625,0.5439996168313688,0.895616162539753
