axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,VPCT,Multimodal Understanding,5.486293833507991,-0.06886950622506433,7.129482937400914
axis1,ARC-AGI-2,Core AGI Progress,4.394201585309064,0.42551382653922754,5.3525728867867555
axis1,ARC-AGI,Core AGI Progress,3.0858179692347782,0.6027009516401588,3.791523730563036
axis1,Aider Polyglot,Autonomous SWE,2.188731561054455,0.1405005693640613,2.8843801859733893
axis1,CAD-Eval,Multimodal Understanding,2.1239226309029746,-0.6671290355006856,2.8561681699097985
axis1,The Agent Company,Agentic Computer Use,1.6861822404748854,-0.13614433383919738,2.6719258892084214
axis1,SimpleBench,General Reasoning,1.625865762155793,-0.16530505344292595,2.121433963227748
axis1,APEX Agents,Core AGI Progress,1.6230516474408971,0.5847590351545244,2.458655265396963
axis1,DeepSWE,Autonomous SWE,1.599406065314298,0.476649184822114,2.620450510632555
axis1,GSO-Bench,Autonomous SWE,1.5692923111455346,-0.38128749235119364,3.182643484846361
axis1,Fiction.LiveBench,Advanced Language and Writing,1.5567496033257524,0.2051079320886492,2.6837515861487256
axis1,MCP Atlas,Agentic Computer Use,1.5487051154310931,-0.5289032868940566,2.2404506254869094
axis1,FrontierMath Tier 4 v1,High End Math Reasoning,1.546071863265943,0.6750517851167593,2.2743987626009896
axis1,TerminalBench,Agentic Computer Use,1.5145211239440606,0.35002721203019316,2.276298612820805
axis1,CritPt,Domain Specific Questions,1.4343956184124895,0.673522185257721,2.1870278632738294
axis1,SWE-Bench Pro (Private),Autonomous SWE,1.3943530718689319,-0.20411268051433282,2.394204270661277
axis1,SimpleQA Verified,Domain Specific Questions,1.333124370034397,-0.40903978057616824,2.174515127332765
axis1,Humanity's Last Exam,Domain Specific Questions,1.300404879375499,0.17079995091805295,1.8264818937923495
axis1,FrontierMath v1,High End Math Reasoning,1.204212174989146,0.6502788741798531,1.8286322872323204
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,1.201828283126035,-0.13596153556617835,3.172952338870766
axis1,VisualToolBench,Multimodal Understanding,1.1969194601631652,0.3746085626598972,2.03484561422687
axis1,EnigmaEval,General Reasoning,1.1830896553317767,0.26699400435071363,2.0881804367481296
axis1,MultiNRC,Advanced Language and Writing,1.0345724645581746,0.3761069571341035,1.6010208896330704
axis1,Cybench,Agentic Computer Use,1.017941020913962,-0.6934644405688593,3.0534441334773206
axis1,Surface Evolver Bench,Autonomous SWE,1.006589945657117,-0.37472243531667815,2.833072212594342
axis1,SWE-Bench Verified,Autonomous SWE,1.0007038413026006,-0.21683180966312413,1.458504766993642
axis1,MATH Level 5,High End Math Reasoning,0.9756983637878565,0.23812062775863374,2.3397382355329612
axis1,GDPval,Core AGI Progress,0.9375384552276458,-0.5218888408830266,2.2074578583690005
axis1,CursorBench,Autonomous SWE,0.9265708116775759,0.23507757685054997,1.512399237242384
axis1,FrontierMath Tier 4,High End Math Reasoning,0.870967543900867,-0.33271561291404844,4.058914296579328
axis1,Remote Labor Index,Core AGI Progress,0.8386813566145073,-0.7541200528062081,2.399158222568185
axis1,SWE-Bench Pro,Autonomous SWE,0.8327591564610985,-0.3572425669062389,1.7597810459999208
axis1,PostTrainBench,Autonomous SWE,0.8081985433472338,-0.0894714324598053,1.6305685180783462
axis1,METR Time Horizons,Autonomous SWE,0.7947667833939036,0.09835404881083619,1.1532544597096683
axis1,ExploitBench,Agentic Computer Use,0.7765835160964041,-0.6232246084941379,2.1955600283523835
axis1,WeirdML,Autonomous SWE,0.7724513095478662,0.4078028488082374,1.1499495167016605
axis1,BALROG,General Reasoning,0.7311363955841367,-0.12149266299565609,1.151920227336449
axis1,GPQA Diamond Chemistry,Chemistry,0.7058897801662084,-0.17425504934999783,1.9959978470736661
axis1,LiveBench,Core AGI Progress,0.6583808490638079,0.13612720362764044,0.9999812267835768
axis1,MultiChallenge,Advanced Language and Writing,0.649497952112274,-0.12569500683263957,1.08061144601556
axis1,ProofBench,High End Math Reasoning,0.625580561454135,-0.29408318980661946,3.068786003000793
axis1,GPQA Diamond,Domain Specific Questions,0.6025887665768146,-0.021359337474351394,1.4847712037910175
axis1,GPQA Main Chemistry,Chemistry,0.5855733456077723,-0.5599958674375537,2.0465270277500776
axis1,Chess Puzzles,General Reasoning,0.5801099558420861,-0.42383354581330945,2.3652398814466764
axis1,BioLP-bench,Biology,0.5575429233612692,-0.11670294247892223,1.609522373072694
axis1,FrontierMath,High End Math Reasoning,0.514741997012434,-0.12132084972235617,2.8009894672584426
axis1,Visual Task Assessment (VISTA),Multimodal Understanding,0.5129665935893146,0.013981707706615748,0.7006295534061369
axis1,LAB-Bench SeqQA,Biology,0.4913528210989717,0.1469167862833648,0.8678877505423991
axis1,SciCode,Autonomous SWE,0.4644672035038922,0.1874250664052404,0.6182780254725213
axis1,GDP.pdf,Core AGI Progress,0.4414612992670699,-0.40791584163711436,1.422569110644687
axis1,TutorBench,Advanced Language and Writing,0.4256118965136201,-0.0073473105960687925,0.6577945455433588
axis1,SEAL Tool Use (Enterprise),Agentic Computer Use,0.4087982972395153,-0.21407396367291479,0.9790615876086832
axis1,MMLU Chemistry,Chemistry,0.38691534742903355,-0.056385126342330366,0.7203116938419302
axis1,CSQA2,General Reasoning,0.38583524900238064,-0.8071162920169485,1.7420128451946577
axis1,PRBench Legal,Domain Specific Questions,0.3849748107232719,0.08747597627302528,0.589775211454709
axis1,SpatialViz-Bench,Multimodal Understanding,0.3464947939549215,-0.6030260378718055,1.5927320184127511
axis1,DeepResearchBench,Agentic Computer Use,0.3404754139355148,-0.16362564750862782,0.8058731971483828
axis1,PRBench Finance,Domain Specific Questions,0.3387038807379069,0.055297165088775864,0.6096186642566025
axis1,AlgoTune,Autonomous SWE,0.3308762056877502,-0.19266192315486302,0.9126607797771119
axis1,LAB-Bench LitQA2,Biology,0.302684920088755,0.01455510000291048,0.5421495306663137
axis1,OS World 2,Agentic Computer Use,0.2948502682672304,-0.6732473262034785,2.3949679401582875
axis1,OS World (Screenshot),Agentic Computer Use,0.27565076199193594,-0.6390339601554951,1.332555179328319
axis1,HellaSwag,General Reasoning,0.27434316789578983,-0.35916827129748696,0.45716299592553306
axis1,GeoBench,Multimodal Understanding,0.2659257022754858,-0.25174856293897274,0.7149835581641156
axis1,AudioMultiChallenge,Multimodal Understanding,0.2506401122947467,-0.46110633288853736,1.1126219376744348
axis1,MindCube,Multimodal Understanding,0.2338267396891075,-0.7848285262932967,1.996509815945419
axis1,LAMBADA,General Reasoning,0.22681541750888162,-0.03418584917427183,0.427886538762462
axis1,ForecastBench,General Reasoning,0.2214133405845159,-0.10122191664776678,0.46325413543712485
axis1,TriviaQA,Domain Specific Questions,0.21982319776767645,-0.035176620575886136,0.45664735685632485
axis1,MMLU Biology,Biology,0.16567009824558637,-0.09318862107027043,0.38749467305214935
axis1,WinoGrande,General Reasoning,0.15667956088677887,-0.13940052960036337,0.3597846514976749
axis1,CL-Bench Life,Domain Specific Questions,0.137101076922219,-0.42975360272839025,1.139954429242291
