axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,ARC-AGI-2,Core AGI Progress,3.2460161550797357,-5.596576269580302,8.72468932359913
axis1,VPCT,Multimodal Understanding,2.8464554931855917,-8.420608684303888,10.864400596689029
axis1,OpenBookQA,Domain Specific Questions,1.8790812507196468,-5.714248387141385,5.286452477148077
axis1,ARC (AI2),Domain Specific Questions,1.873594314100088,-5.742464813980221,5.496970270431763
axis1,ARC-AGI,Core AGI Progress,1.8589712394734672,-3.4810447137727465,5.484847290242863
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,1.6587705658445082,-3.375953930644867,5.736816183528926
axis1,DeepSWE,Autonomous SWE,1.4544935504327783,-1.2932397636492572,4.48146966113214
axis1,GSM8K,Domain Specific Questions,1.4127005379008584,-3.349144298349304,4.084380146286267
axis1,FrontierMath Tier 4 v1,High End Math Reasoning,1.3810009329947803,-1.4959461260077012,3.8750979704123445
axis1,CritPt,Domain Specific Questions,1.3531056309451914,-1.455784091742628,3.5123051916772368
axis1,FrontierMath v1,High End Math Reasoning,1.3376925357353675,-1.2662932751002742,3.0164756459298947
axis1,MATH Level 5,High End Math Reasoning,1.2978871863214985,-2.351508005290489,4.121101375564483
axis1,OpenAI NYU CTF Professional (Original),Agentic Computer Use,1.2570802753286232,-3.326789272415405,5.21736608791158
axis1,Humanity's Last Exam,Domain Specific Questions,1.2096394621435205,-1.6946576853981266,2.7493612774669622
axis1,FrontierMath Tier 4,High End Math Reasoning,1.1945288494527577,-1.975570789127417,5.191757403038327
axis1,GPQA Main Chemistry,Chemistry,1.035167921782748,-2.516916928458972,4.139417997156965
axis1,APEX Agents,Core AGI Progress,1.0239387545517555,-1.6775313783815884,3.249191626409196
axis1,Chess Puzzles,General Reasoning,0.8232777915901991,-3.371794227324088,4.509252513668961
axis1,VisualToolBench,Multimodal Understanding,0.7342359060955459,-1.706138067503157,2.923842694569036
axis1,MCP Atlas,Agentic Computer Use,0.7206336994099705,-1.7777292309566317,2.530235940807769
axis1,GPQA Diamond Chemistry,Chemistry,0.7012669365189551,-2.2145223654313435,3.429734562506682
axis1,SWE-Bench Pro (Private),Autonomous SWE,0.6411676739989418,-2.354178304276678,3.3140518449311633
axis1,CursorBench,Autonomous SWE,0.6404071467365068,-0.7511137567912354,2.095668068577597
axis1,TerminalBench,Agentic Computer Use,0.6343071265298585,-1.4754823167077569,2.54542142056732
axis1,Cybench,Agentic Computer Use,0.6177333253082627,-2.8217723242246993,4.00715633033691
axis1,OS World (Screenshot),Agentic Computer Use,0.6111146102386071,-3.015981816063374,4.0068545138409455
axis1,Aider Polyglot,Autonomous SWE,0.6095033189300487,-2.444300182429833,3.0452798899218103
axis1,Surface Evolver Bench,Autonomous SWE,0.6008392429160934,-2.623827986139435,3.540721920663317
axis1,FrontierMath,High End Math Reasoning,0.5813205453914208,-1.6380632713998369,3.7279397319798218
axis1,BIG-Bench Hard (BBH),Domain Specific Questions,0.5143459161099906,-2.4546418160087664,2.821234128230389
axis1,Adversarial NLI,General Reasoning,0.5061321974706449,-2.9957506699720162,3.8751134441074315
axis1,MMLU Chemistry,Chemistry,0.5018347162604114,-1.1832782187974145,1.7406676628638142
axis1,Remote Labor Index,Core AGI Progress,0.48814624541289653,-2.9139813519844275,3.3553250233103276
axis1,Fiction.LiveBench,Advanced Language and Writing,0.46626126505000487,-3.4932547925983437,4.079112133940948
axis1,OpenAI Cyber Ranges,Agentic Computer Use,0.45677052097585535,-3.6769640941385444,4.346080659630411
axis1,FrontierCode,Autonomous SWE,0.44183417355147175,-1.7424364631282865,2.23994544953461
axis1,CAD-Eval,Multimodal Understanding,0.43154554318117366,-2.6895370640424674,3.2054756654189416
axis1,AISI CTF Suites - Apprentice,Agentic Computer Use,0.42169100723745245,-2.162192605568019,2.886662925615214
axis1,CSQA2,General Reasoning,0.4084972270221232,-4.3670443032816895,4.577592806073343
axis1,AlgoTune,Autonomous SWE,0.38605831013194075,-1.7992742358662117,2.1467136305177292
axis1,METR Time Horizons,Autonomous SWE,0.38271934661202417,-1.0855296637941505,1.51476211152001
axis1,ScienceQA,Domain Specific Questions,0.37740656563109576,-2.1708701853426073,2.472087355225513
axis1,GDP.pdf,Core AGI Progress,0.37056834227905044,-1.8384257149591379,2.2060338289858357
axis1,PostTrainBench,Autonomous SWE,0.368526674460803,-1.746339469224495,2.196768467410928
axis1,The Agent Company,Agentic Computer Use,0.3629090118161027,-2.5968906059204278,3.06907279916074
axis1,GPQA Diamond Biology,Biology,0.34397190555730794,-1.8831900333879397,2.3315062657556664
axis1,Video-MME,Multimodal Understanding,0.3318159437505772,-2.455099361013743,2.577126911113478
axis1,SimpleQA Verified,Domain Specific Questions,0.31872641105248434,-4.079680474944559,3.9310095030778256
axis1,LAB-Bench SeqQA,Biology,0.31337828940726853,-0.768009395864186,1.419753317832834
axis1,GPQA Diamond,Domain Specific Questions,0.3033188512039091,-1.2835386159511986,2.136837497351457
axis1,Vending-Bench 2,Agentic Computer Use,0.30257710470327603,-1.770376331121365,1.8870298454110226
axis1,EnigmaEval,General Reasoning,0.29816261152369217,-1.8116892572359897,2.508753992165015
axis1,GPQA Main Biology,Biology,0.29251182027406086,-1.3056620302529065,2.1366990592970594
axis1,WeirdML,Autonomous SWE,0.2897918490334155,-0.5098728506654363,1.1165271056717159
axis1,AISI CTF Suites - Expert,Agentic Computer Use,0.2816483751411528,-2.781442581849331,3.8925213939624705
axis1,SciCode,Autonomous SWE,0.2772749386487874,-0.3988155758525098,0.8715850822306693
