axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,VPCT,Multimodal Understanding,12.29580109688907,-42.40140641358829,46.65937091578267
axis1,ARC-AGI-2,Core AGI Progress,11.777879891928123,-26.84240664276946,31.608535959639937
axis1,ARC-AGI,Core AGI Progress,5.721282068119807,-17.37259732866101,20.868079903349674
axis1,Aider Polyglot,Autonomous SWE,3.886027538994102,-18.595811808989012,20.24400583664229
axis1,SimpleBench,General Reasoning,3.822407575194898,-12.544742970175777,13.78062440888039
axis1,SWE-Bench Pro (Private),Autonomous SWE,3.067314783044244,-14.818583836623258,15.571810717099403
axis1,OpenAI NYU CTF Professional (Original),Agentic Computer Use,2.9300027127811603,-22.319902942586847,25.135233722856732
axis1,CAD-Eval,Multimodal Understanding,2.817385786996615,-16.878476371846563,18.17566566234369
axis1,MCP Atlas,Agentic Computer Use,2.5994688868754627,-13.374100933789974,14.245744635095352
axis1,TerminalBench,Agentic Computer Use,2.2960287323064463,-12.529368720769005,13.947156604815056
axis1,METR Time Horizons,Autonomous SWE,1.9271039745156362,-7.866801056803002,8.462703795886014
axis1,SimpleQA Verified,Domain Specific Questions,1.9192877578537013,-16.622299380146174,16.60840260697896
axis1,DeepSWE,Autonomous SWE,1.8712003825969878,-8.167330857497308,12.82635031833957
axis1,GSO-Bench,Autonomous SWE,1.804542933622791,-19.427326699127757,20.077925913321668
axis1,FrontierMath Tier 4 v1,High End Math Reasoning,1.6406986914843449,-7.77445977459561,10.909547912886365
axis1,Fiction.LiveBench,Advanced Language and Writing,1.597909909264617,-14.987375351533611,16.660108425526758
axis1,APEX Agents,Core AGI Progress,1.4283751914295935,-10.345348851173048,12.719225090987603
axis1,Humanity's Last Exam,Domain Specific Questions,1.4073718474181294,-5.946849106112286,8.287999426864483
axis1,VisualToolBench,Multimodal Understanding,1.3728991089723777,-11.74434602525347,13.42719002438739
axis1,CritPt,Domain Specific Questions,1.320735068874773,-7.680492279990858,10.918631850190263
axis1,SWE-Bench Verified,Autonomous SWE,1.3150830963457123,-8.731105994211436,9.1946883794605
axis1,AISI CTF Suites - Apprentice,Agentic Computer Use,1.3019685480019088,-13.31357980994725,14.57606414355004
axis1,FrontierMath Tier 4,High End Math Reasoning,1.2935251325146317,-20.220252515507077,23.99192788921045
axis1,FrontierMath v1,High End Math Reasoning,1.2173329778879682,-5.578306396410558,8.42773504202197
axis1,OpenAI Cyber Ranges,Agentic Computer Use,1.04424444877553,-20.140704211935578,22.83270190073399
axis1,SCONE-Bench,Agentic Computer Use,1.0437820363336296,-18.995297268554378,20.485079369863023
axis1,CursorBench,Autonomous SWE,1.0360512402046573,-5.2965113680647065,7.392233593306483
axis1,The Agent Company,Agentic Computer Use,1.025360347442474,-14.502286792137053,16.325882471429264
axis1,EnigmaEval,General Reasoning,1.0103215759691704,-10.521934500395252,12.421031937180755
axis1,SWE-Bench Pro,Autonomous SWE,0.8759603187376402,-10.622731742391384,10.816756095782347
axis1,CSQA2,General Reasoning,0.8436336028090461,-16.50178234824407,12.536253423352308
axis1,ProofBench,High End Math Reasoning,0.8317542508519922,-13.849670006322544,16.089755304118597
axis1,Surface Evolver Bench,Autonomous SWE,0.7963120705201162,-15.787519153590713,16.557291137613852
axis1,OS World (Screenshot),Agentic Computer Use,0.722579263734904,-12.204848770851623,12.27038735472267
axis1,MultiNRC,Advanced Language and Writing,0.7106702875928511,-8.106569964708736,8.647695859324184
axis1,Adversarial NLI,General Reasoning,0.7014562345125663,-5.060054325793999,6.292268320966338
axis1,PRBench Legal,Domain Specific Questions,0.6886503039052445,-3.6787286322193524,3.9600354401065
axis1,AlgoTune,Autonomous SWE,0.6763011949413251,-8.757856107618002,9.682717370479644
axis1,GDP.pdf,Core AGI Progress,0.6585015869271209,-9.635907159800295,10.767798010938417
axis1,Cybench,Agentic Computer Use,0.6210481627360749,-16.80768981906068,18.15553251259206
axis1,PRBench Finance,Domain Specific Questions,0.6193428359546459,-3.680435318133347,3.920397324357908
axis1,Visual Task Assessment (VISTA),Multimodal Understanding,0.5727713022649488,-3.581256073385649,4.007967736804375
axis1,PostTrainBench,Autonomous SWE,0.5669868271572374,-9.50987270112037,10.212789331934378
