axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,VPCT,Multimodal Understanding,3.3633695069211083,0.49327584535962854,4.994878132614924
axis1,ARC-AGI-2,Core AGI Progress,2.874778625983139,1.6816493500233924,4.522440291676914
axis1,FrontierMath Tier 4,High End Math Reasoning,2.2577563667819396,0.7933001182706443,3.358002228953225
axis1,FrontierMath v1,High End Math Reasoning,2.06954757154946,1.2778215040098027,2.6513533203095854
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,2.0013459877953266,0.5726386216360637,3.1186437593449585
axis1,FrontierMath Tier 4 v1,High End Math Reasoning,1.951704423005665,1.1288359174475138,2.6456368748890258
axis1,ARC-AGI,Core AGI Progress,1.9375262658044126,0.9773465109460938,3.347216116245253
axis1,OpenAI NYU CTF Professional (Original),Agentic Computer Use,1.8713364131999355,0.3556508224124808,3.0235295684584895
axis1,Aider Polyglot,Autonomous SWE,1.8478076646041997,0.8597759932217324,2.430716192149611
axis1,DeepSWE,Autonomous SWE,1.7792132570705026,1.134276224080708,2.449106296543701
axis1,CritPt,Domain Specific Questions,1.6136741478350944,1.0564074762387268,2.072696449779884
axis1,MATH Level 5,High End Math Reasoning,1.560107635242003,0.6440318343233687,2.2570972004782375
axis1,FrontierMath,High End Math Reasoning,1.4764664692768434,0.5658979703566397,2.1824980815615835
axis1,GPQA Diamond Chemistry,Chemistry,1.4053348830351058,0.44058940933981017,2.1660900853536034
axis1,SCONE-Bench,Agentic Computer Use,1.3865180851930659,0.269535279623097,2.6987420034964824
axis1,TerminalBench,Agentic Computer Use,1.360491551544326,0.7188380630215913,1.815076698465349
axis1,VisualToolBench,Multimodal Understanding,1.3566174175104684,0.770452323099648,1.8007459870162459
axis1,GSO-Bench,Autonomous SWE,1.3539055243150218,0.2423054758464644,2.2662823439421955
axis1,Fiction.LiveBench,Advanced Language and Writing,1.3170600871597928,0.5456534774120841,2.116898767003334
axis1,GPQA Main Chemistry,Chemistry,1.3073877320162275,0.4741735681934135,2.0697170292687987
axis1,APEX Agents,Core AGI Progress,1.3009202652697767,0.7560280754834916,1.9240612870390288
axis1,Cybench,Agentic Computer Use,1.2977136192722374,0.37860177175742654,2.370377481314176
axis1,Humanity's Last Exam,Domain Specific Questions,1.2278149969072523,0.47239378366052537,1.589646309872628
