axis,tier,human_mean,human_hdi_low,human_hdi_high,crossover_date_median,crossover_hdi_low,crossover_hdi_high,p_passed_now,frac_positive_slope,status
axis1,High School Qualifier,0.48386282391259866,-0.08092823244789893,1.0257714705782266,2024-09-28 22:33:00.908153291,2024-05-12 13:17:51.412892501,2025-02-10 19:52:12.843678040,0.9986666666666667,1.0,passed_ci
axis1,Average Human,1.029738929106846,0.0985928635122539,1.833716080897944,2025-02-16 19:06:13.236209124,2024-07-10 09:08:33.762807680,2025-08-16 04:25:27.743211298,0.9865,1.0,passed_ci
axis1,Skilled Generalist,1.306377158572036,0.24143980137423438,2.375420084370704,2025-04-21 06:47:08.804685554,2024-08-01 13:09:03.040579411,2025-12-17 14:32:03.953514082,0.9860833333333333,1.0,passed_ci
axis1,Domain Expert,1.5965283600091524,0.6381666000651357,2.5977877253764876,2025-06-23 13:28:43.852772968,2024-12-11 20:52:09.374960784,2026-02-16 23:05:53.186698150,0.9819166666666667,1.0,passed_ci
axis1,High School Top Performer,1.7076532989997613,0.9921391222682658,2.4778391234906687,2025-08-02 01:22:09.699807521,2025-02-16 22:05:01.897874609,2026-01-27 09:49:29.624906729,0.9951666666666666,1.0,passed_ci
axis1,Committee of Skilled Generalists,1.9459077789239043,0.3046857555036375,3.6000057669532293,2025-09-19 10:04:18.107332639,2024-09-08 21:38:02.073287837,2026-11-30 22:26:21.066598141,0.9009166666666667,1.0,passed_mean
axis1,Top Performer,1.9636250549561574,0.8613202737308411,3.235633970174531,2025-09-20 22:47:35.682503619,2025-01-23 18:37:25.441198636,2026-07-09 19:11:16.377619274,0.95675,1.0,passed_mean
axis1,Committee of Domain Experts,2.0182955029434564,0.7797107544263855,3.229096340688274,2025-10-11 03:41:25.951728678,2025-01-09 10:21:43.123049395,2026-07-20 17:36:08.372701379,0.9518333333333333,1.0,passed_mean
axis1,Committee of Average Humans,2.131792281446531,1.0049812717449569,3.3012499318341453,2025-11-16 23:08:27.534663703,2025-02-07 16:36:01.649374896,2026-08-10 11:21:05.012796476,0.9445833333333333,1.0,passed_mean
axis2,Average Human,-0.43157782672315664,-2.339132159745812,1.0576215772361592,2021-11-18 00:32:35.907564900,2017-07-06 22:02:55.035534891,2024-05-21 05:34:10.944003489,0.9900833333333333,0.9990833333333333,passed_ci
axis2,High School Qualifier,0.11426062132447377,-1.6846004325363275,1.9058499847339203,2022-08-22 14:29:56.337788716,2019-09-10 22:42:38.300300510,2025-05-06 21:36:25.379759462,0.9964166666666666,0.9990833333333333,passed_ci
axis2,Committee of Average Humans,0.4450646187388684,-2.0140030439425343,2.608651493645621,2023-02-06 02:15:16.797405309,2018-06-10 15:51:42.230407219,2026-07-16 15:01:04.492354440,0.9761666666666666,0.9990833333333333,passed_ci
axis2,Skilled Generalist,0.7609198459310095,-1.5458912159434977,2.763951953998599,2023-07-08 06:27:57.430859379,2019-05-19 18:30:30.600619099,2026-07-08 10:19:56.988249735,0.973,0.9990833333333333,passed_mean
axis2,High School Top Performer,1.1780132353328212,-1.0179417639727564,3.4073001117440334,2024-02-13 01:24:37.706942013,2020-09-14 15:06:23.589045895,2027-06-16 08:58:36.797949439,0.9246666666666666,0.9990833333333333,passed_mean
axis2,Committee of Skilled Generalists,1.7294279992792594,-1.029955880209819,4.308149185312501,2024-11-10 17:10:55.298912640,2020-05-25 04:19:18.944991494,2028-06-22 20:00:25.589042723,0.8519166666666667,0.9990833333333333,passed_mean
axis2,Domain Expert,1.8327323085575147,-0.6992500896091753,3.834152360719747,2024-12-31 19:12:12.989078110,2021-01-12 06:47:33.379843557,2027-11-12 04:20:44.367523402,0.8905833333333333,0.9990833333333333,passed_mean
axis2,Top Performer,2.464236720057812,-0.482902306133951,4.892891025448439,2025-11-10 20:43:10.306447728,2021-08-11 01:11:19.312575961,2029-05-16 09:19:58.419249844,0.6788333333333333,0.9990833333333333,passed_mean
axis2,Committee of Domain Experts,2.6433202845576167,-0.2335923895733625,5.402650536581262,2026-01-31 04:43:26.431689884,2021-11-26 02:57:41.471614503,2030-01-17 22:10:02.097309982,0.6073333333333333,0.9990833333333333,passed_mean
axis3,High School Qualifier,0.06431824405810734,-1.6608216908078937,1.997133911607141,2023-05-15 07:13:05.598828618,2021-01-07 22:00:53.871766548,2025-07-02 01:16:03.309106782,0.9821666666666666,0.9846666666666667,passed_ci
axis3,High School Top Performer,1.3608274323329148,-0.8562814643854841,3.6825573987429796,2024-09-15 16:58:09.393362541,2022-04-12 08:37:36.701138510,2027-03-12 10:09:07.639077153,0.91525,0.9846666666666667,passed_mean
axis3,Average Human,4.567950400672747,3.7257692990520574,5.542963010846881,2027-12-01 19:28:34.624849679,2026-05-10 05:15:27.131854383,2030-07-21 23:50:01.313571716,0.012916666666666667,0.9846666666666667,future
