axis,tier,human_mean,human_hdi_low,human_hdi_high,crossover_date_median,crossover_hdi_low,crossover_hdi_high,p_passed_now,frac_positive_slope,status
axis1,High School Qualifier,0.5489396667223598,-0.017988523438302616,1.1255546786784618,2024-11-23 02:47:46.435976194,2024-06-16 02:49:14.607833111,2025-04-23 23:03:15.380316187,0.9996666666666667,1.0,passed_ci
axis1,Average Human,1.0772769917168055,-0.045699985054143494,2.079565027511889,2025-04-17 05:54:28.800557542,2024-07-01 14:46:59.739853935,2025-12-12 22:08:01.428922959,0.9870476190476191,1.0,passed_ci
axis1,Skilled Generalist,1.4462010742259968,0.2097476808147813,2.7224007939285095,2025-07-18 07:45:33.691039735,2024-08-18 17:00:59.891291884,2026-05-13 04:51:44.198374435,0.9719523809523809,1.0,passed_mean
axis1,Domain Expert,1.811192876289777,0.6147067783631203,3.146340810295028,2025-10-11 23:46:35.122615296,2025-01-14 00:21:36.273957422,2026-09-18 05:49:03.956739208,0.9310952380952381,1.0,passed_mean
axis1,High School Top Performer,1.8163120869446294,1.0510099728035205,2.5742664827849873,2025-11-06 06:18:57.417704210,2025-04-30 12:17:56.651344198,2026-05-31 05:18:40.446094821,0.9835714285714285,1.0,passed_ci
axis1,Committee of Skilled Generalists,2.1815093448671243,0.34727110022366814,4.098766408107529,2026-01-24 01:01:51.300993322,2024-10-07 23:02:32.617051728,2027-06-20 17:19:27.198895350,0.7413809523809524,1.0,passed_mean
axis1,Committee of Average Humans,2.187795919554973,0.7864264181199649,3.5201131402908565,2026-02-12 23:23:26.829544796,2025-02-17 13:12:24.121241812,2027-01-07 02:42:47.577270291,0.819952380952381,1.0,passed_mean
axis1,Top Performer,2.260049900178447,0.7737779986421797,3.8051740231580626,2026-02-09 14:48:52.665589863,2025-03-12 18:40:55.715645095,2027-03-23 12:41:46.654079265,0.7858095238095238,1.0,passed_mean
axis1,Committee of Domain Experts,2.2702279825805793,0.7660047435154826,3.8024513129309656,2026-02-18 11:23:52.791484824,2025-02-26 22:49:49.405569576,2027-03-14 18:40:37.782131332,0.7782857142857142,1.0,passed_mean
axis2,Average Human,-0.6648054418890985,-2.5600824171505976,0.9926204643067321,2013-09-28 06:28:22.905371043,1912-04-23 00:03:54.756760447,2030-05-22 15:37:35.609083795,0.9881904761904762,0.5478571428571428,passed_ci
axis2,Committee of Average Humans,0.058293704890039016,-2.4355080772013897,2.378665200245682,2019-11-12 02:21:53.801424930,1946-06-28 03:15:37.989914556,2045-12-20 20:16:33.677856713,0.8954761904761904,0.5478571428571428,passed_mean
axis2,High School Qualifier,0.07934584212657664,-1.7432255550360791,1.9400642304904285,2017-06-27 21:20:09.627708773,1936-10-20 01:05:20.598938523,2045-06-25 08:15:59.325261917,0.8595714285714285,0.5478571428571428,passed_mean
axis2,Skilled Generalist,0.5453604890582673,-1.794669516877906,2.757704489641925,2022-10-11 02:23:24.034627942,1962-01-04 04:08:22.248599813,2047-07-24 13:57:37.343792871,0.790952380952381,0.5478571428571428,passed_mean
axis2,High School Top Performer,0.9700089105581257,-1.2842533494600505,3.301274019401467,2023-12-19 16:48:10.567636617,1965-08-09 01:19:47.553187881,2078-10-19 19:10:37.279812987,0.5904285714285714,0.5478571428571428,passed_mean
axis2,Committee of Skilled Generalists,1.4340016929976895,-1.4318483476193844,4.2563113615274615,2029-01-27 06:34:19.708217679,1987-04-16 16:04:55.660641900,2091-10-25 01:03:12.758395898,0.4269047619047619,0.5478571428571428,future
axis2,Domain Expert,1.5770324906490774,-1.034051819325276,3.9450460908335474,2029-09-07 06:49:34.132982543,1999-05-23 12:05:06.433755867,2080-03-27 11:29:57.747615921,0.3463333333333333,0.5478571428571428,future
axis2,Top Performer,2.232614301183387,-0.9410092659899331,4.858246599058798,2034-08-05 19:03:36.850945256,2006-01-01 13:10:52.730503596,2113-12-10 23:38:40.653894079,0.1762857142857143,0.5478571428571428,future
axis2,Committee of Domain Experts,2.2867828077533305,-0.8086377116739673,5.126411452604155,2034-09-15 20:38:06.255808491,2006-06-07 06:01:04.878581966,2120-01-26 21:15:55.129879552,0.17552380952380953,0.5478571428571428,future
axis3,High School Qualifier,0.06445530458108328,-1.7201372636171417,1.894937786974193,2024-01-23 02:01:43.359410066,2021-06-15 21:48:00.990180872,2026-07-28 04:05:53.889996194,0.9672380952380952,0.9830476190476191,passed_mean
axis3,High School Top Performer,1.27897986437355,-0.9079100835071716,3.618358165600584,2025-06-06 22:41:49.020011041,2022-07-07 11:43:08.418708238,2028-03-24 00:43:26.193469235,0.7888571428571428,0.9830476190476191,passed_mean
axis3,Average Human,4.538891966491978,3.622895584577738,5.497186683442933,2028-12-20 13:54:35.848053345,2027-02-03 23:18:14.792795585,2033-02-05 23:02:51.878123013,0.0002380952380952381,0.9830476190476191,future
axis3,Committee of Average Humans,5.706080170511796,4.513158023166158,7.081203856558067,2030-04-15 21:17:46.378106854,2028-01-05 01:50:26.848045115,2035-01-05 01:17:44.770554945,0.0,0.9830476190476191,future
axis3,Skilled Generalist,5.728754659555298,4.539662192117534,7.143213315584294,2030-04-23 01:17:54.009151486,2027-10-31 03:24:36.280056473,2035-07-15 13:38:50.886819919,0.0,0.9830476190476191,future
axis3,Domain Expert,6.798009125145909,5.406012800855867,8.45953423047024,2031-07-04 17:53:09.103434783,2028-07-30 15:25:03.158195675,2037-10-31 14:37:35.574744864,0.0,0.9830476190476191,future
axis3,Committee of Skilled Generalists,6.906679806491734,5.3840846534235425,8.797349398814934,2031-08-26 20:09:57.619286225,2028-07-16 09:00:41.047325009,2037-12-20 15:26:45.828556042,0.00019047619047619048,0.9830476190476191,future
axis3,Committee of Domain Experts,7.652119176096944,5.922997738157719,9.66441491548539,2032-06-26 16:10:01.465370169,2029-01-12 16:50:18.981528138,2039-08-27 14:30:28.751106481,4.761904761904762e-05,0.9830476190476191,future
axis3,Top Performer,7.73907551702503,6.0069034099318825,9.841252062370168,2032-07-29 21:07:35.040574139,2029-03-14 21:25:20.059359254,2039-11-29 14:37:55.008232731,0.0,0.9830476190476191,future
