method_a,method_b,axis,abs_corr
varimax,wop,axis1,0.9981082721033692
varimax,wop,axis2,0.8978984253251551
varimax,wop,axis3,0.941129010090008
varimax,matchalign,axis1,0.999999985314498
varimax,matchalign,axis2,0.9992396634930131
varimax,matchalign,axis3,0.996707010052055
varimax,promax,axis1,0.9886239416838853
varimax,promax,axis2,0.9970885388369664
varimax,promax,axis3,0.992696033726869
wop,matchalign,axis1,0.9981118824356511
wop,matchalign,axis2,0.8876196543935985
wop,matchalign,axis3,0.9285864677685274
wop,promax,axis1,0.9809328072008103
wop,promax,axis2,0.883567521276696
wop,promax,axis3,0.9064552538274079
matchalign,promax,axis1,0.9886251385885975
matchalign,promax,axis2,0.9973701140624613
matchalign,promax,axis3,0.9919041371887122
