axis,benchmark,category,loading_median,hdi_low,hdi_high
axis1,ARC-AGI-2,Core AGI Progress,0.7202422544213007,-2.8451788437608188,2.8506305794350535
axis1,ARC-AGI,Core AGI Progress,0.5003627457386768,-2.047016475850144,2.0325657761042955
axis1,Cybench,Agentic Computer Use,0.46610918568019893,-1.5592473187417322,1.7502566862055342
axis1,GSO-Bench,Autonomous SWE,0.401706111038305,-1.4060011287490297,1.6034101766090636
axis1,Aider Polyglot,Autonomous SWE,0.36851483094715354,-1.8511637205134939,1.8766554205010617
axis1,The Agent Company,Agentic Computer Use,0.36180216935685494,-1.5494343499433794,1.7110580916518683
axis1,FrontierMath Tier 4,High End Math Reasoning,0.35640779272611633,-1.8870686917065185,1.886770184814095
axis1,CritPt,Domain Specific Questions,0.34377635952794,-1.693818912566551,1.6381996913379544
axis1,TerminalBench,Agentic Computer Use,0.3201940408014575,-1.417627818860723,1.4197417827876633
axis1,CAD-Eval,Multimodal Understanding,0.3068331643493889,-1.3600365250941064,1.485919882862567
axis1,APEX Agents,Core AGI Progress,0.29223358488904516,-1.1095943849191579,1.1925638612344582
axis1,SWE-Bench Pro (Private),Autonomous SWE,0.28618350054632563,-1.0431240945691629,1.2004645387554749
axis1,FrontierMath,High End Math Reasoning,0.26027516741214535,-1.5965461802508523,1.5948910346515845
axis1,OTIS Mock AIME 2024-2025,High End Math Reasoning,0.25608979512291846,-2.579006710160103,2.592820991528968
axis1,Fiction.LiveBench,Advanced Language and Writing,0.2343074482159136,-1.6857034434713292,1.7195478884580406
axis1,MATH Level 5,High End Math Reasoning,0.22597822137098542,-2.2240436856835304,2.2127807430325173
axis1,PostTrainBench,Autonomous SWE,0.21830043315710118,-0.7539555430972248,0.8546100105352764
axis1,Humanity's Last Exam,Domain Specific Questions,0.21763036547911824,-1.1346326686649808,1.1108172492369672
axis1,OS World (Screenshot),Agentic Computer Use,0.20889808931395215,-1.2035197608756463,1.3875129862434918
axis1,CursorBench,Autonomous SWE,0.19884046287640206,-0.931401345976072,0.9106151556041545
axis1,SWE-Bench Pro,Autonomous SWE,0.19871869967996766,-0.9129896491551323,1.0167157043366037
axis1,SimpleBench,General Reasoning,0.1949886191799688,-0.880637222752118,0.8689224102707739
axis1,Remote Labor Index,Core AGI Progress,0.19390360358777,-0.8465186692505688,1.0130838397836657
axis1,MultiNRC,Advanced Language and Writing,0.18365869486126116,-1.2388666982212027,1.21650649982957
axis1,METR Time Horizons,Autonomous SWE,0.17922135338834763,-0.8056173638568362,0.8287477529147171
axis1,MCP Atlas,Agentic Computer Use,0.17584444698019427,-0.6176790233062542,0.7702805598672476
axis1,VisualToolBench,Multimodal Understanding,0.17402558521438272,-1.3555719840169427,1.3738278979631267
axis1,SWE-Bench Verified,Autonomous SWE,0.17383574297750448,-0.6637385889234246,0.7135319987231261
axis1,EnigmaEval,General Reasoning,0.17375180394156645,-1.4528789557630775,1.4219562518131608
axis1,SimpleQA Verified,Domain Specific Questions,0.15964593223021736,-1.1467733781957454,1.1163702970530498
axis1,GPQA Diamond,Domain Specific Questions,0.15207432460825562,-1.0444361148233805,1.0439173737248555
axis1,WeirdML,Autonomous SWE,0.1448238021966087,-0.9988035393587537,0.9983401926541073
axis1,ExploitBench,Agentic Computer Use,0.14277191840651554,-1.0096777618705406,1.122772474768763
axis1,OS World 2,Agentic Computer Use,0.13873493319880642,-0.992359883897424,1.1280414398281666
axis1,FrontierCode,Autonomous SWE,0.13680760624195573,-0.8877486187403761,1.0330198743474959
axis1,Chess Puzzles,General Reasoning,0.11824718778766102,-1.4057240754257916,1.4303314604585808
axis1,Lech Mazur Writing,Advanced Language and Writing,0.09956137473386387,-0.45674771248025287,0.5011335165512988
axis1,BALROG,General Reasoning,0.09754264711714447,-0.7757556197711131,0.7921626646654791
axis1,MultiChallenge,Advanced Language and Writing,0.08242577712461317,-0.6642471112155446,0.6999423165561726
axis1,LiveBench,Core AGI Progress,0.08102872642809564,-0.9259651077184549,0.9511636825920378
axis1,PRBench Finance,Domain Specific Questions,0.07887999174274513,-0.6941014775388084,0.7269141033047423
axis1,VPCT,Multimodal Understanding,0.07527646691687476,-0.8998085354453106,0.9271297873579332
axis1,SciCode,Autonomous SWE,0.07329599128677647,-0.5023229904251243,0.5081332353073573
axis1,DeepResearchBench,Agentic Computer Use,0.06781892785737641,-0.33855846345489304,0.37039096633320145
axis1,PRBench Legal,Domain Specific Questions,0.06447652256376718,-0.6701492804716063,0.6963445774157238
axis1,CL-Bench Life,Domain Specific Questions,0.06266012456494376,-0.5247700015052592,0.5529053933212836
axis1,CL-Bench,Domain Specific Questions,0.05372340367796069,-0.3706016208707928,0.3909941812159731
axis1,TutorBench,Advanced Language and Writing,0.053096649843358074,-0.3604043041521787,0.36752821740942476
axis1,SEAL Instruction Following,Advanced Language and Writing,0.052824040643375925,-0.5523212658689685,0.5421294781116062
axis1,Visual Task Assessment (VISTA),Multimodal Understanding,0.05087150949370012,-0.4444994156259723,0.47143349211507674
axis1,BioLP-bench,Biology,0.04510785051015211,-1.3224038428763267,1.364440111071398
axis1,LAB-Bench SeqQA,Biology,0.028063520429327846,-0.6354278430087364,0.6486925856676802
axis1,GPQA Main Biology,Biology,0.025454784999035657,-0.6966892695450251,0.6929825044718498
axis1,GPQA Diamond Chemistry,Chemistry,0.010438038094073045,-0.8921879604858084,0.8632075926744692
axis1,GPQA Main Chemistry,Chemistry,0.007879334978575505,-0.7654716823108639,0.7637246371805017
axis1,ForecastBench,General Reasoning,0.002527348485882261,-0.08723562060036598,0.0891087197101582
axis1,AudioMultiChallenge,Multimodal Understanding,-0.0018764974442622966,-0.756208753456437,0.7660363240986399
axis1,SEAL Tool Use (Enterprise),Agentic Computer Use,-0.0024740978857252594,-0.6749300773881023,0.7119026606224297
axis1,WMDP Biology,Biology,-0.01481389445188765,-0.6011486901089511,0.5832076655235382
axis1,LAB-Bench LitQA2,Biology,-0.026328485652808327,-0.39508184154363146,0.34700405666161405
axis1,LAMBADA,General Reasoning,-0.03428351655714433,-0.5064289342456838,0.45281222395229015
axis1,LAB-Bench Cloning,Biology,-0.046448935584169626,-0.6434314527732259,0.6420084151462729
axis1,CSQA2,General Reasoning,-0.05120854803255344,-1.1079241816481222,1.095212511456156
axis1,LAB-Bench Protocol,Biology,-0.054885223197733535,-0.5882196601259954,0.5961487692311662
axis1,MMLU Biology,Biology,-0.05729065763124351,-0.4472056257087016,0.38068304277806325
axis1,PIQA,General Reasoning,-0.059251438917082774,-0.3824154098503576,0.3602403545776537
axis1,WMDP Chemistry,Chemistry,-0.07157283822197234,-0.5922324246105867,0.567439415419891
axis1,GPQA Diamond Biology,Biology,-0.07763012982916141,-0.6857813787590966,0.6107454952100358
axis1,TriviaQA,Domain Specific Questions,-0.07854402097569346,-0.8170424898368788,0.7306951598645105
axis1,MMLU Chemistry,Chemistry,-0.08243529636351143,-0.5878979031417102,0.5668964148002166
axis1,GeoBench,Multimodal Understanding,-0.09003184315489354,-0.7481221147902863,0.7456257156288755
axis1,WinoGrande,General Reasoning,-0.09156838385942455,-0.584974973267484,0.5464744295796033
axis1,Video-MME,Multimodal Understanding,-0.09500047097586409,-0.4655118224952851,0.4121859360221083
axis1,HellaSwag,General Reasoning,-0.10038691728035712,-0.8180699586762844,0.772827366774378
axis1,Adversarial NLI,General Reasoning,-0.10804485252616627,-0.9844645168500431,0.8329876844686221
axis1,ScienceQA,Domain Specific Questions,-0.11162257461831726,-0.8143134048404721,0.6983328755224617
axis1,SuperGLUE,General Reasoning,-0.1294814548886585,-0.9592688296800002,0.8540531353384766
axis1,MMLU Pro Biology,Biology,-0.14236643285817951,-0.8540998077538867,0.7515520369611144
axis1,BoolQ,General Reasoning,-0.14368934012776205,-0.7428124464553388,0.6927034837180763
axis1,MMLU Pro Chemistry,Chemistry,-0.20568770051555701,-1.0736770584676498,1.0333124635933133
axis1,MMLU,Domain Specific Questions,-0.2203487425327496,-0.9849148444347888,0.9179430731060451
axis1,OpenBookQA,Domain Specific Questions,-0.22047925851711558,-1.2319075733081544,1.058666063412311
axis1,BIG-Bench Hard (BBH),Domain Specific Questions,-0.24827843075406197,-1.0807841371347267,1.0054439011600298
axis1,ARC (AI2),Domain Specific Questions,-0.2865736241613783,-1.366433771998944,1.213329443782127
axis1,GSM8K,Domain Specific Questions,-0.48969468279988304,-1.9939765128242612,1.881302680446904
axis2,OTIS Mock AIME 2024-2025,High End Math Reasoning,0.36748930815744313,-2.4264354896732314,2.412025341950146
axis2,MATH Level 5,High End Math Reasoning,0.32500025204780036,-2.07927119573024,2.072267612923077
axis2,FrontierMath Tier 4,High End Math Reasoning,0.2762277238045731,-1.8271067940938122,1.708322149247232
axis2,FrontierMath,High End Math Reasoning,0.2659490140533524,-1.533029224637591,1.451486753566504
axis2,CritPt,Domain Specific Questions,0.2571722392704859,-1.6243997305993474,1.512551039621033
axis2,Chess Puzzles,General Reasoning,0.23566233813495382,-1.3146619019955235,1.3590323164300984
axis2,Fiction.LiveBench,Advanced Language and Writing,0.20863220620165587,-1.6009477569632613,1.5542375258268348
axis2,Aider Polyglot,Autonomous SWE,0.20159875039573738,-1.88211359676126,1.8283092395845757
axis2,BioLP-bench,Biology,0.19947585429224068,-1.2696755724122841,1.3231270260637074
axis2,EnigmaEval,General Reasoning,0.19269935406907063,-1.3329851172942728,1.321943846757662
axis2,GPQA Diamond,Domain Specific Questions,0.19060888125275405,-0.9850589522702874,0.9594856604471057
axis2,VisualToolBench,Multimodal Understanding,0.18985613312502408,-1.2816142336473917,1.2649444944130532
axis2,TerminalBench,Agentic Computer Use,0.16686041629006204,-1.4311128590522126,1.3493124254912485
axis2,WeirdML,Autonomous SWE,0.16354548565896032,-0.9643221620022661,0.9357499073181061
axis2,GPQA Diamond Chemistry,Chemistry,0.16018326091046714,-0.7776665812230121,0.8095986899447857
