method_a,method_b,axis,abs_corr
varimax,wop,axis1,0.9995779319867355
varimax,wop,axis2,0.9982244342168507
varimax,wop,axis3,0.9880130843553445
varimax,matchalign,axis1,0.9999999997613211
varimax,matchalign,axis2,0.9998521534369288
varimax,matchalign,axis3,0.9997964302008314
varimax,promax,axis1,0.9965749056576625
varimax,promax,axis2,0.9997922881777567
varimax,promax,axis3,0.9937072010923124
wop,matchalign,axis1,0.9995776762507355
wop,matchalign,axis2,0.9990278887727385
wop,matchalign,axis3,0.9883795580384228
wop,promax,axis1,0.9950393132273693
wop,promax,axis2,0.9973915499502825
wop,promax,axis3,0.9660220807049816
matchalign,promax,axis1,0.9965745609822496
matchalign,promax,axis2,0.9994672997765092
matchalign,promax,axis3,0.9935914324019982
